variable,metric,n_runs,intercept,slope,r_squared
Age of Acquisition (AoA),n_precision,51,105.2244245913345,-300.7326572921523,0.5589085577835549
Age of Acquisition (AoA),n_reliability,50,147.1774247908131,-504.818611709389,0.6747839103691476
Arousal,n_precision,34,109.70975250048762,-349.6925893205855,0.5083062877287824
Arousal,n_reliability,32,162.3831973015701,-560.9780925999896,0.4416819881425264
Concreteness,n_precision,38,151.8212904759353,-526.623648661077,0.2666608465975584
Concreteness,n_reliability,38,211.09669061753175,-810.5881495167683,0.2666900365650865
Familiarity,n_precision,57,100.64551438384105,-277.2327370508953,0.3836109192131708
Familiarity,n_reliability,57,140.21976837246473,-465.766958323277,0.4057855450018359
Imageability,n_precision,49,109.25151544068906,-325.1508728454242,0.2861832636743308
Imageability,n_reliability,48,198.9040083067226,-763.0142927528236,0.5071672154026412
Valence,n_precision,41,121.55673270243516,-372.31833873715584,0.5922268879258892
Valence,n_reliability,41,204.7805407507317,-751.518815628469,0.5734405988953262
