run_id,n_precision,n_reliability,max_sample_size,max_reliability,variable,n_items,n_per_item
Schmidtke2014,40.23685518877483,30,60,0.9878807058133515,valence,1003,20
Scott2017,56.262954842783294,50,90,0.9894929932762098,valence,5553,33
Scott2019,55.7417058638646,50,90,0.9887776644718049,valence,5553,34
Siew2025,61.249665819317194,100,120,0.9636457965203435,valence,283,78
Soares2012,73.14468476181594,90,130,0.9937565892934861,valence,167,60
Stadthagen-Gonzalez2017,85.58407969426425,140,220,0.9938505951099134,valence,14031,96
Stadthagen-Gonzalez2017a,34.10363342603519,30,50,0.9694935940952588,valence,10491,18
Syssau2009,73.25193910880284,130,170,0.9866350817977304,valence,470,100
VanderGoten1999,49.576990355298264,50,70,0.9725987152511627,valence,399,35
Verheyen2020,33.147861195526474,30,50,0.9788583604246087,valence,1000,20
Vo2009,40.16608379795349,40,60,0.9866486614662248,valence,2902,20
Warriner2013,33.106581710677915,30,50,0.9539795027797543,valence,13915,20
Yao2017,84.66294380927982,90,150,0.9937251494359122,valence,1100,48
Yee2017,38.73121782347085,40,60,0.9751556000486141,valence,292,22
Bogunovic2023,39.99966040677357,40,50,0.8559633752718662,arousal,1307,20
Bonin2018,41.73773314958204,40,60,0.9280139903613639,arousal,1657,29
Borsa2025,32.880200428797714,30,40,0.9606617696821529,arousal,963,20
Bradley1999,10.625449705519927,20,20,0.8385160042300319,arousal,976,8
Chan2024,25.274994196551177,30,40,0.8621486988763134,arousal,25281,20
Cheng2025,25.33223327308221,NA,40,0.7977670912632119,arousal,3971,20
Conca2024,9.551369479057541,20,30,0.9232803362493714,arousal,503,10
Coso2019,25.189397413519842,30,40,0.9139131559186123,arousal,3022,20
Falcinelli2024,24.726995932355052,NA,40,0.6232889357377842,arousal,200,20
Ferre2012,52.62661751182659,60,80,0.9302415315768879,arousal,380,47
Guasch2016,32.55957424699031,30,40,0.9378476183039068,arousal,1400,21
Hinojosa2016a,44.09260666970286,50,60,0.9523945496060714,arousal,875,35
Imbir2015,45.551548711039274,50,70,0.9068463265788216,arousal,1586,42
Janschewitz2008,173.1963547310903,280,340,0.9925421919442209,arousal,1380,84
Kanske2010,58.75218117854661,80,100,0.9701227898212796,arousal,1000,64
Kurdi2017,59.14394933623438,120,140,0.9441459845200045,arousal,900,102
Liu2025,40.8229067312902,40,60,0.9561430616816512,arousal,1200,30
Monnier2017,36.68863445134525,40,50,0.8526813916510787,arousal,1031,27
Montefinese2014,40.691680289859654,40,60,0.8861842488357304,arousal,1121,31
Moors2013,59.0012648243536,80,110,0.974036910945461,arousal,4299,64
Muraki2025,25.729583446680437,30,40,0.9315772091550193,arousal,2938,19
Roest2017,62.4747976364389,100,120,0.9372797113383364,arousal,672,87
Schauenburg2015,49.62900223375061,50,70,0.9700250671135042,arousal,858,35
Scott2017,39.61904520496956,40,60,0.9167835430257838,arousal,5553,33
Scott2019,45.491510956951494,50,60,0.930076678440899,arousal,5553,33
Siew2025,54.58715011180807,80,100,0.8135321240816655,arousal,283,72
Soares2012,56.95439674648307,80,90,0.9629052267326794,arousal,167,60
Stadthagen-Gonzalez2017,79.11597480275233,140,190,0.9815560195517549,arousal,14031,96
Stadthagen-Gonzalez2017a,26.149197891123237,30,40,0.9179163231202101,arousal,10491,18
Verheyen2020,32.86546635365703,30,40,0.9528385165752772,arousal,1000,20
Vo2009,25.148724926690292,30,40,0.9310319160482068,arousal,2902,20
Warriner2013,24.834528521684675,30,40,0.8336169622088457,arousal,13915,21
Yao2017,80.97117642757544,80,130,0.9871762045928218,arousal,1100,48
Yee2017,24.495521632895176,30,40,0.8852610912597902,arousal,292,22
Barca2002,53.814520672457185,60,80,0.9627536045491564,imagine,626,44
Bennett2011,54.51173125578155,60,80,0.9434754428737075,imagine,599,43
Berrian1979,60.47256815867685,90,110,0.9790815982488896,imagine,324,67
Bonin2021,40.0658958595909,40,60,0.9612344182812255,imagine,506,31
Borsa2025,32.492868216144956,30,50,0.9758292805679402,imagine,964,20
Boukadi2016,37.435611559734866,40,50,0.9574885374026987,imagine,348,25
Chan2024,25.185820000865675,30,40,0.898262072409255,imagine,25281,20
Clarke2024,176.98226335666988,190,340,0.9975589418722244,imagine,627,60
Conca2024,9.109973585515334,20,30,0.9552226731367259,imagine,503,10
Cortese2004,40.69605960742822,40,60,0.9582080000894412,imagine,3000,30
DeDeyne2008,47.60595057822092,40,60,0.9455786698152842,imagine,663,28
DellaRosa2010,76.36730202744926,70,110,0.9999993758422117,imagine,417,35
Desrochers2009,59.973534228857375,90,110,0.9806493439473579,imagine,3600,72
Desrochers2010,53.84508964788394,70,80,0.9788619443564909,imagine,3600,50
Falcinelli2024,24.964326084563666,NA,40,0.7274100952138443,imagine,200,20
Gilhooly1977,59.078992199723864,70,90,0.9751067027040372,imagine,205,50
Gilhooly1980,97.14719751102095,110,130,0.9339924188234697,imagine,901,37
Gilhooly1980a,48.26452104818759,50,70,0.9562238024090449,imagine,1920,37
Grigoriev2013,40.71492244196852,30,60,0.9090818433914968,imagine,267,20
Guasch2016,45.45301777172347,40,60,0.985906763648597,imagine,1400,21
Janschewitz2008,160.87335738970825,270,330,0.9954582202151403,imagine,1380,84
Janssen2011,40.29345609863154,40,60,0.9304196660126526,imagine,150,31
Kerr1991,50.771708918469386,40,60,0.9775716260402121,imagine,306,12
Khwaileh2018,62.71591817752413,170,200,0.9603715271859031,imagine,861,148
Kraljevic2018,50.35183819654277,50,70,0.9781773257837538,imagine,2872,33
Lippman1974,63.38642609855084,110,130,0.964930111058397,imagine,226,85
Manoiloff2010,44.00562958271882,50,60,0.9284661705014418,imagine,400,35
Masterson1998,46.6867679644935,50,70,0.899639983624497,imagine,266,40
Miklashevsky2018,52.23741602164489,40,70,0.9845973659150054,imagine,506,20
Montefinese2014,45.898042125316756,50,60,0.9580853380041296,imagine,1121,31
Muraki2025,37.14810438387842,40,50,0.9587240115754633,imagine,2938,25
Paivio1968,51.62429600812997,50,80,0.9824552616274088,imagine,923,31
PetiStantic2021,40.652885455190805,40,60,0.9560164816844322,imagine,6000,30
Rami2022,40.945748283011056,50,50,0.9115810126040432,imagine,130,40
Raslescu2023,51.90923429644704,220,250,0.9756960482592031,imagine,300,197
Rinaldi2004,54.940210961043995,70,80,0.9319906947417497,imagine,519,50
Schmidtke2014,32.805971926505926,30,50,0.9713056818780305,imagine,1003,20
Scott2017,50.276273997819935,50,70,0.9804787145394618,imagine,5553,33
Scott2019,50.32341704270229,50,70,0.9790713202248734,imagine,5553,33
Soares2017,56.551768385171826,80,90,0.954394528462189,imagine,3800,61
Stration1975,40.978909267691165,40,60,0.9470030338844505,imagine,506,30
Toglia1978,53.18490904620882,70,90,0.94628260050082,imagine,2853,60
Tsaparina2011,60.03880152524033,60,80,0.9676397571558463,imagine,260,34
Verheyen2020,25.049850718421517,30,40,0.937702734862448,imagine,1000,20
Vo2009,32.89424963591889,30,50,0.9723985629994472,imagine,2902,20
Walker1970,51.55383105090961,60,80,0.9784464839325603,imagine,334,40
Walley1992,24.94257211319359,30,40,0.9310834481628804,imagine,87,20
Yao2017,73.11591992044617,80,120,0.9878631660714994,imagine,1100,48
Yee2017,24.094151436956494,30,40,0.885869162381567,imagine,292,22
Alario1999,41.2818735951993,40,60,0.9717499899888384,aoa,398,30
Alonso2015,33.08401854587919,30,50,0.9789438930742407,aoa,7039,20
Alonso2016,55.962946829179145,70,90,0.9836198792226584,aoa,4640,49
Barca2002,58.993030259522286,60,90,0.9868386260256355,aoa,626,44
Birchenough2017,46.41698884529609,40,60,0.982943352934673,aoa,3259,20
Bonin2003,33.16099913011112,30,50,0.9726038112004928,aoa,299,20
Bonin2021,40.43078373674562,40,60,0.9695638533553248,aoa,506,31
Borsa2025,39.94798145578906,40,60,0.9822770760407176,aoa,964,20
Brysbaert2014a,44.69713220805395,40,70,0.9757826027640423,aoa,25881,25
Cameirao2010,56.83328408164355,60,80,0.9866469499231597,aoa,1749,40
Carroll1973,47.64722763877699,50,70,0.9923029748632428,aoa,220,29
Clarke2018,62.89466461682416,80,100,0.9811403427040282,aoa,480,58
Clarke2024,65.45840751997613,90,120,0.9871946315642363,aoa,628,60
Conca2024,9.60312446277851,20,30,0.968099896434094,aoa,503,10
Dellacqua2000_1,27.28198797066952,30,50,0.9714994389543797,aoa,264,15
DellaRosa2010,72.74457240308467,60,100,0.9999988486602295,aoa,417,35
Diez-Alamo2018,18.591927678551244,20,30,0.863648593917294,aoa,5500,15
Falcinelli2024,25.1536889365849,30,40,0.9361173494813941,aoa,200,20
Ferrand2008,52.041420089917814,50,80,0.9838702044159735,aoa,1493,31
Gilhooly1977,56.82705340208747,60,90,0.9917443887806707,aoa,205,40
Gilhooly1980,104.68875798904165,110,150,0.9828017204884408,aoa,902,36
Gilhooly1980a,54.54087785393035,50,80,0.9909084592048152,aoa,1920,36
Khwaileh2018,66.08695122684689,160,190,0.9809863723430872,aoa,861,132
Kraljevic2018,86.8550120813998,70,140,0.9898863226303428,aoa,2280,33
Kuperman2012,40.47995599119667,40,60,0.9791084252894557,aoa,31105,20
Lachaud2007,63.73026605668341,50,100,0.9890812288442253,aoa,1225,20
Manoiloff2010,49.776916981385554,50,70,0.9716541770028487,aoa,400,35
Marques2007,45.72665815133342,40,70,0.9867676059432434,aoa,834,22
Masterson1998,56.55966487193963,60,80,0.9674707519115554,aoa,266,40
Miklashevsky2018,32.895300198225236,30,50,0.9552003491472786,aoa,506,20
Mochizuki2025,51.75791488761731,60,70,0.96235510625867,aoa,5736,40
Montefinese2019,49.96540321901807,40,70,0.9797979666542381,aoa,1957,25
Moors2013,51.446574513190804,50,70,0.9744089790099344,aoa,4299,32
Moreno-Martinez2012,82.51647392118946,110,150,0.99197121003667,aoa,360,77
Navarrete2019,73.04819141230055,110,140,0.9910570661040718,aoa,357,81
PetiStantic2021,47.22250292732379,50,70,0.979670917865762,aoa,6000,30
Raman2014,52.3604687344431,NA,80,0.5665190865991672,aoa,260,61
Rami2022,65.227040397129,60,110,0.9897824964659446,aoa,130,40
Russell1970,39.79391848049702,40,60,0.9836923405256137,aoa,824,20
Ruts2004,37.91015242031034,40,60,0.9755952073039826,aoa,338,24
Schock2012,45.95095258717577,50,60,0.963281135237953,aoa,3000,32
Schroder2012,39.85247755446013,40,50,0.9839382325851503,aoa,824,20
Schwitter2004,41.04412331052571,40,60,0.9453622549771654,aoa,112,30
Scott2017,50.34264809872277,50,70,0.9833361830763572,aoa,5553,34
Scott2019,50.38579955115072,50,70,0.984120589952967,aoa,5553,34
Stration1975,47.363500647310175,50,70,0.986976432833108,aoa,506,30
Tabossi2011,45.74293324586842,50,70,0.8569926205935192,aoa,245,42
Tsaparina2011,49.89592424945028,50,80,0.9657052187366926,aoa,260,35
Valueva2025,52.833659231897364,50,80,0.9851016469576437,aoa,30846,30
Verheyen2020,33.21887227690012,30,60,0.979836586526507,aoa,1000,20
Xu2021,18.522041487697862,20,40,0.8990904585613629,aoa,19716,15
