run_id,n_precision,n_reliability,max_sample_size,max_reliability,variable,n_items,n_per_item
Alario1999,52.17639257133962,50,80,0.9901983260481636,familiar,398,30
Barca2002,57.98874196080348,70,90,0.9704357523555678,familiar,626,44
Bogunovic2023,77.43062989242634,60,130,0.9838647550093809,familiar,1307,20
Bonin2003,32.70377700512951,30,50,0.9573510042383825,familiar,299,20
Bonin2021,40.05444511016726,40,60,0.9361037104296334,familiar,506,31
Borsa2025,32.59835394140513,30,50,0.9541214131118055,familiar,964,20
Boukadi2016,37.28793132840573,40,50,0.9380360062617835,familiar,400,25
Chan2024,25.257556433234377,30,50,0.8773473050903603,familiar,25281,20
Clarke2018,54.56183710131097,70,90,0.9596305706575052,familiar,480,58
Conca2024,19.873129141161527,20,40,0.9593409809614613,familiar,503,10
Conde2026_familiar_human,36.121797891224254,30,60,0.9859473974361052,familiar,11010,12
DeDeyne2008,41.978217769570556,40,60,0.9694995373715184,familiar,663,28
Dellacqua2000_1,27.065043720308395,30,40,0.9720624250554083,familiar,264,15
DellaRosa2010,67.03887348652594,60,90,0.9999969045764011,familiar,417,35
Falcinelli2024,32.7259205090987,30,40,0.9285104190383978,familiar,200,20
Ferre2012,56.558548314968256,60,80,0.9758613817169808,familiar,380,47
Fiez1997,46.43703619089237,50,70,0.9399956816984903,familiar,275,40
Gilhooly1977,51.4637125408518,60,80,0.9795170380556626,familiar,205,40
Gilhooly1980,98.48748873424553,100,130,0.9439889146383954,familiar,902,35
Gilhooly1980a,49.19991654727752,50,70,0.9739946559252198,familiar,1920,36
Granja2025,57.16075033654032,NA,110,0.6238572684745045,familiar,500,85
Grigoriev2013,32.624679095094685,30,50,0.9645462218419728,familiar,288,20
Guasch2016,39.13828532531176,40,50,0.9558993946194763,familiar,1400,21
Hermans1994,58.546241340433816,80,110,0.9722141530748041,familiar,740,64
Hinojosa2016b,41.071885878488466,40,60,0.9343906646946667,familiar,875,30
Janschewitz2008,148.04058441841954,240,270,0.9768785478569384,familiar,1380,84
Janssen2011,41.32845835636435,40,60,0.9710532568485334,familiar,150,29
Kerr1991,37.577468995571046,30,40,0.8419639311224697,familiar,306,12
Khwaileh2018,62.22491191537753,140,160,0.9133161555344109,familiar,861,116
Kraljevic2018,78.79152369931447,60,130,0.982796742814836,familiar,2283,33
Lachaud2007,68.32570717217993,60,110,0.979178135917243,familiar,1225,20
Li2021,51.757302154718396,60,80,0.9657405145508232,familiar,72,40
Liu2025,40.439042716882525,40,50,0.9180758351700039,familiar,1200,30
Manoiloff2010,49.24521054819967,50,70,0.9771039337252583,familiar,400,35
Masterson1998,56.37313835290223,60,80,0.9784514059625136,familiar,266,40
Montefinese2014,46.170088098348415,40,60,0.9430560943746138,familiar,1121,31
Moreno-Martinez2012,71.8851662622533,100,130,0.9863301244395227,familiar,360,77
Moreno-Martinez2014,52.567401830453434,60,80,0.9806021392200245,familiar,820,38
Navarrete2019,65.819456095284,100,130,0.9857836640795087,familiar,357,81
Quadflieg2014,25.00524059200447,30,40,0.914045215258926,familiar,875,20
Rogic2013,55.28507754876521,70,90,0.9553396366313275,familiar,61,56
Russell1970,24.89396427462789,30,40,0.9353909377895876,familiar,824,20
Salmon2010,72.4379724656368,90,120,0.99213386642903445,familiar,320,55
Schroder2012,24.995725091414528,30,40,0.926830560068026,familiar,824,20
Schwitter2004,46.76889574370547,50,60,0.9677920551194166,familiar,112,30
Scott2017,46.076377501724785,50,60,0.9558440866313881,familiar,5553,31
Scott2019,44.9815810962088,50,70,0.9600436877888366,familiar,5553,33
Snodgrass1980,56.44686387337568,60,80,0.9796917220696736,familiar,260,40
Stration1975,41.40465804334973,40,60,0.970785709258355,familiar,506,30
Surprenant1999,59.20479168897716,80,100,0.9568963678244389,familiar,199,63
Tabossi2011,50.197071036957,60,70,0.9294157429260472,familiar,245,42
Toglia1978,73.18713554131519,90,130,0.9839054998601213,familiar,2639,60
Tsaparina2011,48.6796829846623,50,70,0.9610786131920275,familiar,260,36
Verheyen2020,32.82568889177733,30,50,0.9643464951458948,familiar,1000,20
Whalen1994,45.744778773466386,40,60,0.9496040235578148,familiar,120,32
Yao2017,73.41153371950507,80,120,0.9844894227523383,familiar,1100,48
Yee2017,24.207018574617145,30,50,0.8405626879396786,familiar,292,22
Yoon2004,NA,20,500,0.9806125703071044,familiar,344,100
Barca2002,62.56393618827188,70,90,0.9780895564035795,concrete,626,44
Bogunovic2023,46.35380106682765,40,50,0.8752909174733957,concrete,1307,20
Bonin2018,43.39078305214789,40,60,0.9799817456874944,concrete,1659,25
Borsa2025,39.61093936550465,30,50,0.9783307154034988,concrete,964,20
Brysbaert2014,36.98012247953223,40,50,0.973300428750609,concrete,39954,25
Brysbaert2014a,37.27300843675788,40,60,0.9776154965795318,concrete,30065,25
Chan2024,25.17987315127688,30,40,0.8776993576784692,concrete,25281,20
Coso2019,25.00613731971653,30,40,0.9410712612166913,concrete,3022,20
DellaRosa2010,71.89493174927142,70,110,0.9999995074930236,concrete,417,35
Falcinelli2024,32.27056523058431,30,40,0.9657491066960221,concrete,200,20
Ferre2012,51.82984687097966,60,80,0.9477097395448907,concrete,380,47
Friendly1982,54.35210566268036,70,90,0.9854751265253269,concrete,1093,50
Gilhooly1977,51.54191466134253,50,70,0.9666708907655671,concrete,205,40
Gilhooly1980,94.12897118497585,100,120,0.9128088397820934,concrete,902,36
Gilhooly1980a,49.42444000647619,50,70,0.9806447706982152,concrete,1920,35
Guasch2016,32.17533912377306,30,50,0.9664342951385466,concrete,1400,21
Hinojosa2016a,43.910747229646525,50,60,0.9309776415783243,concrete,875,35
Kanske2010,84.43954019133227,110,150,0.99304544078718,concrete,1000,64
Kerr1991,44.69395345494385,40,50,0.9711521973562048,concrete,306,12
Klee1976,49.127641115080756,50,70,0.9892913855904354,concrete,200,26
Kraljevic2018,44.764065641868406,50,60,0.9712835068558855,concrete,2283,33
Liu2025,34.84867983028243,40,50,0.9152146252884324,concrete,1200,30
Montefinese2014,45.9103960874269,50,60,0.9723834966584725,concrete,1121,31
Montefinese2023_en,221.1589505153678,350,420,0.9932645028671758,concrete,544,63
Montefinese2023_it,160.91254906828482,200,260,0.9903119211985384,concrete,562,39
Muraki2025,37.783763492863855,40,50,0.9501214453306622,concrete,2938,24
Paivio1968,79.86838722004768,70,130,0.9956659647077847,concrete,921,31
PetiStantic2021,40.793779647942266,40,60,0.9575596647046907,concrete,6000,30
Quadflieg2014,25.253815091033545,30,40,0.8627773431157101,concrete,875,20
Scott2017,50.45666658698929,50,70,0.9830083745383217,concrete,5553,33
Scott2019,50.47341602520728,50,70,0.9832261668811101,concrete,5553,33
Siew2025,52.02991048045466,70,90,0.9475166324396005,concrete,283,55
Soares2017,58.648505898317694,70,100,0.9808996702625146,concrete,3800,57
Toglia1978,53.414502875089944,70,90,0.9507522288663496,concrete,2853,60
VanderGoten1999,49.29291271829211,50,70,0.9740329631569296,concrete,399,35
Verheyen2020,25.182173257915736,30,40,0.8932636762620109,concrete,1000,20
Yao2017,84.63517622175331,90,140,0.9895576239428572,concrete,1100,48
Yee2017,31.83514658969729,30,40,0.9144044724232135,concrete,292,22
Bogunovic2023,46.631311460728284,40,60,0.9209885169951104,valence,1307,20
Bonin2018,41.88090386796976,40,60,0.9700473797565311,valence,1659,29
Borsa2025,40.032889818325486,40,60,0.989827373476845,valence,963,20
Bradley1999,10.073284011520741,20,30,0.9745196476208859,valence,976,8
Chan2024,33.1700359586656,30,50,0.9504635897030101,valence,25281,20
Cheng2025,25.285309478585035,30,40,0.9203801820186376,valence,3971,20
Conca2024,9.348978502499065,20,30,0.9098846992778841,valence,503,10
Coso2019,33.13873578551612,30,50,0.9790659787762046,valence,3022,20
Falcinelli2024,33.00954892798118,30,50,0.9748783139568167,valence,200,20
Ferre2012,61.5319862890759,70,90,0.9838336328684181,valence,380,47
Guasch2016,45.5122758738146,40,70,0.988538301494657,valence,1400,22
Hinojosa2016a,54.98998636113413,60,90,0.9932952902063831,valence,875,35
Imbir2015,60.10986313696711,70,90,0.9902750404692338,valence,1586,42
Janschewitz2008,183.72755788803914,280,410,0.9974741212025009,valence,1380,84
Kanske2010,58.482212361234076,80,100,0.9140994577593085,valence,1000,64
Kurdi2017,87.49481619160603,150,210,0.9945050068011811,valence,900,102
Liu2025,47.47575006930313,50,70,0.9910014315906076,valence,1200,30
Monnier2017,42.68168891204711,40,60,0.963282616928927,valence,1031,27
Montefinese2014,52.03603746247649,50,80,0.9900532771331457,valence,1121,31
Moors2013,71.09047798851044,90,140,0.9935968834680766,valence,4299,64
Muraki2025,42.548270030744376,40,70,0.9788408862548567,valence,2938,28
Quadflieg2014,40.36589765501314,30,60,0.9897182885226874,valence,875,20
Raslescu2023,79.94879156069717,270,350,0.9992498538691688,valence,300,199
Ric2013,84.17518627645649,120,180,0.9963702076412612,valence,524,80
Rocklage2018,53.01332835647254,50,80,0.9956185051517455,valence,1541,30
Roest2017,79.57723132736689,120,180,0.9956267146369041,valence,672,87
Schauenburg2015,54.96533405437196,50,80,0.9872964183079105,valence,858,35
