dataset,variable,word_column,mean_column,sd_column,n_items,min_score,max_score,n_per_item
Lippman1974.csv,imagine,word_english,imagine_mean,imagine_sd,226,1.65,6.51,85
Liu2025.csv,familiar,word_chinese_simplified,familiar_mean,familiar_sd,1200,4.6429,7,30
Liu2025.csv,concrete,word_chinese_simplified,concrete_mean,concrete_sd,1200,1.1111,5.7037,30
Liu2025.csv,valence,word_chinese_simplified,valence_mean,valence_sd,1200,-2.6667,2.6667,30
Liu2025.csv,arousal,word_chinese_simplified,arousal_mean,arousal_sd,1200,1.25,6.4643,30
Manoiloff2010.csv,familiar,word_spanish,familiar_mean,familiar_sd,400,1.18,4.94,35
Manoiloff2010.csv,imagine,word_spanish,imagine_mean,imagine_sd,400,1.57,4.77,35
Masterson1998.csv,familiar,word_english,familiar_mean,familiar_sd,266,1.4,6.71,40
Masterson1998.csv,imagine,word_english,imagine_mean,imagine_sd,266,3,6.64,40
Miklashevsky2018.csv,imagine,word_russian,imagine_mean,imagine_sd,506,1.93,7,20
Monnier2017.csv,valence,word_french,valence_mean,valence_sd,1031,1.35,8.58,27
Monnier2017.csv,arousal,word_french,arousal_mean,arousal_sd,1031,2.14,7.86,27
Montefinese2014.csv,familiar,word_italian,familiar_mean,familiar_sd,1121,2.8,8.85,31
Montefinese2014.csv,concrete,word_italian,concrete_mean,concrete_sd,1121,2.4,9,31
Montefinese2014.csv,valence,word_italian,valence_mean,valence_sd,1121,1.18,8.88,31
Montefinese2014.csv,arousal,word_italian,arousal_mean,arousal_sd,1121,2,8.11,31
Montefinese2014.csv,imagine,word_italian,imagine_mean,imagine_sd,1121,3.4,9,31
Montefinese2023_en.csv,concrete,word_english,concrete_mean,concrete_sd,544,1.31,7,63
Montefinese2023_it.csv,concrete,word_italian,concrete_mean,concrete_sd,562,1.44,6.96,39
Moors2013.csv,valence,word_dutch,valence_mean,valence_sd,4299,1.14,6.61,64
Moors2013.csv,arousal,word_dutch,arousal_mean,arousal_sd,4299,1.45,6.52,64
Moreno-Martinez2012.csv,familiar,word_spanish,familiar_mean,familiar_sd,360,1.32,4.97,77
Moreno-Martinez2014.csv,familiar,word_spanish,familiar_mean,familiar_sd,820,0.45,5,38
Muraki2025.csv,concrete,item,concrete_mean,concrete_sd,2938,1.35,5,24
Muraki2025.csv,valence,item,valence_mean,valence_sd,2938,1,8.78,28
Muraki2025.csv,arousal,item,arousal_mean,arousal_sd,2938,1.6,8.47,19
Muraki2025.csv,imagine,item,imagine_mean,imagine_sd,2938,1.42,7,25
Navarrete2019.csv,familiar,word_italian,familiar_mean,familiar_sd,357,1.02,4.93,81
Paivio1968.csv,concrete,word_english,concrete_mean,concrete_sd,921,1.18,7.7,31
Paivio1968.csv,imagine,word_english,imagine_mean,imagine_sd,923,1.63,6.9,31
PetiStantic2021.csv,concrete,word_croatian,concrete_mean,concrete_sd,6000,1.166666667,5,30
PetiStantic2021.csv,imagine,word_croatian,imagine_mean,imagine_sd,6000,1.24137931,5,30
Quadflieg2014.csv,familiar,word_french,familiar_mean,familiar_sd,875,1.83,6.83,20
Quadflieg2014.csv,concrete,word_french,concrete_mean,concrete_sd,875,1.94,6.16,20
Quadflieg2014.csv,valence,word_french,valence_mean,valence_sd,875,1.05,6.74,20
Rami2022.csv,imagine,word_arabic_moroccan,imagine_mean,imagine_sd,130,1,2.4,40
Raslescu2023.csv,valence,word_english,valence_mean,valence_sd,300,7.316582915,89.30653266,199
Raslescu2023.csv,imagine,word_english,imagine_mean,imagine_sd,300,31.01612903,92.10152284,197
Ric2013.csv,valence,word_french,valence_mean,valence_sd,524,-2.7,2.5,80
Rinaldi2004.csv,imagine,word_italian,imagine_mean,imagine_sd,519,2.7,6.7,50
Rocklage2018.csv,valence,word_english,valence_mean,valence_sd,1541,0.26,8.57,30
Roest2017.csv,valence,word_dutch,valence_mean,valence_sd,672,1.07,6.23,87
Roest2017.csv,arousal,word_dutch,arousal_mean,arousal_sd,672,1.59,5.59,87
Rogic2013.csv,familiar,word_croatian,familiar_mean,familiar_sd,61,2,4.8,56
Russell1970.csv,familiar,word_german,familiar_mean,familiar_sd,824,1.26,5,20
Salmon2010.csv,familiar,word_english,familiar_mean,familiar_sd,320,1.127272727,4.981818182,55
Schauenburg2015.csv,valence,word_german,valence_mean,valence_sd,858,1.655,8.593,35
Schauenburg2015.csv,arousal,word_german,arousal_mean,arousal_sd,858,2.053,8.083,35
Schmidtke2014.csv,valence,word_german,valence_mean,valence_sd,1003,-2.9,2.9,20
Schmidtke2014.csv,imagine,word_german,imagine_mean,imagine_sd,1003,1.65,6.9,20
Schroder2012.csv,familiar,word_german,familiar_mean,familiar_sd,824,1.263157894736842,5,20
Schwitter2004.csv,familiar,word_french,familiar_mean,familiar_sd,112,1.4,4.9,30
Scott2017.csv,familiar,word_english,familiar_mean,familiar_sd,5553,1.6471,6.9375,31
Scott2017.csv,concrete,word_english,concrete_mean,concrete_sd,5553,1.6176,6.9394,33
Scott2017.csv,valence,word_english,valence_mean,valence_sd,5553,1.0303,8.6471,33
Scott2017.csv,arousal,word_english,arousal_mean,arousal_sd,5553,2.0606,8.1765,33
Scott2017.csv,imagine,word_english,imagine_mean,imagine_sd,5553,1.7368,6.9394,33
Scott2019.csv,familiar,word_english,familiar_mean,familiar_sd,5553,1.647,6.939,33
Scott2019.csv,concrete,word_english,concrete_mean,concrete_sd,5553,1.636,6.943,33
Scott2019.csv,valence,word_english,valence_mean,valence_sd,5553,1.03,8.647,34
Scott2019.csv,arousal,word_english,arousal_mean,arousal_sd,5553,2.057,8.177,33
Scott2019.csv,imagine,word_english,imagine_mean,imagine_sd,5553,1.737,6.941,33
Siew2025.csv,concrete,word_english_singapore,concrete_mean,concrete_sd,283,1.409836066,4.682539683,55
Siew2025.csv,valence,word_english_singapore,valence_mean,valence_sd,283,2.329268293,8.292134831,78
Siew2025.csv,arousal,word_english_singapore,arousal_mean,arousal_sd,283,3.506666667,7.11627907,72
Snodgrass1980.csv,familiar,word_english,familiar_mean,familiar_sd,260,1.18,4.9,40
Soares2012.csv,valence,word_spanish,valence_mean,valence_sd,167,1.13,8.62,60
Soares2012.csv,arousal,word_spanish,arousal_mean,arousal_sd,167,3.06,8.46,60
Soares2017.csv,concrete,word_spanish,concrete_mean,concrete_sd,3800,1.87,6.91,57
Soares2017.csv,imagine,word_spanish,imagine_mean,imagine_sd,3800,2.09,6.75,61
Stadthagen-Gonzalez2017.csv,valence,word_spanish,valence_mean,valence_sd,14031,1.15,9,96
Stadthagen-Gonzalez2017.csv,arousal,word_spanish,arousal_mean,arousal_sd,14031,1.4,8.45,96
Stadthagen-Gonzalez2017a.csv,valence,word_spanish,valence_mean,valence_sd,10491,1.25,8.75,18
Stadthagen-Gonzalez2017a.csv,arousal,word_spanish,arousal_mean,arousal_sd,10491,1.6,8.35,18
Stration1975.csv,familiar,word_english,familiar_mean,familiar_sd,506,0.8,4.94,30
Stration1975.csv,imagine,word_english,imagine_mean,imagine_sd,506,1.14,5,30
Surprenant1999.csv,familiar,word_english,familiar_mean,familiar_sd,199,1.97,6.61,63
Syssau2009.csv,valence,word_french,valence_mean,valence_sd,470,0.88,4.84,100
Tabossi2011.csv,familiar,word_italian_idiom,familiar_mean,familiar_sd,245,3.36,6.83,42
Toglia1978.csv,familiar,word_english,familiar_mean,familiar_sd,2639,1.15,6.85,60
Toglia1978.csv,concrete,word_english,concrete_mean,concrete_sd,2853,1.54,6.68,60
Toglia1978.csv,imagine,word_english,imagine_mean,imagine_sd,2853,1.46,6.61,60
Tsaparina2011.csv,familiar,word_russian,familiar_mean,familiar_sd,260,1.61,4.92,36
Tsaparina2011.csv,imagine,word_russian,imagine_mean,imagine_sd,260,1.71,4.97,34
VanderGoten1999.csv,concrete,word_dutch,concrete_mean,concrete_sd,399,1.96,6.56,35
VanderGoten1999.csv,valence,word_dutch,valence_mean,valence_sd,399,1.51,6.67,35
Verheyen2020.csv,familiar,word_dutch,familiar_mean,familiar_sd,1000,1.32,6.55,20
Verheyen2020.csv,concrete,word_dutch,concrete_mean,concrete_sd,1000,2.3,6.75,20
Verheyen2020.csv,valence,word_dutch,valence_mean,valence_sd,1000,1.3,6.6,20
Verheyen2020.csv,arousal,word_dutch,arousal_mean,arousal_sd,1000,1.6,6.55,20
Verheyen2020.csv,imagine,word_dutch,imagine_mean,imagine_sd,1000,1.75,6.95,20
Vo2009.csv,valence,word_german,valence_mean,valence_sd,2902,-3,2.9,20
Vo2009.csv,arousal,word_german,arousal_mean,arousal_sd,2902,1.1,4.7,20
Vo2009.csv,imagine,word_german,imagine_mean,imagine_sd,2902,1.2,6.9,20
Walker1970.csv,imagine,word_english,imagine_mean,imagine_sd,334,1.58,6.82,40
Walley1992.csv,imagine,word_english,imagine_mean,imagine_sd,87,2.1,6.85,20
Warriner2013.csv,valence,word_english,valence_mean,valence_sd,13915,1.26,8.53,20
Warriner2013.csv,arousal,word_english,arousal_mean,arousal_sd,13915,1.6,7.79,21
Whalen1994.csv,familiar,word_english,familiar_mean,familiar_sd,120,1.78,6.37,32
Yao2017.csv,familiar,word_chinese_simplified,familiar_mean,familiar_sd,1100,1.5,8.32,48
Yao2017.csv,concrete,word_chinese_simplified,concrete_mean,concrete_sd,1100,2.33,8.82,48
Yao2017.csv,valence,word_chinese_simplified,valence_mean,valence_sd,1100,1.22,8.41,48
Yao2017.csv,arousal,word_chinese_simplified,arousal_mean,arousal_sd,1100,2.04,8.58,48
Yao2017.csv,imagine,word_chinese_simplified,imagine_mean,imagine_sd,1100,2.54,8.32,48
Yee2017.csv,familiar,word_chinese_simplified,familiar_mean,familiar_sd,292,2.88,4.76,22
Yee2017.csv,concrete,word_chinese_simplified,concrete_mean,concrete_sd,292,1.68,4.78,22
Yee2017.csv,valence,word_chinese_simplified,valence_mean,valence_sd,292,1.24,4.84,22
Yee2017.csv,arousal,word_chinese_simplified,arousal_mean,arousal_sd,292,1.56,4.48,22
Yee2017.csv,imagine,word_chinese_simplified,imagine_mean,imagine_sd,292,1.63,4.73,22
Yoon2004.csv,familiar,word_english,familiar_mean,familiar_sd,344,1.87,5,100
Alario1999.csv,aoa,word_spanish,aoa_mean,aoa_sd,398,1.12,4.77,30
Alonso2015.csv,aoa,word_spanish,aoa_mean,aoa_sd,7039,1.12,10.96,20
Alonso2016.csv,aoa,word_spanish,aoa_mean,aoa_sd,4640,3.14,16.33,49
Barca2002.csv,aoa,word_italian,aoa_mean,aoa_sd,626,1.09,6.77,44
Birchenough2017.csv,aoa,word_german,aoa_mean,aoa_sd,3259,1.67,15.83,20
Bonin2003.csv,aoa,word_french,aoa_mean,aoa_sd,299,1.1,4.6,20
Bonin2021.csv,aoa,word_french,aoa_mean,aoa_sd,506,1.52,4.9,31
Borsa2025.csv,aoa,word_italian,aoa_mean,aoa_sd,964,2.818181818,16.89473684,20
Brysbaert2014a.csv,aoa,word_dutch,aoa_mean,aoa_sd,25881,1.527027027,26,25
Cameirao2010.csv,aoa,word_portuguese,aoa_mean,aoa_sd,1749,1.18,8.78,40
Carroll1973.csv,aoa,word_english,aoa_mean,aoa_sd,220,1.34,9,29
Clarke2018.csv,aoa,word_thai_intended,aoa_mean,aoa_sd,480,1.88,6.71,58
Clarke2024.csv,aoa,word_english,aoa_mean,aoa_sd,628,1.722222222,6.705882353,60
Conca2024.csv,aoa,word_turkish,aoa_mean,aoa_sd,503,1.777777778,7,10
DellaRosa2010.csv,aoa,word_italian,aoa_mean,aoa_sd,417,118,606,35
Dellacqua2000_1.csv,aoa,word_italian,aoa_mean,aoa_sd,264,1.6,7.5,15
Diez-Alamo2018.csv,aoa,word_spanish,aoa_mean,aoa_sd,5500,1.472,6.543,15
Falcinelli2024.csv,aoa,word_italian,aoa_mean,aoa_sd,200,1.85,6.45,20
Ferrand2008.csv,aoa,word_french,aoa_mean,aoa_sd,1493,2.81868743,15.45352564,31
Gilhooly1977.csv,aoa,word_english,aoa_mean,aoa_sd,205,1.38,6.9,40
Gilhooly1980.csv,aoa,word_english,aoa_mean,aoa_sd,902,1.56,7,36
Gilhooly1980a.csv,aoa,word_english,aoa_mean,aoa_sd,1920,1.25,6.97,36
Khwaileh2018.csv,aoa,word_arabic_aralex,aoa_mean,aoa_sd,861,2.36,6.76,132
Kraljevic2018.csv,aoa,word_croatian,aoa_mean,aoa_sd,2280,1.222222222,16.5,33
