"name","output","status","pilot_file","lower_target","upper_target","start_sample_size","stop_sample_size","lower_hit_sample_size","upper_hit_sample_size","max_percent_below"
"Alario1999","Alario1999.rds","ready","simulations/aoa/pilot/Alario1999.rds",70,95,40,70,40,70,100
"Alonso2015","Alonso2015.rds","ready","simulations/aoa/pilot/Alonso2015.rds",70,95,30,50,30,50,100
"Alonso2016","Alonso2016.rds","ready","simulations/aoa/pilot/Alonso2016.rds",70,95,70,90,70,90,100
"Barca2002","Barca2002.rds","ready","simulations/aoa/pilot/Barca2002.rds",70,95,60,90,60,90,100
"Birchenough2017","Birchenough2017.rds","ready","simulations/aoa/pilot/Birchenough2017.rds",70,95,40,60,40,60,100
"Bonin2003","Bonin2003.rds","ready","simulations/aoa/pilot/Bonin2003.rds",70,95,30,40,30,40,100
"Bonin2021","Bonin2021.rds","ready","simulations/aoa/pilot/Bonin2021.rds",70,95,40,60,40,60,100
"Borsa2025","Borsa2025.rds","ready","simulations/aoa/pilot/Borsa2025.rds",70,95,40,70,40,70,100
"Brysbaert2014a","Brysbaert2014a.rds","ready","simulations/aoa/pilot/Brysbaert2014a.rds",70,95,40,70,40,70,100
"Cameirao2010","Cameirao2010.rds","ready","simulations/aoa/pilot/Cameirao2010.rds",70,95,60,80,60,80,100
"Carroll1973","Carroll1973.rds","ready","simulations/aoa/pilot/Carroll1973.rds",70,95,50,80,50,80,100
"Clarke2018","Clarke2018.rds","ready","simulations/aoa/pilot/Clarke2018.rds",70,95,80,110,80,110,100
"Clarke2024","Clarke2024.rds","ready","simulations/aoa/pilot/Clarke2024.rds",70,95,80,110,80,110,100
"Conca2024","Conca2024.rds","ready","simulations/aoa/pilot/Conca2024.rds",70,95,20,40,20,40,100
"DellaRosa2010","DellaRosa2010.rds","ready","simulations/aoa/pilot/DellaRosa2010.rds",70,95,60,100,60,100,100
"Dellacqua2000_1","Dellacqua2000_1.rds","ready","simulations/aoa/pilot/Dellacqua2000_1.rds",70,95,20,40,20,40,100
"Diez-Alamo2018","Diez-Alamo2018.rds","ready","simulations/aoa/pilot/Diez-Alamo2018.rds",70,95,20,30,20,30,100
"Falcinelli2024","Falcinelli2024.rds","ready","simulations/aoa/pilot/Falcinelli2024.rds",70,95,30,40,30,40,100
"Ferrand2008","Ferrand2008.rds","ready","simulations/aoa/pilot/Ferrand2008.rds",70,95,50,70,50,70,100
"Gilhooly1977","Gilhooly1977.rds","ready","simulations/aoa/pilot/Gilhooly1977.rds",70,95,60,80,60,80,100
"Gilhooly1980","Gilhooly1980.rds","ready","simulations/aoa/pilot/Gilhooly1980.rds",70,95,60,80,60,80,100
"Gilhooly1980a","Gilhooly1980a.rds","ready","simulations/aoa/pilot/Gilhooly1980a.rds",70,95,50,70,50,70,100
"Khwaileh2018","Khwaileh2018.rds","ready","simulations/aoa/pilot/Khwaileh2018.rds",70,95,160,190,160,190,100
