"name","output","status","pilot_file","lower_target","upper_target","start_sample_size","stop_sample_size","lower_hit_sample_size","upper_hit_sample_size","max_percent_below"
"Kraljevic2018","Kraljevic2018.rds","ready","simulations/aoa/pilot/Kraljevic2018.rds",70,95,80,130,80,130,100
"Kuperman2012","Kuperman2012.rds","ready","simulations/aoa/pilot/Kuperman2012.rds",70,95,40,70,40,70,100
"Lachaud2007","Lachaud2007.rds","ready","simulations/aoa/pilot/Lachaud2007.rds",70,95,40,100,40,100,100
"Manoiloff2010","Manoiloff2010.rds","ready","simulations/aoa/pilot/Manoiloff2010.rds",70,95,50,70,50,70,100
"Marques2007","Marques2007.rds","ready","simulations/aoa/pilot/Marques2007.rds",70,95,40,80,40,80,100
"Masterson1998","Masterson1998.rds","ready","simulations/aoa/pilot/Masterson1998.rds",70,95,60,80,60,80,100
"Miklashevsky2018","Miklashevsky2018.rds","ready","simulations/aoa/pilot/Miklashevsky2018.rds",70,95,30,50,30,50,100
"Mochizuki2025","Mochizuki2025.rds","ready","simulations/aoa/pilot/Mochizuki2025.rds",70,95,60,70,60,70,100
"Montefinese2019","Montefinese2019.rds","ready","simulations/aoa/pilot/Montefinese2019.rds",70,95,40,60,40,60,100
"Moors2013","Moors2013.rds","ready","simulations/aoa/pilot/Moors2013.rds",70,95,50,70,50,70,100
"Moreno-Martinez2012","Moreno-Martinez2012.rds","ready","simulations/aoa/pilot/Moreno-Martinez2012.rds",70,95,110,140,110,140,100
"Navarrete2019","Navarrete2019.rds","ready","simulations/aoa/pilot/Navarrete2019.rds",70,95,100,120,100,120,100
"PetiStantic2021","PetiStantic2021.rds","ready","simulations/aoa/pilot/PetiStantic2021.rds",70,95,50,80,50,80,100
"Raman2014","Raman2014.rds","ready","simulations/aoa/pilot/Raman2014.rds",70,95,80,90,80,90,100
"Rami2022","Rami2022.rds","ready","simulations/aoa/pilot/Rami2022.rds",70,95,70,110,70,110,100
"Russell1970","Russell1970.rds","ready","simulations/aoa/pilot/Russell1970.rds",70,95,30,60,30,60,100
"Ruts2004","Ruts2004.rds","ready","simulations/aoa/pilot/Ruts2004.rds",70,95,40,50,40,50,100
"Schock2012","Schock2012.rds","ready","simulations/aoa/pilot/Schock2012.rds",70,95,50,70,50,70,100
"Schroder2012","Schroder2012.rds","ready","simulations/aoa/pilot/Schroder2012.rds",70,95,30,50,30,50,100
"Schwitter2004","Schwitter2004.rds","ready","simulations/aoa/pilot/Schwitter2004.rds",70,95,40,50,40,50,100
"Scott2017","Scott2017.rds","ready","simulations/aoa/pilot/Scott2017.rds",70,95,50,80,50,80,100
"Scott2019","Scott2019.rds","ready","simulations/aoa/pilot/Scott2019.rds",70,95,50,80,50,80,100
"Stration1975","Stration1975.rds","ready","simulations/aoa/pilot/Stration1975.rds",70,95,50,70,50,70,100
"Tabossi2011","Tabossi2011.rds","ready","simulations/aoa/pilot/Tabossi2011.rds",70,95,50,70,50,70,100
"Tsaparina2011","Tsaparina2011.rds","ready","simulations/aoa/pilot/Tsaparina2011.rds",70,95,50,70,50,70,100
"Valueva2025","Valueva2025.rds","ready","simulations/aoa/pilot/Valueva2025.rds",70,95,50,90,50,90,100
"Verheyen2020","Verheyen2020.rds","ready","simulations/aoa/pilot/Verheyen2020.rds",70,95,30,50,30,50,100
"Xu2021","Xu2021.rds","ready","simulations/aoa/pilot/Xu2021.rds",70,95,30,40,30,40,100
