"name","output","status","pilot_file","lower_target","upper_target","start_sample_size","stop_sample_size","lower_hit_sample_size","upper_hit_sample_size","max_percent_below","reliability_hit_sample_size"
"Bogunovic2023","Bogunovic2023.rds","ready","simulations/valence/pilot/Bogunovic2023.rds",70,95,20,60,40,60,100,20
"Borsa2025","Borsa2025.rds","ready","simulations/valence/pilot/Borsa2025.rds",70,95,20,60,40,60,100,20
"Chan2024","Chan2024.rds","ready","simulations/valence/pilot/Chan2024.rds",70,95,20,50,30,50,100,20
"Conca2024","Conca2024.rds","ready","simulations/valence/pilot/Conca2024.rds",70,95,20,30,20,30,100,20
"Falcinelli2024","Falcinelli2024.rds","ready","simulations/valence/pilot/Falcinelli2024.rds",70,95,20,50,30,50,100,20
"Guasch2016","Guasch2016.rds","ready","simulations/valence/pilot/Guasch2016.rds",70,95,20,70,40,70,100,20
"Imbir2015","Imbir2015.rds","ready","simulations/valence/pilot/Imbir2015.rds",70,95,20,90,70,90,100,20
"Kanske2010","Kanske2010.rds","ready","simulations/valence/pilot/Kanske2010.rds",70,95,20,100,80,100,100,20
"Liu2025","Liu2025.rds","ready","simulations/valence/pilot/Liu2025.rds",70,95,20,70,50,70,100,20
"Montefinese2014","Montefinese2014.rds","ready","simulations/valence/pilot/Montefinese2014.rds",70,95,20,80,50,80,100,20
"Muraki2025","Muraki2025.rds","ready","simulations/valence/pilot/Muraki2025.rds",70,95,20,70,40,70,100,20
"Raslescu2023","Raslescu2023.rds","ready","simulations/valence/pilot/Raslescu2023.rds",70,95,20,350,270,350,99.6333333333333,20
"Rocklage2018","Rocklage2018.rds","ready","simulations/valence/pilot/Rocklage2018.rds",70,95,20,80,50,80,100,20
"Schauenburg2015","Schauenburg2015.rds","ready","simulations/valence/pilot/Schauenburg2015.rds",70,95,20,80,50,80,100,20
"Scott2017","Scott2017.rds","ready","simulations/valence/pilot/Scott2017.rds",70,95,20,90,50,90,100,20
"Siew2025","Siew2025.rds","ready","simulations/valence/pilot/Siew2025.rds",70,95,20,120,100,120,100,20
"Stadthagen-Gonzalez2017","Stadthagen-Gonzalez2017.rds","ready","simulations/valence/pilot/Stadthagen-Gonzalez2017.rds",70,95,20,220,140,220,100,20
"Syssau2009","Syssau2009.rds","ready","simulations/valence/pilot/Syssau2009.rds",70,95,20,170,130,170,100,20
"Verheyen2020","Verheyen2020.rds","ready","simulations/valence/pilot/Verheyen2020.rds",70,95,20,50,30,50,100,20
"Warriner2013","Warriner2013.rds","ready","simulations/valence/pilot/Warriner2013.rds",70,95,20,50,30,50,100,20
"Yee2017","Yee2017.rds","ready","simulations/valence/pilot/Yee2017.rds",70,95,20,60,40,60,100,20
