"name","output","status","pilot_file","lower_target","upper_target","start_sample_size","stop_sample_size","lower_hit_sample_size","upper_hit_sample_size","max_percent_below","reliability_hit_sample_size"
"Barca2002","Barca2002.rds","ready","simulations/imagine/pilot/Barca2002.rds",70,95,20,75,65,75,100,5
"Bennett2011","Bennett2011.rds","ready","simulations/imagine/pilot/Bennett2011.rds",70,95,20,75,55,75,100,5
"Berrian1979","Berrian1979.rds","ready","simulations/imagine/pilot/Berrian1979.rds",70,95,20,105,85,105,100,5
"Bonin2021","Bonin2021.rds","ready","simulations/imagine/pilot/Bonin2021.rds",70,95,20,55,45,55,100,5
"Borsa2025","Borsa2025.rds","ready","simulations/imagine/pilot/Borsa2025.rds",70,95,20,45,35,45,100,5
"Boukadi2016","Boukadi2016.rds","ready","simulations/imagine/pilot/Boukadi2016.rds",70,95,20,45,35,45,100,5
"Chan2024","Chan2024.rds","ready","simulations/imagine/pilot/Chan2024.rds",70,95,20,35,25,35,100,5
"Clarke2024","Clarke2024.rds","ready","simulations/imagine/pilot/Clarke2024.rds",70,95,20,365,205,365,99.9662731871838,5
"Conca2024","Conca2024.rds","ready","simulations/imagine/pilot/Conca2024.rds",70,95,20,35,15,35,100,5
"Cortese2004","Cortese2004.rds","ready","simulations/imagine/pilot/Cortese2004.rds",70,95,20,55,45,55,100,5
"DeDeyne2008","DeDeyne2008.rds","ready","simulations/imagine/pilot/DeDeyne2008.rds",70,95,20,65,45,65,100,5
"DellaRosa2010","DellaRosa2010.rds","ready","simulations/imagine/pilot/DellaRosa2010.rds",70,95,20,105,65,105,100,5
"Desrochers2009","Desrochers2009.rds","ready","simulations/imagine/pilot/Desrochers2009.rds",70,95,20,115,95,115,100,5
"Desrochers2010","Desrochers2010.rds","ready","simulations/imagine/pilot/Desrochers2010.rds",70,95,20,85,65,85,100,5
"Falcinelli2024","Falcinelli2024.rds","ready","simulations/imagine/pilot/Falcinelli2024.rds",70,95,20,35,25,35,100,15
"Gilhooly1977","Gilhooly1977.rds","ready","simulations/imagine/pilot/Gilhooly1977.rds",70,95,20,85,65,85,100,5
"Gilhooly1980","Gilhooly1980.rds","ready","simulations/imagine/pilot/Gilhooly1980.rds",70,95,20,125,105,125,100,15
"Gilhooly1980a","Gilhooly1980a.rds","ready","simulations/imagine/pilot/Gilhooly1980a.rds",70,95,20,65,55,65,100,5
"Grigoriev2013","Grigoriev2013.rds","ready","simulations/imagine/pilot/Grigoriev2013.rds",70,95,20,65,35,65,100,5
"Guasch2016","Guasch2016.rds","ready","simulations/imagine/pilot/Guasch2016.rds",70,95,20,55,35,55,100,5
"Janschewitz2008","Janschewitz2008.rds","ready","simulations/imagine/pilot/Janschewitz2008.rds",70,95,20,325,265,325,100,5
"Janssen2011","Janssen2011.rds","ready","simulations/imagine/pilot/Janssen2011.rds",70,95,20,55,45,55,100,5
"Kerr1991","Kerr1991.rds","ready","simulations/imagine/pilot/Kerr1991.rds",70,95,20,65,45,65,100,5
"Khwaileh2018","Khwaileh2018.rds","ready","simulations/imagine/pilot/Khwaileh2018.rds",70,95,20,205,175,205,100,5
"Kraljevic2018","Kraljevic2018.rds","ready","simulations/imagine/pilot/Kraljevic2018.rds",70,95,20,75,55,75,100,5
"Lippman1974","Lippman1974.rds","ready","simulations/imagine/pilot/Lippman1974.rds",70,95,20,125,105,125,100,5
"Manoiloff2010","Manoiloff2010.rds","ready","simulations/imagine/pilot/Manoiloff2010.rds",70,95,20,65,45,65,100,5
"Masterson1998","Masterson1998.rds","ready","simulations/imagine/pilot/Masterson1998.rds",70,95,20,65,55,65,100,5
"Miklashevsky2018","Miklashevsky2018.rds","ready","simulations/imagine/pilot/Miklashevsky2018.rds",70,95,20,65,45,65,100,5
"Montefinese2014","Montefinese2014.rds","ready","simulations/imagine/pilot/Montefinese2014.rds",70,95,20,65,45,65,100,5
"Muraki2025","Muraki2025.rds","ready","simulations/imagine/pilot/Muraki2025.rds",70,95,20,55,35,55,100,5
"Paivio1968","Paivio1968.rds","ready","simulations/imagine/pilot/Paivio1968.rds",70,95,20,75,55,75,100,5
"PetiStantic2021","PetiStantic2021.rds","ready","simulations/imagine/pilot/PetiStantic2021.rds",70,95,20,55,45,55,100,5
"Rami2022","Rami2022.rds","ready","simulations/imagine/pilot/Rami2022.rds",70,95,20,45,45,45,100,5
"Raslescu2023","Raslescu2023.rds","ready","simulations/imagine/pilot/Raslescu2023.rds",70,95,20,245,225,245,100,5
"Rinaldi2004","Rinaldi2004.rds","ready","simulations/imagine/pilot/Rinaldi2004.rds",70,95,20,85,65,85,100,5
"Schmidtke2014","Schmidtke2014.rds","ready","simulations/imagine/pilot/Schmidtke2014.rds",70,95,20,45,35,45,100,5
"Scott2017","Scott2017.rds","ready","simulations/imagine/pilot/Scott2017.rds",70,95,20,65,45,65,100,5
"Scott2019","Scott2019.rds","ready","simulations/imagine/pilot/Scott2019.rds",70,95,20,75,55,75,100,5
"Soares2017","Soares2017.rds","ready","simulations/imagine/pilot/Soares2017.rds",70,95,20,95,75,95,100,5
"Stration1975","Stration1975.rds","ready","simulations/imagine/pilot/Stration1975.rds",70,95,20,55,45,55,100,5
"Toglia1978","Toglia1978.rds","ready","simulations/imagine/pilot/Toglia1978.rds",70,95,20,95,75,95,100,5
"Tsaparina2011","Tsaparina2011.rds","ready","simulations/imagine/pilot/Tsaparina2011.rds",70,95,20,95,65,95,100,5
"Verheyen2020","Verheyen2020.rds","ready","simulations/imagine/pilot/Verheyen2020.rds",70,95,20,45,35,45,100,5
"Vo2009","Vo2009.rds","ready","simulations/imagine/pilot/Vo2009.rds",70,95,20,45,35,45,100,5
"Walker1970","Walker1970.rds","ready","simulations/imagine/pilot/Walker1970.rds",70,95,20,85,55,85,100,5
"Walley1992","Walley1992.rds","ready","simulations/imagine/pilot/Walley1992.rds",70,95,20,45,25,45,100,5
"Yao2017","Yao2017.rds","ready","simulations/imagine/pilot/Yao2017.rds",70,95,20,125,85,125,100,5
"Yee2017","Yee2017.rds","ready","simulations/imagine/pilot/Yee2017.rds",70,95,20,45,35,45,100,5
