word_german,word_english,semantic_category,exemplar_generation_n_20,exemplar_generation_percent,typical_M,typical_SD,aoa_M,aoa_SD,familiar_M,familiar_SD,frequency,frequency_log,phonemes,syllables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handwerker,craftsman,profession,1,0.05,2.25,1.48,3.25,1.02,4.10,1.02,14.00,1.15,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kranführer,crane operator,profession,1,0.05,2.90,1.94,4.25,1.29,2.10,1.29,0.40,-0.40,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tänzer,dancer,profession,1,0.05,4.00,1.65,3.58,1.61,3.10,1.37,4.70,0.67,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahnarzthelfer,dental assistant,profession,1,0.05,2.85,1.60,5.45,1.61,2.85,0.93,None,None,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahnarzt,dentist,profession,2,0.10,1.25,0.64,2.40,0.82,3.90,1.12,4.95,0.69,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
designer,designer,profession,1,0.05,3.30,1.69,6.30,1.08,2.60,1.27,0.87,-0.06,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diätassistent,dietician,profession,1,0.05,4.40,1.57,6.83,0.38,2.05,1.32,0.01,-2.09,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regisseur,director,profession,3,0.15,3.10,1.71,5.55,1.28,3.05,1.10,9.92,1.00,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arzt,doctor,profession,16,0.80,1.40,0.94,2.55,0.94,4.30,0.80,122.89,2.09,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arzthelfer,doctor's assistant,profession,4,0.20,3.15,1.98,5.45,1.39,3.50,1.05,0.07,-1.18,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portier,doorman,profession,1,0.05,4.68,1.73,6.10,1.07,1.95,0.94,6.29,0.80,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kraftfahrer,driver,profession,3,0.15,2.95,1.64,3.75,1.33,3.00,1.38,2.37,0.37,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fahrlehrer,driving instructor,profession,1,0.05,3.40,1.60,4.95,1.10,3.50,1.32,0.63,-0.20,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volkswirt,economist,profession,1,0.05,3.40,1.70,6.74,0.56,2.75,1.21,0.61,-0.21,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redakteur,editor,profession,2,0.10,2.80,1.61,6.20,0.95,2.70,0.86,12.73,1.10,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pädagoge,educationist,profession,2,0.10,3.00,1.72,5.20,1.28,4.00,1.15,5.03,0.70,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erzieher,educator,profession,3,0.15,2.70,1.53,3.40,1.43,3.90,1.17,8.73,0.94,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elektriker,electrician,profession,10,0.50,1.85,1.14,4.40,1.27,2.95,1.28,0.96,-0.02,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ingenieur,engineer,profession,7,0.35,2.15,1.35,5.00,1.45,3.85,1.27,18.81,1.27,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventmanager,event manager,profession,1,0.05,4.80,1.94,6.84,0.50,2.20,1.11,None,None,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forscher,explorer,profession,2,0.10,3.95,1.79,4.25,1.68,3.60,1.43,19.96,1.30,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bauer,farmer,profession,6,0.30,2.10,1.41,1.90,0.64,3.80,1.24,82.27,1.92,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modedesigner,fashion designer,profession,1,0.05,3.15,1.42,6.25,0.97,2.05,1.10,0.01,-2.09,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feuerwehrmann,fireman,profession,5,0.25,2.45,1.76,2.20,0.77,3.50,1.00,0.97,-0.01,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fischer,fisherman,profession,2,0.10,2.70,1.66,2.60,0.60,2.45,1.36,28.78,1.46,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
installateur,fitter,profession,2,0.10,2.60,1.54,5.95,1.15,2.40,1.14,0.47,-0.32,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fliesenleger,floor tiler,profession,3,0.15,2.25,1.52,5.20,1.24,2.75,1.16,0.10,-1.01,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florist,florist,profession,7,0.35,2.50,1.54,5.90,1.02,3.00,1.17,0.03,-1.49,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lebensmittelkontrolleur,food inspector,profession,1,0.05,4.20,1.94,6.26,1.15,2.45,1.19,None,None,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
förster,forester,profession,3,0.15,2.40,1.35,3.10,0.97,3.30,1.22,5.90,0.77,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obstbauer,fruit farmer,profession,1,0.05,3.70,1.78,5.20,1.47,2.90,0.91,0.07,-1.13,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurantfachmann,fully qualified waiter,profession,5,0.25,3.60,1.73,6.25,0.79,2.55,1.10,None,None,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gärtner,gardener,profession,8,0.40,2.45,1.54,2.75,1.12,3.35,1.04,6.61,0.82,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geologe,geologist,profession,1,0.05,3.35,1.63,6.45,0.83,3.70,1.13,1.26,0.10,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altenpfleger,geriatic nurse,profession,2,0.10,2.65,1.39,5.90,1.29,3.55,1.00,0.03,-1.49,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glaser,glazier,profession,1,0.05,2.85,1.90,4.67,1.64,2.95,1.15,0.04,-1.39,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goldschmied,goldsmith,profession,2,0.10,2.60,1.43,5.25,1.29,2.45,1.23,1.31,0.12,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grafikdesigner,graphic designer,profession,2,0.10,3.55,1.93,6.55,0.76,2.70,1.08,0.02,-1.79,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gynäkologe,gynaecologist,profession,1,0.05,2.50,1.43,6.55,0.69,3.20,1.06,0.60,-0.22,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friseur,hairdresser,profession,9,0.45,2.05,1.39,2.65,0.99,4.35,0.93,4.72,0.67,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heilpraktiker,healer,profession,4,0.20,3.55,1.64,6.40,1.05,3.25,1.45,0.24,-0.63,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historiker,historian,profession,1,0.05,3.20,1.67,5.85,1.23,2.95,1.15,20.85,1.32,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homöopath,homeopath,profession,1,0.05,4.10,1.33,6.70,0.66,2.60,1.43,0.27,-0.57,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotelfachmann,hotel manager,profession,5,0.25,3.10,1.74,6.20,0.89,3.05,1.10,0.02,-1.61,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jäger,hunter,profession,1,0.05,3.61,1.91,2.50,0.83,2.65,1.42,17.85,1.25,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gastwirt,innkeeper,profession,4,0.20,2.60,1.64,4.65,1.60,3.00,1.38,3.85,0.59,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kommissar,inspector,profession,1,0.05,3.30,1.87,4.50,1.47,2.55,1.05,12.09,1.08,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raumausstatter,interior designer,profession,1,0.05,4.10,1.77,6.30,0.92,2.45,1.00,0.01,-2.09,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolmetscher,interpreter,profession,2,0.10,2.60,1.64,5.75,1.25,3.00,1.08,7.05,0.85,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tischler ,joiner,profession,14,0.60,1.95,1.15,3.55,1.36,3.50,0.95,2.89,0.46,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journalist,journalist,profession,9,0.45,1.85,0.99,5.65,0.99,3.65,0.99,23.27,1.37,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
richter,judge,profession,4,0.20,1.75,1.12,4.50,1.54,3.35,1.23,69.22,1.84,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rechtspfleger,judicial officer,profession,1,0.05,3.94,1.73,6.41,1.00,2.55,1.43,0.22,-0.66,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jurist,jurist,profession,2,0.10,2.00,1.21,5.65,1.14,3.55,1.36,13.88,1.14,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laborant,lab technician,profession,2,0.10,3.85,1.95,5.50,1.40,3.05,1.15,0.89,-0.05,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landschaftsgestalter,landscape architect,profession,1,0.05,3.40,1.67,6.40,0.88,2.15,1.14,None,None,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dreher,lathe operator,profession,1,0.05,3.06,1.76,5.11,1.41,2.10,1.17,0.94,-0.03,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anwalt,lawyer,profession,8,0.40,1.75,1.12,4.85,1.57,3.40,1.14,15.00,1.18,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lektor,lecturer,profession,2,0.10,3.89,1.85,6.60,0.75,2.32,1.06,2.46,0.39,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bibliothekar,librarian,profession,2,0.10,3.00,1.45,4.45,1.39,3.20,1.28,2.30,0.36,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schlosser,locksmith,profession,5,0.25,2.20,1.32,4.00,1.34,3.25,1.12,3.31,0.52,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fernfahrer,lorry driver,profession,1,0.05,3.20,1.82,5.20,1.47,2.70,1.26,0.26,-0.58,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maschinist,machinist,profession,1,0.05,3.45,1.96,5.10,1.37,1.90,1.07,1.52,0.18,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unternehmensberater,management consultant,profession,1,0.05,4.20,1.91,6.60,0.94,2.20,1.28,0.18,-0.75,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manager,manager,profession,4,0.20,2.75,1.33,6.50,0.83,3.10,1.17,6.36,0.80,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maurer,mason,profession,13,0.65,2.15,1.46,3.70,1.49,2.45,1.36,6.77,0.83,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masseur,masseur,profession,2,0.10,3.10,1.41,5.50,1.43,3.10,1.17,0.66,-0.18,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mathematiker,mathematician,profession,2,0.10,3.25,1.92,4.70,1.30,2.40,1.10,5.99,0.78,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechaniker,mechanic,profession,6,0.30,3.35,1.81,4.85,1.35,2.80,1.11,3.06,0.49,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mediendesigner,media designer,profession,1,0.05,4.30,1.75,6.65,0.67,2.25,1.41,None,None,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmareferent,medical representative,profession,1,0.05,4.47,1.58,6.53,0.83,2.21,1.18,0.01,-2.09,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaufmann,merchant,profession,5,0.25,3.00,1.91,4.25,1.74,2.85,1.27,44.86,1.65,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteorologe,meteorologist,profession,1,0.05,3.35,1.63,6.00,1.03,3.55,1.00,0.58,-0.24,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hebamme,midwife,profession,1,0.05,2.05,1.43,4.90,1.45,2.80,1.28,3.92,0.59,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fräser,milling cutter,profession,1,0.05,4.15,1.90,6.47,0.87,1.41,0.71,0.07,-1.13,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
musiker,musician,profession,2,0.10,2.75,1.55,3.25,1.12,3.85,1.35,18.18,1.26,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notar,notary,profession,6,0.30,2.65,1.46,6.55,0.83,2.60,1.35,6.63,0.82,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krankenschwester,nurse,profession,11,0.55,1.35,0.75,2.95,0.83,3.65,1.35,4.41,0.64,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kindergärtner,nursery-school teacher,profession,3,0.15,2.10,1.12,2.50,1.24,3.80,1.40,0.03,-1.49,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ergotherapeut,occupational therapist,profession,3,0.15,3.50,1.73,6.84,0.50,2.80,0.83,None,None,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bürokaufmann,office administrator,profession,3,0.15,2.65,1.73,6.25,1.07,3.20,1.28,0.01,-2.09,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offizier,officer,profession,1,0.05,3.65,1.87,4.45,1.15,2.55,1.23,78.69,1.90,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onkologe,oncologist,profession,1,0.05,4.05,1.96,6.95,0.23,2.94,1.59,None,None,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optiker,optician,profession,3,0.15,2.70,1.34,4.60,1.35,3.35,1.09,0.38,-0.42,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kieferorthopäde,orthodontist,profession,1,0.05,2.45,1.47,5.45,1.39,2.90,1.25,None,None,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orthopäde,orthopedist,profession,2,0.10,2.60,1.31,6.20,1.11,3.60,1.23,0.29,-0.54,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maler,painter,profession,12,0.60,1.80,1.20,2.45,0.60,3.80,1.24,52.14,1.72,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anwaltsgehilfe,paralegal,profession,1,0.05,4.30,1.78,6.40,1.10,2.25,1.37,0.01,-2.09,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rettungsassistent,paramedic,profession,1,0.05,3.80,1.70,6.35,0.93,2.20,1.20,None,None,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastor,pastor,profession,1,0.05,2.74,1.91,4.20,1.15,2.95,1.36,23.72,1.38,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathologe,pathologist,profession,1,0.05,3.30,1.53,6.60,0.75,2.85,1.60,0.20,-0.71,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apotheker,pharmacist,profession,6,0.30,1.80,1.01,3.95,1.23,3.50,1.00,6.35,0.80,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philosoph,philosopher,profession,2,0.10,5.11,1.78,6.15,1.09,2.60,1.14,29.07,1.46,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fotograf,photographer,profession,3,0.15,2.70,1.75,3.05,0.94,3.40,1.14,2.70,0.43,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
physiker,physicist,profession,2,0.10,2.80,1.54,5.30,1.34,3.26,1.56,8.31,0.92,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
physiotherapeut,physiotherapist,profession,6,0.30,2.60,1.31,6.30,1.03,3.45,1.28,0.05,-1.31,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot,pilot,profession,10,0.50,1.40,0.68,3.25,0.72,3.35,1.23,5.98,0.78,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stuckateur,plasterer,profession,1,0.05,3.40,1.70,6.68,0.75,2.28,0.96,0.02,-1.61,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dramaturg,playwright,profession,1,0.05,4.00,1.89,6.63,0.68,2.05,1.08,1.23,0.09,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klempner,plumber,profession,4,0.20,2.00,1.26,3.50,0.89,3.25,0.97,1.01,0.00,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dichter,poet,profession,1,0.05,4.47,1.91,4.10,0.85,3.60,1.31,68.97,1.84,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polizist,policeman,profession,8,0.40,1.50,1.00,2.45,0.76,4.00,0.92,16.73,1.22,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bademeister,pool attendant,profession,0,0.00,3.75,1.45,3.55,1.28,2.95,1.05,0.62,-0.21,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pförtner,porter,profession,1,0.05,3.37,1.64,4.55,1.47,2.70,1.22,2.66,0.42,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postbeamter,postal worker,profession,1,0.05,3.30,1.89,4.45,1.76,3.55,1.19,None,None,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feinmechaniker,precision engineer,profession,1,0.05,3.25,1.68,6.25,1.02,1.85,0.93,0.17,-0.77,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
produzent,producer,profession,1,0.05,4.17,1.98,6.15,0.93,2.65,1.31,8.04,0.91,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filmvorführer,projectionist,profession,1,0.05,4.65,1.53,4.55,1.50,2.25,1.12,0.16,-0.81,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psychologe,psychologist,profession,4,0.20,2.70,1.30,5.90,1.12,3.60,1.31,6.38,0.80,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psychotherapeut,psychotherapist,profession,1,0.05,2.85,1.27,6.50,1.00,3.15,1.31,0.69,-0.16,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publizist,publicist,profession,1,0.05,4.30,1.95,6.89,0.32,2.55,1.23,3.24,0.51,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radiologe,radiologist,profession,1,0.05,3.30,1.66,6.90,0.31,2.50,1.15,0.02,-1.61,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
müllmann,refuse collector,profession,2,0.10,3.80,1.79,2.75,1.12,3.85,0.88,0.07,-1.13,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dachdecker,roofer,profession,6,0.30,2.10,1.29,4.25,1.16,3.35,1.18,0.53,-0.27,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matrose,sailor,profession,2,0.10,3.45,1.88,3.50,1.19,2.80,1.11,8.62,0.94,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verkäufer,salesman,profession,10,0.50,2.10,1.45,2.65,0.93,4.25,0.85,8.62,0.94,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sekretär,secretary,profession,12,0.60,2.45,1.43,5.55,1.54,2.80,1.40,28.10,1.45,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schiffbauer,shipbuilder,profession,1,0.05,2.79,1.55,5.50,1.36,2.05,1.10,0.19,-0.73,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schuster,shoemaker,profession,2,0.10,2.20,1.24,3.20,1.06,3.20,1.44,5.84,0.77,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sozialpädagoge,social worker,profession,2,0.10,3.45,1.61,6.65,0.81,3.50,1.15,0.19,-0.73,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soziologe,sociologist,profession,1,0.05,3.90,1.83,6.75,0.64,2.95,1.15,None,None,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tontechniker,sound technician,profession,1,0.05,3.20,1.51,5.74,1.28,2.60,0.99,0.05,-1.31,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logopäde,speech therapist,profession,5,0.20,3.30,1.53,6.55,0.89,2.90,1.12,None,None,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sportassistent,sports assistant,profession,1,0.05,4.90,1.71,6.65,0.67,1.90,1.12,None,None,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sportarzt,sports physician,profession,1,0.05,2.60,1.64,4.75,1.52,3.20,1.40,0.24,-0.63,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sporttherapeut,sports therapist,profession,1,0.05,3.35,1.53,6.65,0.67,2.50,1.10,None,None,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steward,steward,profession,4,0.20,2.50,1.19,6.11,1.10,2.40,1.10,0.92,-0.03,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steinmetz,stonemason,profession,2,0.10,3.00,1.95,5.45,1.28,1.80,1.06,1.32,0.12,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chirurg,surgeon,profession,1,0.05,1.85,0.99,5.80,1.20,3.10,1.17,3.93,0.59,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schneider,tailor,profession,5,0.25,2.00,1.38,3.15,0.88,2.75,1.29,15.59,1.19,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steuerberater,tax advisor,profession,3,0.15,2.75,1.65,6.45,1.05,3.11,1.24,0.52,-0.28,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lehrer,teacher,profession,17,0.85,1.35,0.99,2.90,0.72,4.30,0.80,81.02,1.91,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technischer zeichner,technical draughtsman,profession,2,0.10,3.45,1.70,5.90,1.48,2.60,1.10,0.00,0.00,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
techniker,technician,profession,2,0.10,2.85,1.66,5.60,1.31,2.70,1.26,8.35,0.92,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theologe,theologian,profession,1,0.05,3.20,1.82,5.75,1.21,3.30,0.92,10.02,1.00,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
therapeut,therapist,profession,2,0.10,3.75,1.48,6.45,0.76,3.90,1.29,2.79,0.45,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reiseleiter,tourist guide,profession,1,0.05,3.95,1.82,5.05,1.36,2.85,1.31,0.24,-0.63,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gleisbauer,track layer,profession,1,0.05,3.75,1.80,4.88,1.36,1.85,0.99,0.01,-2.09,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lokführer,train driver,profession,3,0.15,2.05,1.36,2.95,1.28,2.79,0.98,0.44,-0.36,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bestatter,undertaker,profession,1,0.05,3.40,1.93,5.30,1.30,3.05,1.05,0.13,-0.88,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lackierer,varnisher,profession,1,0.05,3.45,1.67,5.85,1.09,2.30,1.26,0.08,-1.09,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tierarzt,veterinarian,profession,1,0.05,1.60,0.94,3.15,0.99,3.40,1.14,1.99,0.30,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tierarzthelfer,veterinary assistant,profession,1,0.05,3.95,1.88,5.55,1.23,2.20,1.15,None,None,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uhrmacher,watchmaker,profession,1,0.05,2.55,1.76,4.25,1.02,2.75,1.25,1.29,0.11,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schweißer,welder,profession,2,0.10,3.10,1.92,5.05,1.23,2.05,0.94,0.43,-0.36,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
großhandelskaufmann,wholesaler,profession,1,0.05,3.15,1.57,6.40,0.75,2.65,1.14,0.01,-2.09,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schriftsteller,writer,profession,5,0.25,3.15,1.90,4.35,0.93,3.80,1.24,45.28,1.66,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tierpfleger,zookeeper,profession,1,0.05,2.80,1.54,3.70,1.17,3.05,1.15,0.23,-0.64,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zoologe,zoologist,profession,1,0.05,2.80,1.67,5.70,1.53,2.85,1.27,1.13,0.05,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
