word_german,word_english,semantic_category,exemplar_generation_n_20,exemplar_generation_percent,typical_M,typical_SD,aoa_M,aoa_SD,familiar_M,familiar_SD,frequency,frequency_log,phonemes,syllables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
katze,cat,animal,16,0.80,1.10,0.45,1.35,0.49,4.10,1.25,19.31,1.29,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chamäleon,chameleon,animal,2,0.10,3.30,1.81,4.45,1.28,1.90,0.91,0.69,-0.16,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gepard,cheetah,animal,2,0.10,2.80,1.82,4.35,1.39,2.47,1.35,0.20,-0.69,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huhn,chicken,animal,5,0.25,1.80,1.64,1.60,0.50,4.50,0.69,11.90,1.08,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schimpanse,chimpanzee,animal,1,0.05,2.30,1.72,3.85,1.42,3.20,1.15,4.72,0.67,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kobra,cobra,animal,1,0.05,3.30,1.72,4.00,1.62,2.25,1.02,0.33,-0.49,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuh,cow,animal,12,0.60,1.05,0.22,1.70,0.73,3.80,1.15,15.32,1.19,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kojote,coyote,animal,1,0.05,3.67,1.97,5.90,1.12,2.05,1.05,0.12,-0.91,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krebs,crab,animal,4,0.20,3.30,1.66,3.10,1.12,3.20,1.24,11.34,1.05,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krokodil,crocodile,animal,11,0.55,2.45,1.90,2.95,1.43,2.75,1.37,3.06,0.49,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hund,dog,animal,19,0.95,1.20,0.89,1.40,0.60,4.15,0.99,59.64,1.78,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delphin,dolphin,animal,6,0.30,1.70,1.17,3.65,1.63,2.95,1.05,5.62,0.75,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libelle,dragonfly,animal,4,0.20,3.58,1.64,3.85,1.57,3.15,1.39,1.81,0.26,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dromedar,dromedary,animal,1,0.05,3.50,1.67,4.35,1.42,2.05,0.94,0.26,-0.58,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
