category,word_english,typical_M_older,typical_SD_older,familiar_M_older,familiar_SD_older,unknown_percent_older,frequency_M_older,frequency_SD_older,visual_complex_M_older,visual_complex_SD_older,imagine_M_older,imagine_SD_older,aoa_M_older,aoa_SD_older,,typical_M_younger,typical_SD_younger,familiar_M_younger,familiar_SD_younger,unknown_percent_younger,frequency_M_younger,frequency_SD_younger,visual_complex_M_younger,visual_complex_SD_younger,imagine_M_younger,imagine_SD_younger,aoa_M_younger,aoa_SD_younger,,,
Birds,yellowhammer,4.900 ,(1.764),3.673 ,(1.725),7.547 ,2.510 ,(1.445),3.979 ,(1.451),4.667 ,(1.629),6.122 ,(1.235),,4.394 ,(1.749),3.152 ,(1.439),37.736 ,2.061 ,(1.088),4.115 ,(1.243),3.192 ,(1.550),5.576 ,(1.200),,,
Flowers,anemone,5.667 ,(1.337),5.627 ,(1.455),5.556 ,4.373 ,(1.755),4.176 ,(1.410),6.102 ,(1.327),5.588 ,(1.525),,4.048 ,(2.061),2.857 ,(1.108),60.377 ,1.952 ,(0.921),4.000 ,(1.240),3.615 ,(1.121),5.810 ,(1.401),,,
Flowers,azalea,5.608 ,(1.471),5.706 ,(1.361),3.774 ,5.078 ,(1.647),4.608 ,(1.588),5.863 ,(1.523),6.460 ,(1.073),,4.912 ,(1.712),3.647 ,(1.649),35.849 ,2.765 ,(1.478),3.952 ,(1.203),4.143 ,(1.824),5.818 ,(1.261),,,
Flowers,begonia,5.611 ,(1.459),5.444 ,(1.574),0.000 ,4.852 ,(1.887),4.358 ,(1.533),5.717 ,(1.486),6.481 ,(1.041),,4.553 ,(1.719),3.282 ,(1.376),26.415 ,2.769 ,(1.327),3.593 ,(1.448),3.778 ,(1.476),5.513 ,(1.335),,,
Flowers,bluebell,6.204 ,(1.172),6.370 ,(1.033),0.000 ,5.074 ,(1.681),4.019 ,(1.563),6.396 ,(1.080),3.778 ,(1.488),,5.712 ,(1.391),5.231 ,(1.628),0.000 ,3.750 ,(1.570),3.731 ,(1.457),5.692 ,(1.292),3.442 ,(1.178),,,
Flowers,busy lizzie,5.706 ,(1.487),5.490 ,(1.713),3.774 ,4.706 ,(1.890),3.920 ,(1.724),5.882 ,(1.596),6.353 ,(1.110),,4.829 ,(1.531),3.951 ,(1.830),21.154 ,3.098 ,(1.513),3.406 ,(1.316),4.375 ,(1.773),4.619 ,(1.378),,,
Flowers,buttercup,6.204 ,(1.279),6.407 ,(1.019),0.000 ,5.648 ,(1.615),3.778 ,(1.538),6.426 ,(1.159),3.148 ,(1.497),,5.585 ,(1.278),5.698 ,(1.381),0.000 ,4.396 ,(1.790),3.250 ,(1.384),6.154 ,(1.127),2.755 ,(1.207),,,
Flowers,carnation,6.352 ,(0.955),6.259 ,(1.085),0.000 ,5.667 ,(1.530),4.611 ,(1.571),6.500 ,(0.927),4.685 ,(1.623),,6.057 ,(1.064),5.679 ,(1.425),0.000 ,4.585 ,(1.550),3.774 ,(1.354),6.057 ,(1.307),4.208 ,(1.215),,,
Flowers,catkin,4.630 ,(1.686),5.185 ,(1.543),0.000 ,3.463 ,(1.587),3.870 ,(1.626),5.679 ,(1.638),4.604 ,(1.523),,3.222 ,(1.888),3.519 ,(1.740),48.077 ,2.185 ,(0.921),3.409 ,(1.469),4.364 ,(1.677),4.852 ,(1.769),,,
Flowers,celandine,4.714 ,(1.919),4.314 ,(2.055),32.692 ,3.457 ,(1.868),3.903 ,(1.375),5.313 ,(1.655),5.382 ,(1.596),,3.125 ,(1.808),2.000 ,(1.069),84.906 ,1.500 ,(0.535),4.333 ,(0.516),3.833 ,(0.983),6.125 ,(1.126),,,
Flowers,chrysanthemum,6.333 ,(0.952),6.093 ,(1.069),0.000 ,5.113 ,(1.489),4.296 ,(1.586),6.296 ,(1.160),5.037 ,(1.479),,5.653 ,(1.267),4.286 ,(1.581),7.547 ,3.510 ,(1.401),3.905 ,(1.322),4.714 ,(1.453),4.959 ,(1.353),,,
Flowers,clematis,5.558 ,(1.552),5.654 ,(1.632),3.704 ,4.962 ,(1.899),4.115 ,(1.451),5.750 ,(1.532),6.490 ,(1.317),,4.458 ,(1.503),3.417 ,(1.792),54.717 ,2.583 ,(1.586),3.632 ,(1.212),4.053 ,(1.393),5.750 ,(1.452),,,
Flowers,cowslip,5.388 ,(1.552),4.735 ,(1.680),5.769 ,3.592 ,(1.731),3.959 ,(1.567),5.479 ,(1.353),5.061 ,(1.725),,4.412 ,(1.559),3.559 ,(1.727),35.849 ,2.853 ,(1.500),3.222 ,(1.219),4.077 ,(1.875),4.765 ,(1.304),,,
Flowers,crocus,6.204 ,(1.105),6.204 ,(1.155),0.000 ,5.130 ,(1.770),3.963 ,(1.541),6.444 ,(1.003),4.407 ,(1.666),,5.571 ,(1.399),5.224 ,(1.433),7.547 ,3.796 ,(1.581),3.633 ,(1.334),5.571 ,(1.555),3.857 ,(1.384),,,
Flowers,daffodil,6.717 ,(0.662),6.642 ,(0.623),0.000 ,6.000 ,(1.188),4.096 ,(1.600),6.755 ,(0.585),3.396 ,(1.485),,6.604 ,(0.689),6.170 ,(1.205),0.000 ,5.472 ,(1.409),3.642 ,(1.456),6.585 ,(0.795),2.698 ,(0.952),,,
Flowers,dahlia,6.037 ,(1.373),5.778 ,(1.488),0.000 ,4.925 ,(1.785),4.370 ,(1.605),6.130 ,(1.082),5.056 ,(1.698),,4.939 ,(1.580),3.212 ,(1.536),37.736 ,2.455 ,(1.301),3.667 ,(1.155),3.762 ,(1.670),5.531 ,(1.626),,,
Flowers,daisy,6.630 ,(0.896),6.685 ,(0.773),0.000 ,6.259 ,(1.200),3.759 ,(1.625),6.704 ,(0.717),2.704 ,(1.341),,6.434 ,(0.772),6.189 ,(1.093),0.000 ,5.321 ,(1.356),3.151 ,(1.574),6.566 ,(0.747),2.491 ,(1.031),,,
Flowers,dandelion,5.889 ,(1.598),6.241 ,(1.331),0.000 ,5.889 ,(1.633),4.111 ,(1.645),6.574 ,(1.039),3.444 ,(1.550),,5.660 ,(1.413),5.925 ,(1.269),0.000 ,5.038 ,(1.480),3.604 ,(1.378),6.283 ,(0.988),2.868 ,(1.110),,,
Flowers,edelweiss,4.740 ,(1.838),3.900 ,(1.632),5.660 ,2.660 ,(1.287),3.920 ,(1.383),5.020 ,(1.493),6.720 ,(0.757),,4.205 ,(1.963),3.385 ,(1.532),26.415 ,2.359 ,(1.267),3.714 ,(1.301),4.250 ,(1.878),4.921 ,(1.421),,,
Flowers,forget-me-not,5.667 ,(1.381),5.647 ,(1.467),3.774 ,4.549 ,(1.922),3.941 ,(1.529),5.961 ,(1.469),4.608 ,(1.662),,5.220 ,(1.569),4.100 ,(1.909),5.660 ,3.040 ,(1.484),3.525 ,(1.585),4.750 ,(1.721),4.082 ,(1.351),,,
Flowers,foxglove,5.642 ,(1.545),5.212 ,(1.741),0.000 ,4.404 ,(1.912),4.308 ,(1.755),5.692 ,(1.627),5.077 ,(1.702),,5.386 ,(1.333),4.773 ,(1.523),16.981 ,3.250 ,(1.383),4.381 ,(1.378),5.143 ,(1.646),3.841 ,(1.238),,,
Flowers,freesia,5.679 ,(1.356),5.491 ,(1.502),1.852 ,4.377 ,(1.723),4.019 ,(1.487),5.679 ,(1.603),6.442 ,(1.162),,4.921 ,(1.566),4.447 ,(1.884),28.302 ,3.211 ,(1.510),3.788 ,(1.576),4.061 ,(1.731),5.405 ,(1.518),,,
Flowers,fuchsia,5.741 ,(1.334),5.815 ,(1.402),0.000 ,5.185 ,(1.781),4.519 ,(1.476),6.077 ,(1.186),5.870 ,(1.505),,5.070 ,(1.518),4.442 ,(1.906),18.868 ,3.256 ,(1.634),4.111 ,(1.348),4.944 ,(1.689),5.000 ,(1.465),,,
Flowers,geranium,6.278 ,(0.960),6.167 ,(1.285),0.000 ,5.778 ,(1.341),4.389 ,(1.393),6.315 ,(1.113),5.241 ,(1.516),,5.453 ,(1.367),4.472 ,(1.660),0.000 ,3.623 ,(1.496),3.787 ,(1.350),5.106 ,(1.463),4.755 ,(1.343),,,
Flowers,gladiolus,5.500 ,(1.370),5.333 ,(1.414),0.000 ,4.315 ,(1.600),4.340 ,(1.493),5.925 ,(1.238),5.830 ,(1.341),,4.611 ,(1.777),3.528 ,(1.612),32.075 ,2.333 ,(1.265),3.857 ,(1.533),4.143 ,(1.533),5.143 ,(1.517),,,
Flowers,gypsophila,5.063 ,(1.961),4.917 ,(2.122),9.434 ,4.000 ,(1.902),4.375 ,(1.525),5.340 ,(1.821),6.438 ,(1.050),,5.850 ,(1.089),4.700 ,(2.003),62.264 ,3.850 ,(2.033),3.588 ,(1.698),5.294 ,(1.863),5.895 ,(1.197),,,
Flowers,heather,5.741 ,(1.456),6.148 ,(0.979),0.000 ,5.667 ,(1.414),4.537 ,(1.514),6.500 ,(0.863),4.111 ,(1.525),,4.113 ,(1.826),5.321 ,(1.529),0.000 ,4.396 ,(1.459),3.925 ,(1.284),5.585 ,(1.307),3.774 ,(1.120),,,
Flowers,hollyhock,5.353 ,(1.585),4.902 ,(1.676),5.556 ,3.725 ,(1.638),4.490 ,(1.419),5.660 ,(1.451),5.627 ,(1.574),,3.840 ,(1.748),2.800 ,(1.581),52.830 ,1.720 ,(0.614),3.235 ,(1.348),3.118 ,(1.536),5.760 ,(1.300),,,
Flowers,honeysuckle,5.736 ,(1.456),5.698 ,(1.436),1.852 ,4.981 ,(1.906),4.887 ,(1.396),6.057 ,(1.336),5.094 ,(1.484),,5.100 ,(1.607),4.520 ,(1.741),5.660 ,3.360 ,(1.723),3.826 ,(1.582),4.696 ,(1.618),4.420 ,(1.279),,,
Flowers,hyacinth,6.019 ,(1.185),6.075 ,(1.222),1.852 ,4.698 ,(1.793),4.415 ,(1.550),6.264 ,(1.211),4.811 ,(1.594),,5.372 ,(1.398),4.419 ,(1.484),18.868 ,3.093 ,(1.428),3.889 ,(1.600),4.722 ,(1.799),4.698 ,(1.372),,,
Flowers,hydrangea,6.038 ,(1.160),5.887 ,(1.437),1.852 ,5.453 ,(1.564),4.528 ,(1.501),6.132 ,(1.331),5.904 ,(1.302),,4.667 ,(1.798),3.591 ,(1.764),58.491 ,2.727 ,(1.549),3.625 ,(0.806),4.063 ,(1.731),5.909 ,(1.192),,,
Flowers,iris,5.962 ,(1.224),5.679 ,(1.491),1.852 ,4.830 ,(1.684),4.415 ,(1.379),6.132 ,(1.225),5.283 ,(1.680),,4.837 ,(1.625),4.306 ,(1.758),7.547 ,3.224 ,(1.558),3.870 ,(1.408),4.522 ,(1.574),4.694 ,(1.158),,,
Flowers,jasmine,4.904 ,(1.729),4.404 ,(1.943),3.704 ,3.538 ,(1.904),3.961 ,(1.428),4.980 ,(1.660),6.212 ,(1.143),,4.065 ,(1.769),3.522 ,(1.588),13.208 ,2.739 ,(1.612),3.806 ,(1.302),4.226 ,(1.687),5.652 ,(1.337),,,
Flowers,lavender,5.352 ,(1.469),5.396 ,(1.656),0.000 ,4.528 ,(1.804),3.925 ,(1.426),5.585 ,(1.586),5.154 ,(1.487),,4.808 ,(1.669),4.635 ,(1.645),1.887 ,3.692 ,(1.675),3.523 ,(1.438),5.070 ,(1.280),4.275 ,(1.358),,,
Flowers,lilac,5.722 ,(1.472),5.722 ,(1.420),0.000 ,4.667 ,(1.660),4.444 ,(1.462),6.037 ,(1.317),4.981 ,(1.665),,4.700 ,(1.764),4.080 ,(1.676),5.660 ,3.000 ,(1.485),3.585 ,(1.466),4.610 ,(1.481),4.480 ,(1.313),,,
Flowers,lily,6.058 ,(1.243),5.692 ,(1.627),0.000 ,4.846 ,(1.650),4.250 ,(1.631),5.980 ,(1.364),5.096 ,(1.459),,5.415 ,(1.473),5.019 ,(1.461),0.000 ,3.925 ,(1.579),3.596 ,(1.550),5.404 ,(1.361),4.151 ,(0.949),,,
Flowers,lupin,6.057 ,(1.134),5.717 ,(1.378),0.000 ,4.717 ,(1.833),4.566 ,(1.551),6.077 ,(1.250),4.660 ,(1.663),,4.032 ,(2.008),3.806 ,(1.973),41.509 ,2.742 ,(1.483),4.174 ,(1.403),4.478 ,(1.904),5.138 ,(1.620),,,
Flowers,magnolia,5.078 ,(1.647),4.412 ,(1.639),3.774 ,3.275 ,(1.686),4.100 ,(1.359),5.265 ,(1.655),6.600 ,(0.948),,5.080 ,(1.368),4.000 ,(1.565),5.660 ,3.260 ,(1.482),3.634 ,(1.337),4.561 ,(1.747),5.120 ,(1.423),,,
Flowers,marguerite,5.922 ,(1.294),5.294 ,(1.641),3.774 ,4.137 ,(1.755),3.900 ,(1.515),5.840 ,(1.448),5.255 ,(1.647),,3.833 ,(1.978),2.722 ,(1.674),66.038 ,2.500 ,(1.543),3.778 ,(1.641),3.889 ,(2.088),5.778 ,(1.309),,,
Flowers,marigold,6.434 ,(0.888),6.189 ,(1.272),0.000 ,5.208 ,(1.472),4.226 ,(1.463),6.340 ,(1.037),4.170 ,(1.649),,5.520 ,(1.460),4.460 ,(1.581),5.660 ,3.400 ,(1.429),3.773 ,(1.292),4.909 ,(1.273),4.280 ,(1.230),,,
Flowers,nasturtium,6.077 ,(1.341),5.981 ,(1.502),3.704 ,5.462 ,(1.754),4.154 ,(1.526),5.941 ,(1.377),4.615 ,(1.870),,4.720 ,(1.904),3.920 ,(2.139),52.830 ,2.880 ,(1.856),3.500 ,(1.395),4.263 ,(2.156),5.000 ,(1.500),,,
Flowers,orchid,5.278 ,(1.753),4.333 ,(1.625),0.000 ,3.185 ,(1.567),5.000 ,(1.387),5.849 ,(1.336),6.547 ,(0.972),,5.264 ,(1.456),4.547 ,(1.514),0.000 ,3.377 ,(1.471),4.500 ,(1.460),5.000 ,(1.443),5.020 ,(1.191),,,
Flowers,pansy,6.389 ,(1.036),6.407 ,(1.108),0.000 ,5.685 ,(1.725),4.278 ,(1.720),6.528 ,(0.973),4.093 ,(1.569),,5.811 ,(1.272),5.132 ,(1.641),0.000 ,3.623 ,(1.723),3.333 ,(1.291),5.490 ,(1.502),3.547 ,(1.030),,,
Flowers,petunia,5.811 ,(1.316),5.453 ,(1.488),1.852 ,4.623 ,(1.746),3.830 ,(1.553),5.830 ,(1.411),6.208 ,(1.116),,4.825 ,(1.599),3.400 ,(1.374),24.528 ,2.538 ,(1.374),3.923 ,(1.197),3.846 ,(1.317),5.400 ,(1.194),,,
Flowers,poppy,6.204 ,(1.105),6.093 ,(1.086),0.000 ,4.981 ,(1.631),3.722 ,(1.547),6.226 ,(1.281),4.352 ,(1.604),,5.906 ,(1.197),5.547 ,(1.280),0.000 ,4.340 ,(1.506),3.245 ,(1.479),6.264 ,(1.059),3.346 ,(1.083),,,
Flowers,primrose,6.358 ,(0.963),6.075 ,(1.269),0.000 ,4.943 ,(1.692),4.019 ,(1.525),6.113 ,(1.325),4.189 ,(1.557),,5.608 ,(1.387),5.000 ,(1.483),3.774 ,3.784 ,(1.747),3.383 ,(1.328),5.213 ,(1.429),4.098 ,(1.526),,,
Flowers,rhododendron,5.788 ,(1.419),6.231 ,(1.215),0.000 ,5.712 ,(1.433),4.686 ,(1.631),6.462 ,(0.959),5.231 ,(1.592),,5.059 ,(1.714),4.922 ,(1.623),3.774 ,3.863 ,(1.600),3.980 ,(1.348),5.340 ,(1.437),4.540 ,(1.417),,,
Flowers,rose,6.870 ,(0.391),6.667 ,(0.847),0.000 ,6.189 ,(1.020),5.019 ,(1.560),6.741 ,(0.589),3.574 ,(1.561),,6.830 ,(0.470),6.377 ,(1.042),0.000 ,5.623 ,(1.404),4.132 ,(1.687),6.491 ,(0.891),2.623 ,(1.004),,,
Flowers,snapdragon,5.261 ,(1.584),4.848 ,(1.776),13.208 ,3.783 ,(1.825),4.455 ,(1.405),5.455 ,(1.718),5.341 ,(1.684),,4.182 ,(1.550),3.576 ,(1.415),37.736 ,2.455 ,(1.252),3.926 ,(1.517),4.296 ,(1.772),5.121 ,(1.495),,,
Flowers,snowdrop,6.463 ,(0.862),6.574 ,(0.882),0.000 ,5.500 ,(1.424),3.981 ,(1.699),6.648 ,(0.781),3.815 ,(1.543),,5.765 ,(1.380),5.510 ,(1.332),3.774 ,4.118 ,(1.545),3.300 ,(1.282),6.160 ,(0.912),3.333 ,(1.227),,,
Flowers,sunflower,5.549 ,(1.419),5.294 ,(1.553),1.923 ,3.902 ,(1.616),3.922 ,(1.534),6.216 ,(1.172),5.538 ,(1.590),,6.113 ,(1.155),5.962 ,(1.255),0.000 ,4.615 ,(1.536),3.774 ,(1.339),6.509 ,(0.823),3.491 ,(1.265),,,
Flowers,sweet pea,6.283 ,(0.948),6.094 ,(1.061),0.000 ,4.906 ,(1.572),4.604 ,(1.498),6.340 ,(1.108),4.566 ,(1.587),,5.000 ,(1.744),4.551 ,(1.696),7.547 ,3.531 ,(1.582),4.022 ,(1.323),5.111 ,(1.418),4.184 ,(1.302),,,
Flowers,thistle,5.604 ,(1.633),6.037 ,(1.258),0.000 ,4.759 ,(1.553),4.667 ,(1.530),6.377 ,(0.965),3.963 ,(1.331),,4.000 ,(1.850),5.585 ,(1.232),0.000 ,4.358 ,(1.582),4.283 ,(1.433),5.943 ,(1.151),3.415 ,(1.046),,,
Flowers,tulip,6.574 ,(0.767),6.389 ,(0.998),0.000 ,5.370 ,(1.445),3.907 ,(1.545),6.704 ,(0.690),3.963 ,(1.400),,6.132 ,(0.962),5.717 ,(1.133),0.000 ,4.491 ,(1.463),3.340 ,(1.358),6.075 ,(1.174),3.264 ,(0.984),,,
Flowers,violet,5.907 ,(1.233),5.704 ,(1.369),0.000 ,4.407 ,(1.654),4.111 ,(1.679),6.019 ,(1.394),4.685 ,(1.746),,5.137 ,(1.536),4.490 ,(1.592),3.774 ,3.137 ,(1.575),3.302 ,(1.337),4.837 ,(1.632),4.314 ,(1.304),,,
Flowers,wallflower,5.981 ,(1.308),5.585 ,(1.550),1.852 ,4.453 ,(1.771),4.302 ,(1.588),5.868 ,(1.468),5.038 ,(1.531),,4.159 ,(2.011),3.341 ,(1.584),16.981 ,2.773 ,(1.327),3.515 ,(1.372),4.324 ,(1.683),5.045 ,(1.555),,,
Fruits,acorn,4.392 ,(1.888),5.392 ,(1.588),3.774 ,3.725 ,(1.744),3.180 ,(1.453),6.061 ,(1.391),4.320 ,(1.544),,2.442 ,(1.697),4.558 ,(1.697),1.887 ,3.423 ,(1.446),2.827 ,(1.167),5.385 ,(1.510),3.569 ,(1.063),,,
Fruits,almond,4.370 ,(1.652),5.241 ,(1.541),0.000 ,4.130 ,(1.530),2.509 ,(1.353),5.981 ,(1.337),5.111 ,(1.475),,2.827 ,(1.801),5.038 ,(1.495),1.887 ,4.038 ,(1.644),2.176 ,(1.126),5.588 ,(1.329),4.115 ,(1.114),,,
Fruits,apple,6.906 ,(0.295),6.830 ,(0.509),0.000 ,6.642 ,(0.682),3.019 ,(1.866),6.679 ,(0.754),2.566 ,(1.352),,6.962 ,(0.192),6.774 ,(0.609),0.000 ,6.736 ,(0.625),2.226 ,(1.266),6.849 ,(0.496),1.811 ,(0.652),,,
Fruits,apricot,5.377 ,(1.496),5.472 ,(1.339),0.000 ,4.566 ,(1.647),2.679 ,(1.626),6.000 ,(1.330),5.321 ,(1.554),,5.302 ,(1.436),5.094 ,(1.418),0.000 ,3.925 ,(1.439),2.654 ,(1.266),5.519 ,(1.421),3.887 ,(1.266),,,
Fruits,avocado,4.870 ,(1.542),4.667 ,(1.843),0.000 ,4.074 ,(1.703),3.037 ,(1.671),5.593 ,(1.486),6.889 ,(0.502),,4.151 ,(1.915),4.774 ,(1.637),0.000 ,3.481 ,(1.448),2.680 ,(1.220),5.660 ,(1.409),5.057 ,(1.392),,,
Fruits,banana,6.811 ,(0.483),6.660 ,(0.831),0.000 ,6.604 ,(0.793),2.717 ,(1.769),6.792 ,(0.689),3.132 ,(1.594),,6.736 ,(0.711),6.717 ,(0.717),0.000 ,6.491 ,(0.869),2.283 ,(1.215),6.811 ,(0.557),1.925 ,(0.829),,,
Fruits,berry,5.963 ,(1.243),6.000 ,(1.225),0.000 ,5.151 ,(1.622),3.000 ,(1.495),6.192 ,(1.172),3.712 ,(1.613),,5.660 ,(1.239),5.491 ,(1.382),0.000 ,4.811 ,(1.401),2.333 ,(1.071),6.039 ,(1.019),3.132 ,(1.225),,,
Fruits,blackberry,5.604 ,(1.419),5.774 ,(1.325),1.852 ,4.113 ,(1.804),3.283 ,(1.668),6.135 ,(1.253),4.245 ,(1.568),,4.962 ,(1.605),5.170 ,(1.602),0.000 ,4.000 ,(1.569),2.804 ,(1.265),5.745 ,(1.197),3.404 ,(1.125),,,
Fruits,blackcurrant,5.887 ,(1.281),6.094 ,(1.165),0.000 ,4.736 ,(1.756),2.811 ,(1.653),6.500 ,(0.960),4.057 ,(1.537),,5.245 ,(1.343),5.245 ,(1.299),0.000 ,4.208 ,(1.419),2.377 ,(1.213),5.679 ,(1.088),3.491 ,(1.049),,,
Fruits,blueberry,4.620 ,(1.701),4.120 ,(1.698),7.407 ,3.420 ,(1.642),2.792 ,(1.458),5.313 ,(1.626),6.180 ,(1.289),,4.434 ,(1.792),4.302 ,(1.422),0.000 ,3.377 ,(1.484),2.462 ,(1.146),5.173 ,(1.309),4.453 ,(1.381),,,
Fruits,bramble,5.667 ,(1.479),6.037 ,(1.288),0.000 ,4.537 ,(1.860),3.407 ,(1.572),6.333 ,(1.149),3.889 ,(1.383),,4.509 ,(1.694),4.865 ,(1.572),0.000 ,3.577 ,(1.363),3.404 ,(1.272),5.519 ,(1.244),3.635 ,(1.344),,,
Fruits,breadfruit,3.485 ,(1.873),2.485 ,(1.228),35.294 ,2.000 ,(0.968),2.538 ,(1.449),3.615 ,(1.745),6.688 ,(0.693),,3.154 ,(1.676),2.462 ,(1.613),75.472 ,2.231 ,(1.833),3.000 ,(1.414),3.500 ,(2.014),5.929 ,(1.592),,,
Fruits,cherry,5.849 ,(1.364),6.000 ,(1.359),0.000 ,4.453 ,(1.564),2.811 ,(1.594),6.472 ,(0.992),4.077 ,(1.690),,5.509 ,(1.295),5.528 ,(1.339),0.000 ,4.585 ,(1.525),2.132 ,(1.127),6.283 ,(0.968),3.189 ,(0.900),,,
Fruits,chestnut,4.240 ,(1.661),5.061 ,(1.314),0.000 ,3.694 ,(1.571),2.796 ,(1.486),6.143 ,(1.291),4.479 ,(1.544),,2.588 ,(1.734),4.843 ,(1.433),0.000 ,3.314 ,(1.516),2.480 ,(1.199),5.560 ,(1.248),3.745 ,(1.339),,,
Fruits,clementine,5.722 ,(1.433),5.667 ,(1.414),0.000 ,5.037 ,(1.704),2.741 ,(1.639),6.148 ,(1.446),6.111 ,(1.550),,5.113 ,(1.613),5.283 ,(1.598),0.000 ,4.868 ,(1.606),2.154 ,(1.243),5.865 ,(1.456),4.132 ,(1.557),,,
Fruits,coconut,4.833 ,(1.611),5.333 ,(1.492),0.000 ,3.453 ,(1.671),3.037 ,(1.590),6.315 ,(1.271),4.528 ,(1.295),,3.509 ,(1.772),5.396 ,(1.378),0.000 ,4.132 ,(1.359),2.528 ,(1.234),6.245 ,(1.072),3.327 ,(1.043),,,
Fruits,cranberry,4.960 ,(1.749),4.800 ,(1.641),7.407 ,3.540 ,(1.656),2.708 ,(1.624),5.490 ,(1.459),6.740 ,(0.751),,4.308 ,(1.755),4.404 ,(1.472),1.887 ,3.462 ,(1.407),2.480 ,(1.035),4.820 ,(1.574),5.333 ,(1.306),,,
Fruits,currant,5.519 ,(1.437),6.000 ,(1.197),0.000 ,5.370 ,(1.663),3.038 ,(1.664),6.259 ,(1.306),3.593 ,(1.473),,4.189 ,(1.653),5.453 ,(1.170),0.000 ,4.377 ,(1.444),2.113 ,(1.235),5.755 ,(1.440),3.509 ,(1.171),,,
Fruits,damson,5.315 ,(1.612),5.074 ,(1.515),0.000 ,3.611 ,(1.785),2.722 ,(1.642),5.870 ,(1.332),5.074 ,(1.426),,4.343 ,(1.970),3.486 ,(1.687),33.962 ,2.486 ,(1.541),2.500 ,(1.408),4.033 ,(1.691),5.088 ,(1.583),,,
Fruits,date,5.481 ,(1.553),5.788 ,(1.348),0.000 ,4.808 ,(1.715),2.923 ,(1.702),6.212 ,(1.258),4.135 ,(1.560),,3.824 ,(1.670),4.373 ,(1.637),0.000 ,3.333 ,(1.451),2.347 ,(1.110),5.224 ,(1.462),4.314 ,(1.086),,,
Fruits,dewberry,3.800 ,(2.041),2.367 ,(1.245),44.444 ,1.828 ,(1.002),3.167 ,(1.435),3.960 ,(1.767),6.720 ,(0.891),,3.667 ,(1.965),3.564 ,(1.744),26.415 ,2.718 ,(1.213),3.040 ,(1.274),3.880 ,(1.787),5.684 ,(1.093),,,
Fruits,elderberry,4.800 ,(1.750),4.816 ,(1.629),3.922 ,3.333 ,(1.562),3.250 ,(1.682),5.500 ,(1.762),6.102 ,(1.461),,4.023 ,(1.635),3.568 ,(1.634),16.981 ,2.523 ,(1.000),3.000 ,(1.244),4.094 ,(1.304),5.500 ,(1.389),,,
Fruits,fig,4.815 ,(1.626),4.778 ,(1.690),0.000 ,3.426 ,(1.755),3.222 ,(1.513),5.679 ,(1.465),5.019 ,(1.665),,4.077 ,(1.824),4.558 ,(1.539),1.887 ,3.154 ,(1.289),2.875 ,(1.123),4.646 ,(1.407),4.462 ,(1.260),,,
Fruits,gooseberry,5.778 ,(1.369),5.963 ,(1.165),0.000 ,4.333 ,(1.727),3.056 ,(1.731),6.426 ,(1.143),3.981 ,(1.367),,4.377 ,(1.723),4.547 ,(1.705),0.000 ,2.943 ,(1.350),2.481 ,(1.163),5.385 ,(1.270),3.868 ,(1.225),,,
Fruits,grape,6.296 ,(1.127),6.222 ,(1.239),0.000 ,5.907 ,(1.292),2.778 ,(1.621),6.611 ,(0.856),3.870 ,(1.602),,6.170 ,(0.955),6.269 ,(0.952),0.000 ,5.885 ,(1.114),1.827 ,(1.098),6.673 ,(0.617),2.686 ,(1.029),,,
Fruits,grapefruit,6.370 ,(0.917),6.333 ,(1.028),0.000 ,5.778 ,(1.538),2.685 ,(1.576),6.556 ,(0.925),4.907 ,(1.651),,5.566 ,(1.233),5.679 ,(1.088),0.000 ,4.792 ,(1.378),2.264 ,(1.403),6.226 ,(0.974),3.698 ,(1.067),,,
Fruits,greengage,5.000 ,(1.680),4.692 ,(1.842),3.704 ,3.038 ,(1.620),2.667 ,(1.669),5.647 ,(1.560),5.519 ,(1.615),,4.190 ,(2.112),3.727 ,(2.142),58.491 ,2.318 ,(1.323),2.176 ,(1.185),4.412 ,(1.734),5.364 ,(1.787),,,
Fruits,guava,4.178 ,(1.874),3.156 ,(1.551),15.094 ,2.289 ,(1.218),2.800 ,(1.363),4.220 ,(1.768),6.955 ,(0.302),,3.750 ,(1.933),3.333 ,(1.621),32.075 ,2.417 ,(1.156),2.750 ,(1.152),3.750 ,(1.422),6.056 ,(1.330),,,
Fruits,hazelnut,4.528 ,(1.648),5.377 ,(1.362),0.000 ,3.868 ,(1.755),2.774 ,(1.683),6.075 ,(1.299),4.642 ,(1.331),,2.922 ,(1.896),5.058 ,(1.364),0.000 ,4.096 ,(1.445),2.308 ,(1.094),5.577 ,(1.348),3.827 ,(1.004),,,
Fruits,kiwi,5.189 ,(1.570),5.283 ,(1.511),0.000 ,4.686 ,(1.805),3.208 ,(1.875),5.981 ,(1.337),6.925 ,(0.385),,5.415 ,(1.434),5.642 ,(1.257),0.000 ,5.000 ,(1.301),2.698 ,(1.367),6.377 ,(0.904),4.558 ,(1.420),,,
Fruits,kumquat,4.079 ,(2.173),3.514 ,(1.742),28.846 ,2.784 ,(1.512),2.647 ,(1.433),4.471 ,(1.988),6.861 ,(0.833),,3.237 ,(1.951),3.447 ,(1.811),28.302 ,2.211 ,(1.318),2.607 ,(1.423),4.630 ,(1.779),6.184 ,(1.182),,,
