category,word_english,typical_M_older,typical_SD_older,familiar_M_older,familiar_SD_older,unknown_percent_older,frequency_M_older,frequency_SD_older,visual_complex_M_older,visual_complex_SD_older,imagine_M_older,imagine_SD_older,aoa_M_older,aoa_SD_older,,typical_M_younger,typical_SD_younger,familiar_M_younger,familiar_SD_younger,unknown_percent_younger,frequency_M_younger,frequency_SD_younger,visual_complex_M_younger,visual_complex_SD_younger,imagine_M_younger,imagine_SD_younger,aoa_M_younger,aoa_SD_younger,,,
Animals,bear,6.226 ,(1.086),5.132 ,(1.665),0.000 ,3.585 ,(1.737),4.038 ,(1.675),6.453 ,(1.066),3.434 ,(1.623),,6.208 ,(1.007),5.642 ,(1.331),0.000 ,4.075 ,(1.651),3.788 ,(1.333),6.189 ,(1.039),2.358 ,(1.021),,,
Animals,beaver,4.906 ,(1.757),4.075 ,(1.828),1.852 ,2.547 ,(1.218),4.189 ,(1.606),5.396 ,(1.446),5.491 ,(1.409),,4.698 ,(1.612),4.736 ,(1.643),0.000 ,3.208 ,(1.485),3.887 ,(1.476),5.269 ,(1.443),3.731 ,(1.031),,,
Animals,bison,5.019 ,(1.623),3.868 ,(1.665),1.852 ,2.308 ,(1.130),4.019 ,(1.565),5.736 ,(1.375),6.132 ,(1.177),,4.449 ,(1.768),3.816 ,(1.409),7.547 ,2.208 ,(0.898),4.128 ,(1.279),4.915 ,(1.442),5.167 ,(1.277),,,
Animals,black widow,3.932 ,(2.128),2.372 ,(1.346),17.308 ,1.628 ,(0.874),4.027 ,(1.724),4.658 ,(1.893),6.750 ,(0.630),,4.431 ,(2.081),4.275 ,(1.698),3.774 ,2.706 ,(1.418),4.449 ,(1.355),4.959 ,(1.513),4.900 ,(1.266),,,
Animals,buffalo,5.288 ,(1.775),4.019 ,(1.639),1.887 ,2.404 ,(1.089),4.365 ,(1.572),5.692 ,(1.322),5.588 ,(1.219),,4.679 ,(1.566),4.151 ,(1.420),0.000 ,2.830 ,(1.312),4.038 ,(1.372),5.075 ,(1.371),4.094 ,(1.024),,,
Animals,camel,5.510 ,(1.642),4.941 ,(1.593),0.000 ,3.039 ,(1.720),4.118 ,(1.608),6.196 ,(1.281),4.529 ,(1.347),,5.038 ,(1.519),5.189 ,(1.415),0.000 ,3.472 ,(1.552),4.038 ,(1.240),6.075 ,(1.053),3.208 ,(1.026),,,
Animals,cat,6.815 ,(0.585),6.630 ,(0.938),0.000 ,6.315 ,(1.130),4.222 ,(1.880),6.722 ,(0.596),2.222 ,(1.208),,6.887 ,(0.375),6.660 ,(0.732),0.000 ,6.491 ,(0.869),3.792 ,(1.758),6.755 ,(0.617),1.736 ,(0.812),,,
Animals,cheetah,5.340 ,(1.617),4.170 ,(1.707),1.852 ,2.642 ,(1.331),4.288 ,(1.564),5.686 ,(1.490),5.868 ,(1.345),,5.283 ,(1.459),4.717 ,(1.561),0.000 ,3.057 ,(1.512),4.264 ,(1.416),5.679 ,(1.312),3.846 ,(1.036),,,
Animals,chimpanzee,5.981 ,(1.232),4.811 ,(1.688),1.852 ,3.264 ,(1.643),4.500 ,(1.515),6.000 ,(1.103),4.788 ,(1.319),,5.736 ,(1.375),5.283 ,(1.486),0.000 ,3.792 ,(1.598),4.208 ,(1.536),5.577 ,(1.446),3.132 ,(1.075),,,
Animals,chinchilla,4.583 ,(1.796),3.563 ,(1.821),11.111 ,2.447 ,(1.248),3.800 ,(1.632),4.800 ,(1.779),6.553 ,(0.951),,4.048 ,(2.012),3.634 ,(1.771),21.154 ,2.381 ,(1.147),4.111 ,(1.282),4.361 ,(1.606),5.381 ,(1.361),,,
