word_english,arousal_LSA_M,arousal_norms_M,concrete_LSA_M,concrete_norms_M,dominate_LSA_M,dominate_norms_M,imagine_LSA_M,imagine_norms_M,valence_LSA_M,valence_norms_M
lightning,5.51,6.61,4.95,5.49,4.64,3.67,5.49,6.05,4.17,4.57
lightship,5.26,,5.56,,4.77,,5.2,,4.69,
lightweight,4.43,,4.9,,5.3,,4.66,,5.59,
likable,5.29,,3.9,,4.94,,4.53,,5.27,
like,5.47,,3.86,,5.4,,4.46,,5.71,
likelihood,5.63,,3.02,,5.27,,3.46,,5.52,
likely,5.23,,2.95,,5.51,,3.33,,5.92,
liken,5.13,,3.61,,5.16,,3.93,,5.54,
likeness,5.01,,3.87,,5.68,,4.3,,6.77,
likewise,5.24,,2.91,,5.72,,3.31,,6.37,
liking,5.43,,3.1,,5.27,,4.06,,5.6,
lilac,4.39,,5.81,,5.3,,5.66,,6.25,
lilt,5.42,,4.03,,5.85,,4.88,,7.22,
lily,4.56,,5.99,6.54,5.13,,5.66,5.36,5.66,
limb,4.95,,5.81,,4.76,,5.42,,4.64,
limber,4.84,4.57,5.51,,5.23,5.34,5.29,,5.31,5.68
limbic,5.31,,4.27,,4.45,,4.57,,3.97,
lime,4.68,,5.48,6.29,4.9,,5.03,5.53,5.05,
limestone,4.86,,5.67,,4.68,,5.19,,4.77,
limit,5.19,,3.17,,5.67,,3.37,,6.36,
limitation,5.1,,3.05,,5.74,,3.36,,6.34,
limited,5.16,,3.09,,5.91,,3.31,,6.63,
limitless,5.16,,3.4,,5.72,,3.99,,6.42,
limousine,4.7,,5.46,,5.01,,5.46,,5.35,
limp,4.96,,5.21,,4.92,,5.38,,4.97,
limpet,4.92,,5.6,,4.71,,5.36,,4.96,
limply,4.93,,5.21,,4.82,,5.46,,4.99,
linage,5.55,,3.94,,5.34,,4.53,,5.83,
line,4.61,,4.48,4.83,5.15,,4.68,4.95,5.49,
linear,4.56,,3.8,,5.36,,4.19,,5.98,
lineman,4.95,,5.57,,5.52,,5.33,,6.03,
linen,4.35,,6.07,6.14,5.37,,5.59,5.57,6.37,
liner,5.05,,5.7,,5,,5.31,,5.34,
lineup,5.34,,5.2,,5.67,,5.17,,6.19,
linger,5.15,,3.71,,5.06,,4.85,,5.31,
linguist,5.05,,3.34,,5.36,,3.71,,5.7,
linguistic,4.84,,3.11,,5.42,,3.54,,5.68,
lining,4.86,,5.37,,4.9,,4.97,,4.38,
link,5.1,,3.39,,5.42,,3.6,,5.88,
linkage,4.6,,5.21,,4.98,,4.97,,5.06,
linoleum,3.91,,6.01,,4.98,,5.52,,5.35,
linotype,4.47,,4.7,,5.25,,4.61,,5.45,
lint,4.28,,6.02,,5.13,,5.62,,5.17,
lintel,4.46,,5.31,,4.72,,4.98,,4.71,
lion,5.57,6.2,5.74,6.74,5.09,4.12,5.45,6.41,4.71,5.57
lioness,5.71,,5.56,,4.8,,5.49,,4.9,
lip,4.97,,5.07,,5.2,,5.36,,5.48,
lipid,4.69,,4.6,,4.82,,4.52,,4.39,
lipstick,4.8,,5.48,,5.32,,5.39,,5.82,
liquefy,4.62,,5.26,,4.85,,5.21,,4.6,
liquid,4.48,,5.18,5.83,4.94,,5.08,5.95,5.24,
liquidate,5.36,,3.63,,5.34,,3.92,,5.73,
liquidity,5.39,,3.85,,5.34,,4.04,,5.73,
liquor,5.36,,4.97,,4.6,,5.11,,4.23,
liquorice,4.55,,6.2,,5.17,,5.92,,5.98,
list,4.6,,4.07,,5.56,,4.12,,6.12,
listed,4.89,,4.45,,5.82,,4.36,,6.63,
listen,5.08,,4.39,,4.91,,4.91,,5.07,
listener,4.96,,3.94,,5.41,,4.06,,5.89,
listening,5.03,,3.81,,5.57,,3.94,,6.23,
