word_english,arousal_LSA_M,arousal_norms_M,concrete_LSA_M,concrete_norms_M,dominate_LSA_M,dominate_norms_M,imagine_LSA_M,imagine_norms_M,valence_LSA_M,valence_norms_M
aback,4.58,,4.19,,4.93,,4.58,,5.2,
abacus,4.66,,5.02,,5.39,,5.11,,5.97,
abalone,5.21,,5.76,,4.88,,5.43,,5.39,
abandon,5.75,,3.07,,5.01,,3.97,,4.33,
abandoned,4.86,,4.58,,4.75,,4.77,,4.76,
abandonment,5.51,,3.18,2.63,4.22,,4.18,3.54,3.39,
abash,4.83,,4.37,,5.07,,4.97,,5.42,
abate,5.47,,3.2,,4.38,,4.18,,3.38,
abbey,5.14,,5.05,,5.63,,4.97,,6.12,
abbot,5.14,,4.41,,5.46,,4.68,,5.98,
abbreviate,4.54,,4.2,,5.33,,4.36,,5.81,
abbreviation,4.52,,4.63,,5.32,,4.62,,5.95,
abdicate,5.79,,4,,4.96,,4.47,,4.44,
abdomen,5.06,,5.49,6.2,4.86,,5.24,5.27,4.59,
abdominal,5.05,,4.49,,4.53,,4.66,,3.93,
aberration,5.39,,4.07,,4.4,,4.5,,3.73,
abhor,5.77,,3.01,,5.22,,4.08,,4.75,
abhorrent,5.89,,3.5,,4.49,,4.66,,3.88,
abide,5.26,,3.24,,5.53,,3.8,,5.94,
abiding,5.04,,3.37,,5.26,,4.15,,5.4,
ability,5.36,,3.12,2.69,5.84,,3.77,3.43,6.46,
ablaze,4.91,,4.73,,4.85,,5.48,,4.87,
able,5.31,,3.12,,5.7,,3.74,,6.11,
able-bodied,5.62,,4.48,,5.43,,4.95,,5.29,
abnormal,5.23,,3.6,,3.86,,4.19,,2.97,
abnormality,5.17,,3.84,,4.04,,4.34,,3.34,
abnormally,5.14,,4.14,,4.18,,4.24,,3.18,
aboard,5.34,,5.49,,5.02,,5.22,,5.33,
abode,5.49,,3.51,4.89,5.3,,4.34,4.36,5.37,
abolish,5.41,,3.65,,5.4,,4.21,,5.21,
abolition,5.46,,3.33,,5.2,,4.05,,4.71,
abolitionist,5.96,,3.97,,4.96,,4.42,,4.14,
abominable,5.89,,3.42,,4.84,,4.49,,3.88,
aborigine,4.74,,5.13,,5.01,,5.16,,5.31,
abort,5.6,,3.91,,5.09,,4.39,,5.61,
abortion,5.55,5.39,3.69,,5.24,4.59,4.16,,5.65,3.5
abortive,5.68,,3.42,,4.98,,3.92,,4.38,
abound,5.18,,3.21,,5.57,,3.86,,6.1,
about,5.19,,3.55,,5.23,,4.14,,5.73,
above,4.65,,4.86,,5.02,,5.1,,5.5,
above-average,5.41,,3.84,,5.25,,4.18,,5.69,
abrasion,4.82,,5.38,,4.68,,5.16,,4.86,
abrasive,4.48,,5.54,,5.09,,5.18,,5.28,
abreast,5.14,,4.07,,5.51,,4.49,,5.97,
abridge,4.85,,3.57,,4.99,,3.8,,5,
abroad,5.4,,3.51,,5.34,,4.27,,5.36,
abrupt,5.66,,3.02,,4.63,,4.14,,4.15,
abruptly,4.7,,4.79,,4.95,,5.21,,5.15,
absence,5.35,,2.75,,4.92,,3.15,,4.83,
absent,5.04,,2.99,,4.97,,3.36,,5.15,
absent-mindedly,4.57,,5.17,,5.09,,5.26,,5.64,
absently,4.7,,4.68,,5.11,,5.06,,5.54,
absolute,5.16,,3.11,,5.63,,3.71,,5.68,
absolutely,5.32,,3.2,,5.09,,4.08,,5.27,
absolutism,5.6,,3.43,,5.8,,4.13,,5.87,
absorb,4.75,,4.78,,5.14,,4.97,,5.63,
absorber,4.67,,5.2,,5.1,,5.03,,5.43,
absorptance,4.94,,4.82,,5.03,,4.67,,4.88,
abstain,5.25,,2.9,,5.45,,3.9,,5.58,
abstract,5.03,,2.96,,5.97,,3.61,,6.8,
abstraction,5.24,,2.92,,5.78,,3.43,,6.46,
absurd,5.33,4.36,3.02,,5.3,4.73,4.13,,5.44,4.26
absurdity,5.19,,2.85,,5.4,,3.69,,5.45,
abundance,5.16,5.51,3.58,2.57,5.74,5.8,4.16,3.92,6.68,6.59
abundant,4.71,,4.65,,5.22,,4.41,,5.79,
abundantly,4.64,,4.78,,5.15,,4.83,,5.47,
abuse,5.33,6.83,3.55,,4.05,3.69,4.52,,3.18,1.8
abused,5.48,,3.71,,4.11,,4.45,,3.29,
abuser,5.45,,3.78,,4.04,,4.57,,3.11,
abusive,5.61,,3.35,,4.1,,4.15,,3.26,
abyss,5.63,,3.77,4.91,4.66,,5.01,4.19,4.12,
abyssal,4.61,,5.58,,4.9,,5.39,,5.73,
acacia,4.14,,5.87,,4.85,,5.45,,5.18,
academic,5.44,,3.98,,5.81,,4.52,,6.41,
academically,5.19,,3.9,,5.47,,4.43,,5.85,
academy,5.65,,3.8,,6.11,,4.44,,7.01,
accelerate,4.85,,3.95,,5.29,,4.41,,5.47,
accelerated,5.05,,3.72,,5.06,,4.21,,5.11,
acceleration,4.76,,4.22,3.6,5.16,,4.58,4.92,5.37,
accelerator,4.73,,5.28,,4.94,,5.04,,4.93,
accent,5.02,,4.09,,5.49,,4.42,,6.37,
accentuate,5.02,,3.62,,5.51,,4,,5.82,
accept,5.09,,2.85,,5.6,,3.41,,5.92,
acceptability,5.13,,3.61,,5.7,,3.89,,6.29,
acceptable,5.2,,2.89,,5.56,,3.36,,5.9,
acceptance,5.15,5.4,2.99,,5.44,6.64,3.44,,5.85,7.98
accepted,5.09,,2.91,,5.61,,3.4,,6.11,
access,4.98,,3.91,,5.48,,3.92,,5.94,
accessibility,5.25,,3.17,,4.63,,3.6,,4.36,
accessible,4.65,,3.75,,5.56,,3.83,,5.97,
accessory,4.37,,4.71,,5.4,,4.49,,5.79,
accident,5.37,6.26,3.97,4.29,4.17,3.76,4.54,5.24,3.7,2.05
accidental,5.69,,3.65,,4.27,,4.24,,3.45,
accidentally,5.48,,3.72,,4.56,,4.38,,3.87,
acclaimed,5.5,,3.37,,6.01,,4.42,,6.76,
accommodate,4.91,,3.59,,5.7,,3.67,,6.25,
accommodation,4.96,,3.42,4.8,5.23,,3.61,4.72,5.41,
accompaniment,5.35,,4.49,,5.79,,5.07,,6.96,
accompany,5.6,,2.98,,5.33,,3.87,,5.81,
accompanying,5.2,,3.07,,5.34,,3.45,,5.75,
accomplice,5.16,,4.34,,4.93,,4.57,,5.23,
accomplish,5.1,,3.03,,5.72,,3.48,,6.38,
accomplished,5.55,,3.48,,5.97,,4.3,,6.78,
accomplishment,5.56,,3.09,,6.24,,3.88,,7.19,
accord,4.97,,3.03,,5.54,,3.3,,6.14,
accordance,5.11,,3.09,2.6,5.55,,3.37,2.43,6.01,
accordingly,5.15,,2.84,,5.36,,3.15,,5.56,
account,5.09,,4.57,,5.26,,4.55,,5.78,
accountability,5.14,,3.76,,5.62,,3.99,,6.14,
accountable,5.21,,3.89,,5.64,,4.05,,6.02,
accountant,5.29,,4.39,,5.66,,4.36,,6.48,
accounting,5.17,,4.39,,5.51,,4.33,,6.18,
accredit,5.45,,4.24,,5.39,,4.54,,5.96,
accrue,5.19,,3.27,,5.47,,3.75,,5.96,
accrued,5.4,,4.17,,5.29,,4.36,,5.59,
accumulate,4.96,,3.68,,5.07,,3.84,,4.89,
accumulation,5.28,,3.22,2.77,5.4,,3.4,3.6,5.92,
accumulator,4.41,,4.61,,4.75,,4.63,,4.84,
accuracy,4.85,,3.99,,5.65,,3.99,,6.14,
accurate,4.65,,3.76,,5.45,,3.99,,5.9,
accurately,4.78,,3.58,,5.61,,3.81,,6.16,
accusation,5.54,,3.73,,4.31,,4.31,,3.4,
accuse,5.51,,3.98,,4.23,,4.45,,3.35,
accuser,5.46,,3.57,4.34,4.21,,4.22,3.49,3.31,
accustom,5.23,,3.06,,5.1,,3.93,,5.05,
accustomed,5.08,,4.2,,4.79,,4.81,,4.74,
ace,5.24,5.5,4.65,,5.63,6.39,4.97,,6.32,6.88
acetate,4.37,,5.68,,5.19,,5.23,,5.6,
acetic,4.93,,5.08,,5.05,,4.86,,5.05,
acetone,4.97,,5.01,,4.87,,4.8,,4.59,
acetylcholine,5.38,,4.44,,4.4,,4.53,,3.82,
acetylene,4.79,,5.47,,4.97,,5.08,,4.95,
ache,4.68,5,4.77,,4.7,3.54,5.22,,4.87,2.46
achieve,5.28,,3.11,,5.89,,3.63,,6.51,
achievement,5.35,5.53,3.38,,5.98,6.56,3.98,,6.6,7.89
achiever,5.27,,3.73,,5.34,,4.15,,5.71,
acid,5.01,,5.11,,4.84,,4.84,,4.22,
acidic,5.07,,4.94,,4.87,,4.71,,4.57,
acidity,4.87,,5.28,3.89,4.97,,5.02,4.38,4.71,
acknowledge,5.42,,2.73,,5.49,,3.46,,5.45,
acknowledged,5.15,,3.04,,5.78,,3.87,,6.36,
acknowledgment,5.24,,3.13,,5.67,,3.74,,6.27,
acne,4.84,,4.82,,4.47,,4.88,,3.91,
acorn,4.58,,6.09,,5.1,,5.47,,5.75,
acoustic,4.63,,4.94,,5.09,,5,,5.64,
acquaint,5.43,,3.36,,5.59,,4.03,,6.13,
acquaintance,5.52,,3.39,,5.39,,4.3,,5.98,
acquiesce,5.42,,3.12,,5.44,,3.66,,5.2,
acquiescence,5.33,,3.17,,4.72,,3.76,,4.23,
acquire,5.32,,2.9,,6.09,,3.51,,6.78,
acquisition,5.19,,3.21,,5.7,,3.53,,6.24,
acquit,5.64,,3.91,,4.12,,4.52,,3.17,
acre,4.78,,5.19,4.77,5.06,,4.98,4.7,4.95,
acreage,4.85,,4.81,,5.23,,4.67,,5.44,
acrobat,5.76,,4.5,,5.75,,5.21,,6.93,
acropolis,5.11,,4.99,,5.38,,4.97,,6.04,
across,4.83,,4.72,,4.98,,5.14,,5.49,
acrylic,4.51,,5.01,,5.15,,4.7,,5.34,
act,5.49,,3.51,3.86,4.83,,3.83,4.35,4.35,
acting,5.71,,4.16,,5.65,,4.57,,6.38,
action,5.4,,3.19,,5.18,,3.65,,5.31,
activate,5.03,4.86,4.25,,4.88,5.43,4.22,,4.84,5.46
activation,5.28,,4.15,,4.68,,4.17,,4.56,
active,5.57,,3.43,,5.37,,3.65,,5.78,
actively,5.19,,3.25,,5.49,,3.5,,5.91,
activism,5.07,,3.09,,5.4,,3.71,,5.55,
activist,5.66,,3.63,,5.23,,4.17,,5.14,
activity,5.54,,3.31,,5.56,,3.67,,6.21,
actor,5.74,,4.44,,5.73,,4.86,,6.68,
actual,4.82,,2.93,,5.6,,3.29,,6.2,
actuality,5.23,,2.74,2.34,5.15,,3.35,2.19,5.39,
actually,4.91,,3.05,,5.34,,3.46,,5.57,
actuator,4.67,,4.94,,4.99,,4.84,,5.16,
acupuncture,5.16,,4.71,,4.11,,4.88,,3.72,
acute,5.2,,3.84,,3.76,,4.37,,2.84,
acutely,5.58,,3.78,,4.38,,4.68,,4.21,
ad,5.17,,4.47,,5.45,,4.45,,5.91,
adapt,4.87,,3.45,,5.32,,3.7,,6.12,
adaptability,5.19,,3.14,,5.16,,3.99,,5.47,
adaptable,4.75,,4.05,,5.51,,4.05,,6.11,
adaptation,5.1,,4.32,,5.16,,4.29,,5.72,
adaptive,5.24,,3.32,,5.08,,3.54,,5.19,
add,4.7,,4.5,,5.32,,4.52,,5.85,
addict,5.39,5.66,3.86,,4.18,3.72,4.61,,3.33,2.48
addiction,5.32,,3.92,,4.11,,4.63,,3.21,
addictive,5.38,,4.09,,4.11,,4.72,,3.19,
addition,5.04,,3.25,3.29,5.71,,3.43,3.41,6.37,
additional,5.14,,3.4,,5.82,,3.52,,6.57,
additionally,5.02,,3.32,,5.51,,3.59,,6.04,
additive,4.95,,4.72,,4.87,,4.76,,4.74,
address,5.07,,4.22,,5.32,,4.44,,5.81,
addressee,4.85,,4.87,,5.39,,4.77,,6.08,
adept,5.4,,2.96,,6.03,,3.83,,6.9,
adequacy,5.12,,3.17,,5.14,,3.47,,5.2,
adequate,4.99,,3.19,,5.33,,3.46,,5.66,
adequately,4.9,,3.12,,5.62,,3.52,,6.1,
adhere,4.8,,3.57,,5.54,,3.77,,6.14,
adherence,5.24,,2.87,2.54,5.48,,3.43,3.32,5.98,
adherent,5.28,,3.04,,5.36,,3.87,,5.32,
adhesion,4.5,,5.18,,5.25,,4.98,,5.56,
adhesive,4.28,,5.36,,5.11,,4.93,,5.33,
adjacent,4.73,,3.69,,4.97,,3.9,,5.29,
adjective,4.72,,3.85,,5.2,,3.96,,5.42,
adjoining,4.33,,5.3,,4.82,,5.31,,5.18,
adjourn,5.23,,3.83,,4.66,,4.1,,4.25,
adjust,5.15,,4.52,,5.33,,4.46,,5.63,
adjustable,4.48,,5.19,,5.13,,4.9,,5.27,
adjusted,5.06,,4.43,,5.05,,4.51,,5.46,
adjusting,4.8,,4.6,,5.13,,4.55,,5.72,
adjustment,5.2,,4.2,,4.99,,4.31,,5.24,
administer,5.21,,3.84,,4.43,,4.13,,4.28,
administration,5.31,,3.88,3.29,4.73,,4.13,4.19,4.26,
administrative,4.96,,4.23,,5.56,,4.3,,5.8,
administrator,5.19,,4.13,,5.92,,4.27,,6.59,
admirable,5.35,,3.27,,5.5,,4.36,,5.65,
admiral,5.59,,4.97,,5.27,,5.04,,5.55,
admiralty,4.75,,4.68,,4.77,,4.81,,4.88,
admiration,5.52,,3.7,,5.57,,4.62,,6.31,
admire,5.53,,3.62,,5.96,,4.7,,7.21,
admirer,5.61,,3.45,,6.04,,4.5,,6.78,
admission,5.36,,4.22,3,5.7,,4.56,3.95,6.4,
admit,5.33,,3.03,,4.98,,3.8,,4.9,
admittedly,5.6,,3.33,,5.06,,3.73,,4.95,
admonish,5.43,,3.64,,5.31,,4.53,,5.74,
admonition,5.56,,3.33,,5.15,,4.6,,5.39,
adobe,4.54,,5.62,,5.03,,5.16,,5.35,
adolescence,5.67,,3.5,2.57,5.33,,4.32,4.73,5.67,
adolescent,5.81,,3.47,,5.19,,4.38,,5.5,
adopt,5.16,,3.27,,5.61,,3.67,,5.7,
adoption,5.25,,3.52,,5.12,,3.83,,5.78,
adoptive,5.53,,3.95,,5.05,,4.87,,5.83,
adorable,5.33,5.12,4.65,,5.22,5.74,5.04,,5.77,7.81
adore,5.52,,3.5,,5.38,,4.77,,5.98,
adorn,5.21,,5.05,,5.63,,5.27,,6.51,
adrenal,5.57,,4.55,,5.04,,4.53,,4.97,
adrenalin,5.88,,4.43,,4.42,,4.58,,3.52,
adrenaline,5.57,,4.71,,5.04,,4.59,,4.89,
adrift,5.65,,5.05,,4.88,,5.2,,4.99,
adsorb,4.76,,4.57,,4.8,,4.41,,4.77,
adsorption,4.78,,4.61,,4.77,,4.54,,4.63,
adult,5.15,4.76,3.81,,4.83,5.75,4.48,,4.95,6.49
adultery,5.8,,4.11,3.06,5.18,,4.78,5,5.52,
adulthood,5.63,,3.32,,5.36,,4.17,,5.86,
advance,5.38,,3.32,,5.56,,3.87,,5.9,
advanced,5.32,,3.45,,6.14,,4.06,,7.04,
advancement,5.52,,3.85,,6.22,,4.21,,6.98,
advantage,5.23,4.76,3.01,,5.92,6.36,3.33,,6.7,6.95
advantageous,4.97,,3.26,,5.82,,3.41,,6.58,
advent,5.27,,2.95,,5.73,,3.51,,6.42,
adventure,5.79,6.98,3.52,,6.06,6.46,4.49,,7.11,7.6
adventurer,5.72,,4.51,4.77,5.87,,4.9,5.03,6.45,
adventurous,5.82,,4.19,,5.78,,4.62,,6.56,
adverb,4.8,,3.9,,5.17,,4.09,,5.46,
adversary,5.77,,3.38,,4.99,,4.18,,4.32,
adverse,5.36,,2.87,,5.13,,3.21,,5.26,
adversely,5.37,,3.26,,4.87,,3.71,,4.43,
advertise,5.01,,4.57,,5.5,,4.52,,6.11,
advertised,5.16,,4.61,,5.71,,4.51,,6.39,
advertisement,5.05,,4.46,,5.4,,4.47,,5.79,
advertiser,5.07,,4.52,,5.3,,4.48,,5.78,
advertising,5.05,,4.5,,5.43,,4.43,,5.98,
advice,5.36,,3.22,3.06,5.56,,3.82,3.57,5.96,
advisable,5.12,,3.65,,4.99,,4.03,,4.99,
advise,5.26,,3.36,,5.32,,3.89,,5.67,
adviser,5.52,,3.87,,5.1,,4.2,,4.56,
advisory,5.05,,4.29,,5.76,,4.3,,6.14,
advocate,5.21,,3.21,,5.41,,3.75,,5.49,
aerial,4.96,,4.75,5.4,5.21,,4.87,5.73,5.68,
aerobic,5.36,,3.73,,5.2,,4.29,,5.41,
aeronaut,4.79,,5.48,,5.1,,5.2,,5.52,
aeronautical,4.98,,5.23,,4.83,,4.99,,4.97,
aeronautics,5.51,,4.65,,5.3,,4.83,,6.01,
aeroplane,5.07,,5.24,,5.18,,5.11,,5.76,
aerospace,4.98,,4.41,,5.68,,4.56,,6.44,
aesthetic,5.07,,3.1,,5.84,,3.58,,6.73,
afar,5.19,,4.34,,5.19,,5.1,,5.63,
affair,5.38,,3.5,,5.43,,4.04,,5.17,
affect,5.07,,3.15,,4.5,,3.49,,4.07,
affectation,5.27,,3.69,,5.62,,4.46,,5.92,
affected,5.13,,3.95,,3.78,,4.3,,2.97,
affection,5.74,6.21,3.09,2.74,5.21,6.08,4.66,4.86,5.4,8.39
affectionate,5.56,,3.59,,5.56,,4.95,,6.8,
affectionately,4.95,,4.22,,5.27,,4.87,,6.08,
affective,5.28,,3.5,,5.41,,3.96,,5.76,
affidavit,5.11,,3.91,,5.16,,4.13,,5.44,
affiliate,5.2,,4.33,,5.74,,4.43,,6.52,
affiliation,5.21,,3.2,,5.6,,3.67,,5.86,
affinity,4.99,,4.61,,5.57,,4.32,,6.27,
affirm,5.21,,2.78,,4.99,,3.51,,5.02,
affirmation,5.42,,3.17,2.29,5.59,,4.14,3.19,6.02,
affirmative,4.98,,3.39,,5.4,,3.78,,5.84,
affix,4.83,,3.61,,5.32,,3.69,,5.52,
afflict,5.17,,3.42,,4.15,,4.43,,3.51,
affliction,5.31,,2.98,,4.35,,4.03,,3.9,
affluence,5.21,,3.34,,5.44,,4.01,,5.58,
affluent,5.24,,3.12,,5.32,,3.76,,5.41,
afford,5.18,,3.46,,5.71,,4.13,,6.49,
affront,5.52,,3.46,,4.82,,4.05,,4.63,
afield,5.06,,4.43,,5.33,,4.68,,5.78,
afire,5.82,,5.07,,4.66,,5.41,,3.7,
aflame,4.55,,5.18,,5.29,,5.5,,5.93,
afloat,5.52,,5.65,,4.87,,5.48,,5.1,
afoot,4.99,,5.56,,4.79,,5.36,,4.69,
afore,5.3,,5.24,,4.86,,5.37,,4.33,
afraid,5.74,6.67,3.76,,4.53,3.98,4.7,,3.87,2
afresh,5.36,,3.55,,5.22,,4.47,,5.31,
aft,4.8,,5.65,,4.97,,5.22,,5.08,
after,5.25,,3.61,,5.16,,4.26,,5.53,
after-school,5.01,,4.39,,5.43,,4.87,,6.08,
aftermath,5.68,,3.53,,4.98,,4.24,,4.5,
afternoon,5.08,,4.41,4.14,5.22,,4.98,5.19,5.94,
afterthought,4.99,,3.88,,5.55,,4.51,,6.34,
afterward,5.27,,3.31,,5.11,,4.23,,5.42,
again,5.52,,4.31,,4.72,,4.83,,4.37,
against,6.02,,3.92,,4.97,,4.69,,4.07,
agar,4.83,,4.77,,4.46,,4.68,,3.7,
agate,4.99,,5.61,,5.11,,5.48,,6.05,
age,5.2,,3.37,3.57,5.43,,4.26,4.97,6.01,
age-group,5.17,,3.91,,5.28,,4.64,,6.02,
age-old,5.56,,3.7,,5.11,,4.39,,4.98,
agency,5.1,,4.01,4.37,5.22,,4.18,3.72,5.39,
agenda,5.42,,3.95,,5.34,,4.09,,5.13,
agent,5.33,,3.72,,4.4,,4.05,,3.7,
aggravate,5.56,,3,,4,,3.74,,2.82,
aggregate,5.09,,3.64,,5.17,,3.96,,5.58,
aggregation,5.28,,4.74,,4.64,,4.51,,4.16,
aggression,5.93,,3.39,,4.76,,3.9,,4.3,
aggressive,5.88,5.83,3.39,,5.3,5.59,4.01,,5.44,5.1
aggressively,5.77,,3.23,,5.14,,3.89,,5.28,
aggressiveness,5.7,,3.07,,5.66,,3.93,,6.15,
aggressor,5.85,,3.5,4.51,4.33,,4.06,3.89,3.27,
agile,5.47,,4.4,,5.64,,4.82,,6.15,
agility,5.43,4.85,4.26,,5.66,5.87,4.66,,6.31,6.46
aging,5.25,,3.57,,4.69,,4.18,,4.51,
agitate,5.74,,2.99,,4.52,,4.21,,3.84,
agitation,5.46,,3.04,,5.04,,4.07,,4.33,
agitator,5.54,,3.46,,4.86,,4.12,,4.13,
ago,5.18,,4.43,,5.47,,4.78,,5.93,
agonize,5.66,,3.71,,4.49,,4.77,,3.79,
agony,5.74,6.06,3.27,3.41,4.21,4.02,4.59,5,3.53,2.43
agrarian,5.26,,3.23,,5.17,,4,,4.97,
agree,5.17,,3.36,,5.42,,3.87,,5.63,
agreeable,5.32,,3.26,,5.32,,4.28,,5.73,
agreement,5.45,5.02,3.66,,4.61,6.22,3.97,,4.7,7.08
agribusiness,4.85,,4.69,,5.34,,4.53,,5.46,
agricultural,4.96,,4.45,,5.28,,4.53,,5.45,
agriculture,4.93,,4.41,,5.3,,4.5,,5.42,
aground,5.37,,5.71,,5,,5.41,,5.24,
ahead,5.08,,4.83,,5.21,,5.04,,5.56,
ai,5.44,,4.34,,4.92,,4.91,,4.49,
aid,5.36,,3.43,,4.66,,3.97,,4.5,
aide,5.5,,4.35,,4.98,,4.49,,4.93,
ail,5.38,,4.07,,5.1,,4.82,,5.06,
ailing,5.42,,4.28,,4.49,,4.74,,4.5,
ailment,5.23,,4.38,,4.09,,4.73,,3.42,
aim,5.43,,3.11,2.97,5.41,,3.78,3.89,5.28,
aimless,6.16,,3.85,,5.07,,4.44,,4.74,
aimlessly,4.82,,4.08,,4.71,,4.87,,4.66,
air,5.05,4.12,5.3,,4.78,5.1,5.51,,4.4,6.34
air-conditioned,4.61,,5.54,,5.32,,5.47,,5.72,
air-conditioning,4.68,,5.37,,5.27,,5.15,,5.86,
airborne,5.12,,4.2,,4.06,,4.43,,2.89,
aircraft,5.34,,5.25,,4.93,,5.15,,5.25,
airfield,5.41,,5.24,,4.73,,5.25,,4.89,
airline,5.1,,4.85,,5.26,,4.72,,5.88,
airliner,5.24,,5.15,,5.17,,5.08,,5.59,
airmail,5.03,,5.18,,5.28,,4.98,,5.85,
airman,5.36,,4.4,,4.55,,5.14,,4.62,
airport,5.21,,5.29,,5.12,,5.15,,5.59,
airship,5.16,,5.41,6.17,4.89,,5.24,5.51,5.22,
airtight,4.83,,4.98,,4.83,,5.04,,4.62,
airway,5.25,,4.48,,4.2,,4.8,,3.61,
airy,4.8,,4.55,,5.28,,5.07,,6.28,
aisle,4.5,,5.45,,5.15,,5.3,,5.84,
ajar,4.1,,5.32,,4.96,,5.3,,5.63,
akin,5.36,,3,,5.53,,3.87,,5.82,
al,4.76,,4.34,,5.08,,4.21,,5.38,
alabaster,5.06,,5.53,,5.1,,5.49,,5.57,
alarm,5.78,,4.49,,4.74,,5.26,,4.44,
alarmed,5.21,,4,,4.67,,4.7,,4.33,
alarming,5.64,,3.07,,4.41,,4.24,,3.64,
alarmingly,4.9,,4.36,,5.26,,4.8,,5.72,
alas,5.33,,3.91,,5.13,,4.68,,4.98,
albeit,5.27,,3.03,,5.79,,3.61,,6.51,
albino,4.8,,5.69,,4.73,,5.4,,4.82,
album,5.26,,5.08,,5.72,,5.37,,6.83,
alchemist,5.11,,3.88,4.77,5.41,,4.1,4,6.26,
alcohol,5.28,,4.78,,4.47,,5.01,,3.94,
alcoholic,5.26,5.69,4.63,,4.52,4.45,4.97,,4.14,2.84
alcoholism,5.36,,4.34,,4.47,,4.86,,3.91,
alcove,4.99,,4.81,,5.38,,5.18,,6.35,
aldehyde,5.09,,4.93,,5.02,,4.72,,4.99,
alder,4.44,,5.92,,5.07,,5.67,,5.93,
aldrin,5.1,,4.62,,5.32,,5,,6.17,
ale,4.49,,6.22,,5.26,,5.95,,6.12,
alec,4.73,,4.86,,5,,4.93,,5.25,
alert,5.39,6.85,3.45,,4.58,5.96,4.09,,4.24,6.2
alertness,5.23,,3.49,,4.63,,4.23,,4.35,
alewife,5.05,,5.76,,4.61,,5.41,,4.23,
alexia,5.49,,4.51,,5.61,,4.96,,5.81,
alfalfa,4.38,,5.76,,5.01,,5.34,,5.27,
algae,4.75,,5.69,5.71,4.74,,5.52,4.3,4.69,
algebra,5.07,,3.91,,5.78,,4.52,,6.38,
algorithm,4.81,,4.06,,5.39,,4.19,,5.83,
alias,5.24,,3.99,2.17,4.78,,4.51,3,4.75,
alibi,5.71,,3.86,,4.15,,4.53,,3.31,
alien,5.36,5.45,3.27,,5.17,4.64,4.05,,4.95,5.6
alienate,5.2,,2.93,,5.38,,3.8,,5.48,
alienation,5.26,,3.01,,5.03,,3.67,,4.81,
alight,4.78,,4.54,,5.17,,5.16,,5.85,
align,4.57,,4.92,,5.13,,4.76,,5.4,
alignment,4.7,,5,,5.06,,4.75,,5.12,
alike,5.1,,3.89,,5.73,,4.13,,6.61,
alimentary,5.02,,5.57,,4.81,,5.1,,4.23,
alimony,5.62,4.3,4.21,,4.92,4.63,4.5,,5.17,3.95
aliphatic,4.84,,4.49,,5.16,,4.27,,5.35,
alive,5.27,5.5,4.01,,4.56,6.39,4.66,,4.55,7.25
alkali,4.6,,5.18,4.49,5.13,,4.7,4.38,5.33,
alkaline,4.8,,5.36,,5.03,,5.03,,4.69,
alkane,4.8,,4.76,,5,,4.46,,5.23,
alkene,4.8,,4.53,,4.98,,4.34,,5.19,
alkyl,4.94,,4.71,,4.81,,4.52,,4.7,
all,5.43,,3.52,,5.53,,4.08,,6.15,
all-American,5.57,,4.93,,5.88,,4.97,,6.56,
all-important,5.02,,3.8,,5.37,,3.76,,5.66,
all-night,4.45,,4.26,,5.23,,4.86,,5.81,
all-out,6.07,,4.02,,4.55,,4.45,,3.45,
all-powerful,5.45,,3.58,,5.61,,4.48,,6,
all-star,5.52,,4.92,,5.86,,5.03,,6.44,
all-time,5.35,,4.35,,4.89,,4.83,,5.16,
allege,5.07,,3.72,,4.54,,4.18,,4.17,
alleged,5.23,,3.59,,4.5,,4.02,,3.97,
allegedly,5.76,,3.55,,4.39,,3.91,,3.38,
allegiance,5.23,,3.53,,5.41,,4.25,,5.34,
allele,5.17,,3.93,,4.29,,3.95,,4.15,
allergen,5.21,,3.75,,3.97,,4.21,,3.06,
allergic,5.09,,4,,3.88,,4.3,,2.85,
allergy,5.25,4.64,4.09,,3.96,3.21,4.41,,2.87,3.07
alleviate,5.4,,3.3,,4.81,,3.68,,4.69,
alley,5.15,4.91,5.14,,4.95,4,5.15,,4.81,4.48
alliance,5.88,,3.7,,5.19,,4.21,,4.61,
allied,6.13,,4.37,,4.9,,4.71,,4.14,
alligator,5.19,,5.79,,4.77,,5.42,,4.85,
alliteration,5.25,,4.01,,5.59,,4.38,,6.59,
allocate,5.21,,3.63,,5.58,,3.91,,6.3,
allocation,5.11,,3.63,,5.8,,3.91,,6.42,
allot,5.05,,3.58,,5.43,,3.91,,5.91,
allotment,5.12,,4.19,5.23,4.92,,4.25,4.76,4.75,
allow,4.96,,3.34,,5.61,,3.56,,6.31,
allowable,4.95,,3.69,,5.14,,3.76,,5.48,
allowance,5.02,,4.4,,5.25,,4.37,,5.84,
alloy,4.56,,5.74,,5.37,,5.2,,5.69,
allude,5.44,,3.11,,5.64,,3.79,,6.06,
allusion,5.41,,3.65,,5.55,,4.35,,6.41,
alluvial,4.68,,4.7,,4.78,,4.83,,5.05,
ally,6,,4.22,5.03,4.81,,4.65,4.59,4.09,
alma,5.35,,5.54,,5.85,,5.38,,6.85,
almanac,4.6,,4.57,,5.25,,4.65,,5.79,
almighty,5.36,,3.81,,4.97,,4.79,,5.29,
almond,4.79,,6.28,,5.25,,5.98,,6.36,
almost,5.23,,3.62,,5.33,,4.31,,5.97,
aloft,5.22,,4.96,,5.03,,5.18,,5.2,
