word_english,word_english_past,regularity,consistency,imagine_M,RT_M,z_score,proportion_correct,proportion_error
abandon,abandoned,regular,1,4.766666667,621.2,-0.6,1,0
abate,abated,regular,1,2.633333333,683,-0.29,1,0
abdicate,abdicated,regular,1,2.821428571,813.08,0.28,0.965517241,0
abet,abetted,regular,0.56,2.75,782.71,0.19,0.8,0
abide,abided,regular,0.62,2.1875,705.91,-0.23,0.827586207,0
abort,aborted,regular,1,4.580645161,662.13,-0.3,0.827586207,0
abridge,abridged,regular,1,2.275862069,685.21,-0.26,0.966666667,0
absent,absented,regular,1,3.322580645,782.55,0.34,0.827586207,0
absorb,absorbed,regular,1,4.806451613,658,-0.48,0.965517241,0
abstract,abstracted,regular,1,2.888888889,689.96,-0.29,0.966666667,0
accede,acceded,regular,0.59,3.636363636,893.74,0.78,0.931034483,0
accent,accented,regular,1,3.592592593,714.67,-0.24,0.933333333,0
accept,accepted,regular,1,4.161290323,657.4,-0.4,1,0
acclimatize,acclimatized,regular,1,2.230769231,899.44,1.12,0.551724138,0
accompany,accompanied,regular,1,5.4,703.25,-0.17,0.966666667,0
accord,accorded,regular,1,3.24137931,776.73,0.1,0.866666667,0
account,accounted,regular,1,3.870967742,635.21,-0.59,1,0
accrue,accrued,regular,0.96,2.862068966,814.09,0.38,0.75862069,0
accuse,accused,regular,0.8,3.709677419,607.43,-0.64,0.933333333,0
ache,ached,regular,0.69,4.535714286,705.08,-0.13,0.896551724,0
acknowledge,acknowledged,regular,1,4.357142857,703.9,-0.3,1,0
acquire,acquired,regular,1,3.935483871,731.9,-0.08,1,0
act,acted,regular,1,5.419354839,672.18,-0.35,1,0
adapt,adapted,regular,1,3.258064516,639.5,-0.6,0.928571429,0
addict,addicted,regular,1,2.5,740.64,-0.12,1,0
address,addressed,regular,0.89,3.848484848,657.11,-0.4,0.965517241,0
adhere,adhered,regular,0.94,3.733333333,704.63,-0.06,0.857142857,0
adjourn,adjourned,regular,1,2.65625,688.42,-0.33,0.9,0
adjudicate,adjudicated,regular,1,3.6,864.13,0.69,0.586206897,0
adjust,adjusted,regular,0.83,4.322580645,599.96,-0.72,0.9,0
admire,admired,regular,1,4,627.68,-0.66,0.965517241,0
admonish,admonished,regular,1,3.4,703.66,-0.22,1,0
adore,adored,regular,1,4.322580645,633.5,-0.62,1,0
adulterate,adulterated,regular,1,3.034482759,806.61,0.22,0.966666667,0
advantage,advantaged,regular,1,3.677419355,760.82,0.07,1,0
advise,advised,regular,0.75,3.3125,660.96,-0.37,0.928571429,0
aerate,aerated,regular,1,4.666666667,951.83,1.03,0.866666667,0
affiliate,affiliated,regular,1,2.566666667,725.77,-0.04,0.931034483,0
affix,affixed,regular,1,4.290322581,725.69,-0.17,0.966666667,0
afford,afforded,regular,1,2.484848485,714.69,-0.25,0.966666667,0
age,aged,regular,1,4.78125,675.69,-0.35,1,0
aggregate,aggregated,regular,1,3.846153846,784.07,0.03,0.965517241,0
agonize,agonized,regular,1,4.333333333,669.43,-0.39,1,0
aid,aided,regular,1,4.612903226,610.63,-0.6,0.931034483,0
aim,aimed,regular,1,5.333333333,633.93,-0.51,0.933333333,0
alarm,alarmed,regular,1,4.5,626,-0.62,0.966666667,0
alienate,alienated,regular,1,4.035714286,724.79,-0.08,1,0
align,aligned,regular,0.9,4.548387097,681.78,-0.41,0.931034483,0
allege,alleged,regular,1,2.5625,789.1,0.23,1,0
allocate,allocated,regular,1,4.161290323,662.41,-0.44,1,0
allow,allowed,regular,1,3.967741935,613.36,-0.69,0.965517241,0
alter,altered,regular,1,3.928571429,644.83,-0.49,0.966666667,0
amalgamate,amalgamated,regular,1,2.92,931.21,0.89,0.551724138,0
amaze,amazed,regular,1,3.266666667,704,-0.27,0.933333333,0
ambush,ambushed,regular,1,4.96875,638.2,-0.61,1,0
amend,amended,regular,0.58,3.428571429,695.43,-0.3,0.965517241,0
amplify,amplified,regular,1,4.193548387,635.36,-0.55,0.965517241,0
amuse,amused,regular,0.8,4.730769231,687.42,-0.33,0.896551724,0
analyze,analyzed,regular,1,3.612903226,669.75,-0.4,0.965517241,0
anger,angered,regular,1,4.666666667,642.59,-0.53,0.966666667,0
anglicize,anglicized,regular,1,2.851851852,989.47,1.2,0.666666667,0
annex,annexed,regular,1,3.548387097,679.85,-0.29,0.931034483,0
annotate,annotated,regular,1,3.827586207,793.19,0.25,0.928571429,0
annoy,annoyed,regular,1,4.423076923,657.04,-0.48,0.965517241,0
anoint,anointed,regular,1,4.133333333,714.12,-0.15,0.862068966,0
antagonize,antagonized,regular,1,3.1875,765.21,0.16,0.892857143,0
anticipate,anticipated,regular,1,3.64516129,664.96,-0.38,0.966666667,0
apologize,apologized,regular,1,3.757575758,646.93,-0.55,1,0
appeal,appealed,regular,0.71,4.1,648.67,-0.45,0.965517241,0
appease,appeased,regular,0.9,3.814814815,666.04,-0.47,0.933333333,0
applaud,applauded,regular,1,5.741935484,673.52,-0.4,0.931034483,0
appoint,appointed,regular,1,4.214285714,663.11,-0.41,0.933333333,0
appraise,appraised,regular,0.92,3.633333333,706.14,-0.15,1,0
apprehend,apprehended,regular,0.58,4.612903226,635.31,-0.51,0.896551724,0
apprise,apprised,regular,0.75,2.678571429,779.67,0.22,0.965517241,0
appropriate,appropriated,regular,1,3.677419355,678.43,-0.27,0.933333333,0
approximate,approximated,regular,1,4.1,699.83,-0.26,1,0
argue,argued,regular,1,4.8125,608.5,-0.67,0.965517241,0
arise,arose,irregular,0.5,4.451612903,758.32,-0.02,0.741573034,0.08988764
arouse,aroused,regular,1,4.870967742,647.67,-0.52,0.9,0
arrange,arranged,regular,1,4.733333333,614.04,-0.64,0.965517241,0
arrest,arrested,regular,1,5.303030303,657.74,-0.61,0.964285714,0
arrogate,arrogated,regular,1,2.5,840.52,0.37,0.966666667,0
articulate,articulated,regular,1,2.848484848,701.44,-0.19,0.896551724,0
ascertain,ascertained,regular,1,2.75,764.09,0.18,0.821428571,0
asphalt,asphalted,regular,1,4.258064516,830.46,0.42,0.9,0
assail,assailed,regular,1,3.903225806,724.28,-0.15,1,0
assault,assaulted,regular,1,5.357142857,659.21,-0.54,0.965517241,0
assent,assented,regular,1,3.541666667,698.86,-0.28,0.966666667,0
assess,assessed,regular,1,2.696969697,662.82,-0.47,0.965517241,0
assimilate,assimilated,regular,1,2.71875,713.35,-0.11,0.896551724,0
associate,associated,regular,1,2.961538462,671.43,-0.38,0.965517241,0
