word_german,word_english,letters_N,frequency_per_million,frequency_class,valence_M_young_female,valence_M_young_male,valence_M_old_female,valence_M_old_male,valence_M_young,valence_M_old,valence_M,arousal_M_young_female,arousal_M_young_male,arousal_M_old_female,arousal_M_old_male,arousal_M_young,arousal_M_old,arousal_M,control_M_young_female,control_M_young_male,control_M_old_female,control_M_old_male,control_M_young,control_M_old,control_M,imagine_M_young_female,imagine_M_young_male,imagine_M_old_female,imagine_M_old_male,imagine_M_young,imagine_M_old,imagine_M,selfrelevance_M_young_female,selfrelevance_M_young_male,selfrelevance_M_old_female,selfrelevance_M_old_male,selfrelevance_M_young,selfrelevance_M_old,selfrelevance_M,agerelevance_M_young_female,agerelevance_M_young_male,agerelevance_M_old_female,agerelevance_M_old_male,agerelevance_M_young,agerelevance_M_old,agerelevance_M,valence_M_self,valence_M_other,self_or_other_M,self_or_other_SD,self_or_other_class,valence_anova_p_age,valence_anova_etasquared_age,valence_anova_significant_age,valence_anova_p_sex,valence_anova_etasquared_sex,valence_anova_significant_sex,valence_anova_p_age_sex,valence_anova_etasquared_age_sex,valence_anova_significant_age_sex,arousal_anova_p_age,arousal_anova_etasquared_age,arousal_anova_significant_age,arousal_anova_p_sex,arousal_anova_etasquared_sex,arousal_anova_significant_sex,arousal_anova_p_age_sex,arousal_anova_etasquared_age_sex,arousal_anova_significant_age_sex,control_anova_p_age,control_anova_etasquared_age,control_anova_significant_age,control_anova_p_sex,control_anova_etasquared_sex,control_anova_significant_sex,control_anova_p_age_sex,control_anova_etasquared_age_sex,control_anova_significant_age_sex,imagine_anova_p_age,imagine_anova_etasquared_age,imagine_anova_significant_age,imagine_anova_p_sex,imagine_anova_etasquared_sex,imagine_anova_significant_sex,imagine_anova_p_age_sex,imagine_anova_etasquared_age_sex,imagine_anova_significant_age_sex,selfrelevance_anova_p_age,selfrelevance_anova_etasquared_age,selfrelevance_anova_significant_age,selfrelevance_anova_p_sex,selfrelevance_anova_etasquared_sex,selfrelevance_anova_significant_sex,selfrelevance_anova_p_age_sex,selfrelevance_anova_etasquared_age_sex,selfrelevance_anova_significant_age_sex,agerelevance_anova_p_age,agerelevance_anova_etasquared_age,agerelevance_anova_significant_age,agerelevance_anova_p_sex,agerelevance_anova_etasquared_sex,agerelevance_anova_significant_sex,agerelevance_anova_p_age_sex,agerelevance_anova_etasquared_age_sex,agerelevance_anova_significant_age_sex
abhaengig,dependent,8,19.464,10,1.5,1.75,1.75,2.083,1.625,1.917,1.771,6,5.583,4.5,4.636,5.792,4.565,5.191,1.917,1.167,2.818,2.417,1.542,2.609,2.064,4.083,3.364,3.333,3.083,3.739,3.208,3.468,3.417,3.667,1.667,2.583,3.542,2.125,2.833,3.917,3.333,3.75,3.091,3.625,3.435,3.532,1.813,2.563,1.917,0.22,2,0.273,0.027,0,0.273,0.027,0,0.875,0.001,0,0.007,0.16,1,0.745,0.002,0,0.522,0.01,0,0.026,0.111,1,0.222,0.034,0,0.71,0.003,0,0.352,0.02,0,0.38,0.018,0,0.67,0.004,0,0.005,0.168,1,0.226,0.033,0,0.487,0.011,0,0.496,0.011,0,0.043,0.092,1,0.899,0,0
abwesend,pre-occupied,8,1.767,14,2.917,3.083,3,2.917,3,2.958,2.979,2.833,2.5,3.083,2.25,2.667,2.667,2.667,1.917,1.917,3.083,2,1.917,2.542,2.229,3.833,3.25,5,3.583,3.542,4.292,3.917,2.583,2.917,1.833,2.25,2.75,2.042,2.396,3.5,3.667,3.583,4,3.583,3.792,3.688,2.813,2.125,1.458,0.5,1,0.875,0.001,0,0.875,0.001,0,0.638,0.005,0,1,0,0,0.187,0.039,0,0.568,0.007,0,0.13,0.051,0,0.188,0.039,0,0.188,0.039,0,0.221,0.034,0,0.105,0.059,0,0.494,0.011,0,0.082,0.067,0,0.352,0.02,0,0.917,0,0,0.273,0.027,0,0.127,0.052,0,0.509,0.01,0
aggressiv,aggressive,9,8.319,12,1.083,1.583,1.167,1.833,1.333,1.5,1.417,6.667,6.5,6.833,6.636,6.583,6.739,6.66,3.333,3.75,4.167,2.917,3.542,3.542,3.542,5.545,6.417,5.917,6.083,6,6,6,2.25,3.083,2.5,3,2.667,2.739,2.702,2.667,2.167,2.333,1.75,2.417,2.042,2.229,1.875,1.625,1.125,0.333,1,0.466,0.012,0,0.014,0.131,1,0.715,0.003,0,0.366,0.019,0,0.279,0.027,0,0.928,0,0,1,0,0,0.469,0.012,0,0.151,0.046,0,0.963,0,0,0.209,0.036,0,0.391,0.017,0,0.855,0.001,0,0.15,0.048,0,0.716,0.003,0,0.068,0.074,0,0.01,0.142,1,0.836,0.001,0
akkurat,precise,7,1.695,14,4.083,4.417,6.083,5.833,4.25,5.958,5.104,5.167,4.667,3.833,4.083,4.917,3.958,4.438,5.75,5.273,5.667,6.167,5.522,5.917,5.723,4.417,3.083,5.083,3.75,3.75,4.417,4.083,4.667,4.182,5.583,5.5,4.435,5.542,5,3.25,3.583,3.75,3.917,3.417,3.833,3.625,5.125,4.813,1.625,0.441,2,0,0.367,1,0.903,0,0,0.393,0.017,0,0.041,0.092,1,0.784,0.002,0,0.413,0.015,0,0.264,0.029,0,0.975,0,0,0.18,0.041,0,0.222,0.034,0,0.017,0.122,1,1,0,0,0.007,0.158,1,0.474,0.012,0,0.613,0.006,0,0.069,0.073,0,0.269,0.028,0,0.711,0.003,0
aktiv,active,5,32.207,10,5.75,5.417,6.333,5.833,5.583,6.083,5.833,4.667,4.917,5.417,5.667,4.792,5.542,5.167,6.167,6.167,6.25,6.083,6.167,6.167,6.167,5.5,5.75,5.917,4.833,5.625,5.375,5.5,6.083,4.833,6.25,5.5,5.458,5.875,5.667,1.5,1.333,2.25,2,1.417,2.13,1.766,6.75,6.188,2,0,2,0.013,0.133,1,0.036,0.097,1,0.667,0.004,0,0.134,0.05,0,0.613,0.006,0,1,0,0,1,0,0,0.807,0.001,0,0.807,0.001,0,0.556,0.008,0,0.328,0.022,0,0.121,0.054,0,0.173,0.042,0,0.002,0.201,1,0.411,0.015,0,0.001,0.228,1,0.3,0.025,0,0.835,0.001,0
albern,silly,6,2.666,13,4.333,4.75,3.333,2.583,4.542,2.958,3.75,2.167,2.583,3.417,3.333,2.375,3.375,2.875,4.083,3.583,4.083,2.833,3.833,3.458,3.646,5.75,5.75,5.25,5.167,5.75,5.208,5.479,4.75,5.583,2.25,2,5.167,2.125,3.646,2.25,1.583,1.417,2.167,1.917,1.792,1.854,5,5,1.25,0.441,1,0,0.325,1,0.63,0.005,0,0.097,0.061,0,0.007,0.154,1,0.64,0.005,0,0.484,0.011,0,0.429,0.014,0,0.069,0.073,0,0.429,0.014,0,0.207,0.036,0,0.922,0,0,0.922,0,0,0,0.583,1,0.456,0.013,0,0.17,0.042,0,0.541,0.009,0,0.838,0.001,0,0.001,0.217,1
alt,old,3,27.889,10,3.667,3.333,3.917,3.417,3.5,3.667,3.583,2.75,2.75,3.667,3.167,2.75,3.417,3.083,3.833,2.583,2.583,4,3.208,3.292,3.25,6.727,6.333,6.273,6.583,6.522,6.435,6.478,1.75,2,5.583,6,1.875,5.792,3.833,4.75,5,4.75,4.667,4.875,4.708,4.792,3.5,4,1.875,0.354,2,0.677,0.004,0,0.3,0.024,0,0.835,0.001,0,0.091,0.063,0,0.521,0.009,0,0.521,0.009,0,0.865,0.001,0,0.865,0.001,0,0.009,0.145,1,0.747,0.002,0,0.896,0,0,0.27,0.029,0,0,0.611,1,0.483,0.011,0,0.86,0.001,0,0.213,0.035,0,0.53,0.009,0,0.213,0.035,0
amuesiert,amused,8,4.435,13,6.083,5.417,5.5,5.5,5.75,5.5,5.625,2.5,3,3.333,2.75,2.75,3.042,2.896,4.75,4.583,3.667,4.083,4.667,3.875,4.271,5.833,5.417,6,5,5.625,5.5,5.563,5.25,5.25,4.583,4.5,5.25,4.542,4.896,2.167,2.417,3,2.75,2.292,2.875,2.583,6.125,5.375,1.875,0.354,2,0.329,0.022,0,0.195,0.038,0,0.195,0.038,0,0.473,0.012,0,0.918,0,0,0.186,0.039,0,0.06,0.078,0,0.762,0.002,0,0.481,0.011,0,0.764,0.002,0,0.094,0.062,0,0.485,0.011,0,0.052,0.083,0,0.907,0,0,0.907,0,0,0.028,0.105,1,1,0,0,0.336,0.021,0
analytisch,analytical,10,1.015,15,3.25,4.667,4.917,5.5,3.958,5.208,4.583,4.583,4.833,4.5,4.75,4.708,4.625,4.667,6.25,5.833,4.75,5.5,6.042,5.125,5.583,2.273,2.833,3.75,3.083,2.565,3.417,3,4.25,4.917,4.583,5.5,4.583,5.042,4.813,2.417,2.667,2.667,2.917,2.542,2.792,2.667,5.375,4.75,1.833,0.354,2,0.002,0.2,1,0.011,0.138,1,0.274,0.027,0,0.829,0.001,0,0.518,0.01,0,1,0,0,0.024,0.111,1,0.673,0.004,0,0.144,0.048,0,0.107,0.059,0,0.92,0,0,0.249,0.031,0,0.332,0.021,0,0.097,0.061,0,0.79,0.002,0,0.293,0.025,0,0.293,0.025,0,1,0,0
angeekelt,disgusted,9,0.341,16,1.583,1.833,1.417,1.083,1.708,1.25,1.479,6.583,6,6.083,6.636,6.292,6.348,6.319,2.417,2.167,3.333,2.75,2.292,3.042,2.667,6.083,6.25,5.333,4.909,6.167,5.13,5.66,2.083,1.833,1.25,1.583,1.958,1.417,1.688,2.917,2.917,2.833,3.333,2.917,3.083,3,1.688,1.813,1.833,0.333,2,0.024,0.11,1,0.833,0.001,0,0.145,0.048,0,0.775,0.002,0,0.949,0,0,0.021,0.118,1,0.104,0.059,0,0.361,0.019,0,0.714,0.003,0,0.045,0.091,1,0.8,0.002,0,0.562,0.008,0,0.085,0.066,0,0.893,0,0,0.347,0.02,0,0.398,0.016,0,0.208,0.036,0,0.208,0.036,0
