word_english,letters_N,frequency_M_log,familiar_M_American,familiar_M_British,imagine_M_British,aoa_M_log,imagine_M_American,transparency_M,Lexeme_Meaning_Dominance_M,Length_first_lexeme_M,Frequency_first_lexeme_M,familiar_M_first_lexeme,aoa_M_log_first_lexeme,imagine_M_first_lexeme,bilabial,labiodental,dental,labiovelar,postalvelolar,alveolar,palatal,palatal.alveolar,glottal,velar,voiced,length_second_lexeme_M,frequency_second_lexeme_M,familiar_M_second_lexeme,aoa_M_log_second_lexeme,imagine_M_second_lexeme
cupboard,8,4.27,6.64,6.93,6.83,0.505149978,6.05,3,5.13,3,5.09,5.95,0.361727836,6.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5.1,5.29,0.556302501,5.8
daresay,7,2.56,3.64,4.37,2.2,0.792391689,1.38,4.18,4.79,4,4.4,5.14,0.556302501,2.5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,3,6.13,1,0.397940009,2.8
dimwit,6,2.44,5.43,5.33,2.87,0.698970004,2.57,5.67,3.53,3,3.5,4.95,0.633468456,3.8,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,3,3.67,1,0.716003344,2.6
dockyard,8,3,4.43,4.5,3.83,0.704722333,4.67,5.23,2.8,4,3.95,4.83,0.568201724,6.1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,4,4.33,5.22,0.491361694,6.2
dovetail,8,2.28,3.64,3.6,3.23,0.748188027,3.57,3.33,5.91,4,3.46,4.15,0.556302501,6.5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,4,4.45,4.76,0.477121255,6.5
drawbridge,10,2.76,6.36,5.43,5.9,0.62324929,4.9,4.15,8.13,4,4.87,5.84,0.414973348,5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,6,4.71,5.61,0.505149978,6.7
drugstore,9,2.28,6.86,6.43,6.37,0.662757832,5.76,6.2,5.07,4,4.5,5.46,0.633468456,5.6,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,5,4.63,5.62,0.505149978,5.8
elsewhere,9,4.47,6.5,6.27,2.23,0.656417654,1.57,4.6,3.53,4,5.5,5.65,0.568201724,1.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,6.13,6.08,0.491361694,1.9
eyelash,7,2.79,6.93,6.8,6.87,0.477121255,6.43,5.07,4.33,3,5.13,6.11,0.342422681,6.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,3.18,1,0.698970004,3.6
faceless,8,2.77,5.93,5.27,3.4,0.704722333,5.05,3.86,3.13,4,5.44,6.12,0.397940009,6.4,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5.31,5.41,0.51851394,2.7
