word_english,letters_N,frequency_M_log,familiar_M_American,familiar_M_British,imagine_M_British,aoa_M_log,imagine_M_American,transparency_M,Lexeme_Meaning_Dominance_M,Length_first_lexeme_M,Frequency_first_lexeme_M,familiar_M_first_lexeme,aoa_M_log_first_lexeme,imagine_M_first_lexeme,bilabial,labiodental,dental,labiovelar,postalvelolar,alveolar,palatal,palatal.alveolar,glottal,velar,voiced,length_second_lexeme_M,frequency_second_lexeme_M,familiar_M_second_lexeme,aoa_M_log_second_lexeme,imagine_M_second_lexeme
piecemeal,9,2.71,2.79,2.5,1.93,0.806179974,2.76,2.93,4.58,5,5.27,5.11,0.477121255,3.8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4.53,6.03,0.462397998,6
pitchfork,9,2.55,6.71,6.33,6.37,0.643452676,6,4.21,7,5,4.2,4.68,0.579783597,4.9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3.97,5.84,0.397940009,6.6
pitfall,7,2.08,5.14,5.13,2.9,0.787696568,2.33,4.27,5.07,3,4.6,4.93,0.556302501,5.2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5.01,5.72,0.447158031,4.8
plywood,7,2.85,6.07,5.07,4.97,0.693140461,5.33,4.75,7.93,3,2.91,1,0.785329835,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4.78,5.74,0.505149978,6.5
pocketknife,11,1.17,6.5,6.23,6.6,0.609238576,6.43,6.14,6.67,6,4.63,5.9,0.51054501,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4.49,6.1,0.477121255,6.8
popcorn,7,3.68,7,6.67,6.87,0.367976785,6.86,5.79,6.6,3,4.95,1,0.431363764,6.1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3.94,4.69,0.447158031,6.8
poppycock,9,2.33,2.79,2.6,1.5,0.810680475,1.71,1.6,4.08,5,3.98,1,0.719331287,5.1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3.98,4.84,0.716003344,5.1
primrose,8,3.14,3.79,4.5,3.23,0.819543936,3.57,2,7.93,4,2.73,3.66,0.763427994,2.1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4.64,5.56,0.477121255,6.7
prizefight,10,0.696,3.79,2.77,2.03,0.758407192,3.52,4.86,5.71,5,4.81,5.1,0.462397998,5.5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5.04,5.61,0.491361694,4.8
purebred,8,1.7,6.36,4.83,3.07,0.681241237,3.67,5.43,4.67,4,4.35,5.08,0.602059991,3.7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3.9,4.23,0.73239376,3.1
railroad,8,3.09,6.93,5.87,5.23,0.467361417,6.62,5.87,4.36,4,4.4,5.3,0.556302501,5.6,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,4,5.28,6.04,0.447158031,6.6
ransack,7,2,5.86,4.5,3.23,0.768391413,3.14,1.86,6.38,3,4.73,1,0.477121255,4.3,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,4,4,4.71,0.579783597,5.5
rattlesnake,11,2.94,6.79,6.1,6.57,0.556302501,6.29,5.93,6.33,6,3.6,4.48,0.537819095,6.1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,5,4.36,5.01,0.414973348,6.5
rawhide,7,2.2,4.07,2.03,1.83,0.721535832,4.19,4,6.25,3,4.32,5.09,0.579783597,4.3,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,4,4.66,5.15,0.431363764,3.7
rooftop,7,3,6.79,6.63,6.67,0.505149978,6.38,6.27,4.13,4,4.72,5.52,0.51851394,6.4,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,3,5.64,5.71,0.380211242,4.8
saucepan,8,3.17,6.21,6.77,6.9,0.656417654,6.19,5.57,7.13,5,4.79,5.22,0.531478917,5.7,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,3,4.6,5.66,0.505149978,6.3
scarecrow,9,3.35,6.79,6.2,6.77,0.403692338,6.43,4.47,4.13,5,4.17,5.23,0.462397998,3.8,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,3.65,4.9,0.544068044,6.3
scatterbrain,12,1.7,5.79,5.07,3.13,0.763427994,3.1,5.29,4.47,7,3.38,1,0.669316881,5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5,4.84,5.8,0.544068044,6.4
scoutmaster,11,1.9,4.86,3.37,3.27,0.704722333,3.71,5.47,5.21,5,3.76,4.52,0.591064607,5.3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,6,4.76,4.95,0.651278014,5
screenplay,10,3.06,6.29,5.33,4.03,0.768391413,4.48,5.21,5.8,6,4.61,5.27,0.568201724,6.2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,5.69,5.86,0.361727836,4.5
seafood,7,3.8,7,6.43,6.77,0.514104821,6.38,6.14,4.93,3,5.2,5.37,0.477121255,6.4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,5.45,5.79,0.322219295,6
shamrock,8,2.73,6.36,4.3,3.93,0.716003344,5.76,2.25,5.31,4,3.45,1,0.740362689,3,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,4,5.01,5.51,0.414973348,6.4
shellfish,9,3.53,6.64,6.43,6.17,0.609238576,5,5.79,5.73,5,4.39,4.73,0.491361694,6,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,4,5.19,5.48,0.397940009,6.8
shindig,7,2.36,5.43,4.97,3.23,0.801632346,2.9,1.92,5.2,4,3.3,1,0.612783857,5.2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,3,4.44,1,0.431363764,5.4
shotgun,7,3.49,6.57,6.43,6.17,0.662757832,6.1,5.53,6.67,4,5.2,5.3,0.544068044,4.9,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,3,4.6,5.19,0.531478917,6.6
shutdown,8,2.68,6.36,6.27,4.23,0.62324929,3.19,4.15,4.47,4,4.85,1,0.462397998,3.9,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,4,6.09,5.46,0.380211242,4
sickbed,7,2,5,5.37,4.33,0.704722333,5.33,5.08,5.47,4,4.76,5.64,0.414973348,2.2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,3,5.12,6.36,0.301029996,6.6
sightsee,8,1.7,6.21,5.8,4.37,0.61630043,3.86,5.8,5.13,5,4.64,5.59,0.579783597,3.2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,3,6.34,6.25,0.361727836,3
silkworm,8,2.08,6,4.97,4.53,0.669006781,4.24,4.38,7.33,4,4,4.85,0.633468456,5.9,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,3.84,4.98,0.431363764,6.6
singsong,8,2.37,4.79,6.1,3.5,0.67516709,2.95,4.77,5.2,4,4.94,5.73,0.447158031,4.9,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,5.1,6.03,0.431363764,4.3
skinhead,8,2.57,5,5.97,6,0.815134817,4.71,4.69,5.27,4,4.75,6.07,0.447158031,6.3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,5.61,6.11,0.361727836,6.8
slapstick,9,3.14,4.71,4.83,3.33,0.801632346,3.24,2.91,3.53,4,4,5.21,0.51851394,5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5,5.02,5.32,0.51851394,5.9
sleepwalk,9,2.26,6.79,6.43,6.07,0.56427143,5.14,6,5.53,5,4.94,6.1,0.361727836,5.5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,5.19,6.25,0.414973348,5.2
slingshot,9,2.52,6.71,6.23,6.43,0.56427143,6.05,5.13,4.93,5,3.34,1,0.653212514,5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,5.2,5.3,0.544068044,4.9
slowpoke,8,1.3,6,4.1,3.23,0.556302501,4.57,3.14,2.07,4,4.81,6.14,0.431363764,3.4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,3.57,1,0.51851394,4.5
snakebite,9,2.06,5.93,5.8,5.4,0.522878745,4.71,6.73,5.6,5,4.36,5.01,0.414973348,6.5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,4.45,5.93,0.447158031,5.2
snapdragon,10,1.87,3,2.33,2.3,0.73239376,3.81,2.25,5.21,4,4.12,5.13,0.51851394,4.1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,6,4.28,1,0.498310554,6.7
soapbox,7,2.42,5.21,4.53,4.03,0.698970004,4.43,4.5,5.87,4,4.1,5.94,0.414973348,6.5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,3,5.12,5.99,0.397940009,6.7
songbird,8,2.75,6.29,5.33,4.17,0.636822098,5.9,5.86,6.13,4,5.1,6.03,0.431363764,4.3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,4.85,5.92,0.361727836,6.4
soundtrack,10,3.36,6.93,6.43,5.03,0.630088715,3.76,4,4.4,5,5.16,5.97,0.505149978,3.5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5,4.9,5.14,0.602059991,5.1
sourdough,9,2.61,6.29,5.3,5.07,0.687231601,4.9,5,5.8,4,3.97,4.99,0.51851394,3.6,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5,4.05,4.74,0.602059991,5.9
soybean,7,1.54,6.71,5.07,3.87,0.693140461,5.48,5.64,6.53,3,3.64,1,0.72427587,3.9,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,4.06,5.49,0.447158031,6.6
spellbound,10,2.68,4.93,5.33,2.9,0.742986833,2.76,4.07,4.79,5,4.31,5.52,0.505149978,2.9,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5,4.34,4.76,0.662757832,3.3
spendthrift,11,2.23,3,2.43,2.07,0.819543936,2.05,4.55,6.42,5,5.13,1,0.568201724,3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,6,2.67,1,0.716003344,3
spotlight,9,3.99,6.86,6.4,6.4,0.579783597,6.38,5.33,6.33,4,5,5.6,0.491361694,5.2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5,5.28,5.75,0.447158031,5.3
spyglass,8,2.46,5.07,4.9,4.3,0.721535832,4.57,4.36,5.36,3,4.15,1,0.556302501,4.3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5,4.92,6.11,0.505149978,6.5
stagecoach,10,2.69,5.36,4.57,3.7,0.748188027,4.81,3.93,7.2,5,5.19,1,0.62324929,6.1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5,4.51,5.13,0.531478917,6
stairwell,9,2.93,6.57,6.67,6.47,0.539912085,6.19,3.4,2.13,5,3.21,5.6,0.505149978,6.1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,6.43,5.5,0.477121255,3.3
stalemate,9,3.27,6.07,4.93,2.8,0.753327667,3.33,2.92,4.43,5,3.28,4.88,0.62324929,3.3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,5.1,6.4,0.612783857,4.8
stateside,9,2.41,4.57,3.37,1.8,0.815134817,3.19,4.14,4.69,5,5.23,5.6,0.544068044,4.9,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,5.55,5.66,0.531478917,3.8
steadfast,9,2.53,5.29,3.8,2.03,0.797036595,1.81,2.71,4.29,5,3.42,1,0.763427994,3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,5.09,6,0.447158031,3
stingray,8,2.6,6.43,5.87,6.37,0.556302501,6.14,4.47,5.07,5,4.27,4.8,0.51851394,5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,3,4.56,4.8,0.591064607,4.3
stomachache,11,1.65,6.93,6.4,4.13,0.286306739,3.43,6.4,5.2,7,4.28,5.58,0.526339277,6.6,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,3.35,5.75,0.62324929,3.8
streamline,10,2.82,5.79,5.77,4.13,0.797036595,2.95,3.93,5.21,6,4.13,4.95,0.544068044,6.4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,5.45,5.91,0.505149978,5.5
striptease,10,2.35,6.29,6.13,5.6,0.823908741,5.43,5.27,4.27,5,4.13,5.05,0.653212514,4.8,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5,3.57,1,0.556302501,3.8
sunbeam,7,2.75,5.93,6.2,5.93,0.587336735,5.67,5.93,4.67,3,5.01,6.35,0.342422681,6.9,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,3.97,4.76,0.602059991,4.6
superhuman,10,2.96,6.71,5.77,4.83,0.62324929,4.24,5.93,4.87,5,4.79,5.72,0.553883027,3.3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5,5.06,5.96,0.564666064,6.4
swimsuit,8,2.72,6.86,6.8,6.87,0.355387658,6.43,5.87,5,4,4.42,5.43,0.414973348,5.6,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,4.59,5.43,0.602059991,5.5
takeover,8,3.66,6.5,5.67,3.07,0.636822098,2.43,4.87,4.47,4,6.08,5.55,0.447158031,2.8,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,6.14,5.89,0.541579244,3.4
taxicab,7,1.7,6.93,6.03,6.5,0.514104821,6.71,5.4,4.08,4,4.3,1,0.627365857,6.9,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,3,4.03,1,0.579783597,6.7
telltale,8,2.56,5,5.83,3.27,0.726998728,1.67,4.43,5.57,4,5.82,5.96,0.447158031,2.5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,4.27,4.91,0.544068044,3.6
tenfold,7,2.59,5.64,4.03,1.83,0.748188027,1.95,3.87,2.47,3,5.39,1,0.380211242,6.3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,4.04,5.55,0.531478917,5.4
threadbare,10,2.47,3.5,4,3.37,0.768391413,2.9,3.38,5.77,6,3.74,5.22,0.602059991,6,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,4,4.04,5.21,0.591064607,3.9
throwback,9,2.75,6.21,6.3,3.33,0.748188027,2.86,3.29,6.2,5,4.88,5.48,0.477121255,4.3,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,4,6.25,5.87,0.414973348,5
tightrope,9,3.17,5.93,6.13,6.23,0.67516709,5.81,4.46,6.53,5,4.73,5.86,0.531478917,4.3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,4.3,5.39,0.505149978,6.6
tiptoe,6,3.11,7,6.57,5.8,0.329058719,5.57,5.27,5.73,3,4.55,4.93,0.556302501,4.2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,3,4.08,5.78,0.361727836,6.7
toadstool,9,2.39,3.5,5.1,5.17,0.737722593,3.57,2.53,5.69,4,3.69,5.16,0.462397998,6.8,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5,3.71,5.31,0.568201724,6.1
toenail,7,2.76,6.93,6.9,6.97,0.315270435,6.81,6.64,4.93,3,4.08,5.78,0.361727836,6.7,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,4.18,5.63,0.491361694,6.6
tortoiseshell,13,3.37,5.79,5.93,5.67,0.656417654,6.29,5.93,5.13,8,3.82,4.15,0.655138435,6.4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5,4.39,4.73,0.491361694,6
trademark,9,3.44,6.64,5.8,3.57,0.681241237,3.62,3.67,6.27,5,4.83,5.37,0.579783597,3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,5.37,5.33,0.544068044,4.6
treadmill,9,3.07,6.86,6.6,6.67,0.643452676,6.57,3.2,3.8,5,3.6,5.04,0.73239376,3.4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,4.27,4.31,0.62324929,5.3
tugboat,7,1.95,5.71,4.03,3.6,0.505149978,5.71,4.67,7,3,3.51,1,0.51851394,4.3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,4.89,5.84,0.397940009,6.7
tumbleweed,10,2.56,5.29,5.73,5.97,0.726998728,5.33,4.69,6.87,6,4.5,4.9,0.592176757,4.9,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,3.78,4.95,0.568201724,6.5
turtledove,10,0.696,4.57,4.77,3.77,0.636822098,4.86,3.07,7.69,6,3.64,5.09,0.45484486,6.9,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,3.46,4.15,0.556302501,6.5
uptown,6,3.08,5.57,5.43,3.1,0.704722333,4,4.36,5.93,2,6.53,6.08,0.322219295,3.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,5.24,5.89,0.51851394,5.9
uttermost,9,1.7,5.07,5.07,2.07,0.768391413,1.19,3.36,6,5,3.71,4.8,0.709269961,4.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,5.86,5.6,0.477121255,2.3
viewpoint,9,3.16,6.07,6.2,3.63,0.73239376,2.81,4.93,3.53,4,5.16,5.23,0.612783857,3.2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5.6,5.38,0.447158031,5.2
waistcoat,9,3.23,4.71,6.37,6.67,0.742986833,4.71,4.27,7.21,5,3.71,5.4,0.591064607,6,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,4,4.41,6.1,0.431363764,6.7
wallflower,10,2.5,5.5,4.77,3.67,0.801632346,3.62,3,4.47,4,5.05,5.96,0.477121255,6.2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,6,4.5,5.66,0.459392488,6.5
wanderlust,10,2.28,4,4.1,2.37,0.832508913,2.14,4.23,4.75,6,3.87,5.39,0.691081492,4,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,4,3.38,5.02,0.748188027,3.8
wastebasket,11,1.3,6.93,5.1,5.7,0.496006599,6.05,6.27,5.2,5,4.72,5.77,0.568201724,3.8,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,6,4.16,4.85,0.557507202,6.6
watermelon,10,3.13,7,6.67,6.87,0.329058719,6.95,4.36,8.33,5,5.53,6.41,0.389166084,6.7,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,5,3.49,1,0.582063363,6.6
wedlock,7,2.67,5.21,5.3,2.7,0.792391689,2.43,2.82,4.47,3,3.16,1,0.633468456,4.5,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,4,4.42,5.88,0.531478917,5.6
weekday,7,2.8,7,6.77,3.5,0.447158031,3.52,6.36,5.27,4,5.66,5.77,0.531478917,3.8,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,3,5.99,5.95,0.397940009,4.8
werewolf,8,3.35,6.64,6.47,6.63,0.56427143,6.38,2.79,8.27,4,6.35,5.93,0.477121255,1.5,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,4,4.17,5.37,0.462397998,6.7
whatnot,7,3.1,5.93,5.53,1.63,0.726998728,1.05,2.6,3.5,4,6.78,6.08,0.361727836,1.4,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,3,6.72,5.65,0.414973348,2
whenever,8,4.43,7,6.47,2.03,0.609238576,1.43,4,3.93,4,6.34,6.09,0.462397998,1.7,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,4,5.67,6.42,0.526339277,1.8
whirlpool,9,2.91,6.29,5.43,5.47,0.61630043,5.76,5.53,5.33,5,3.14,4.23,0.602059991,4.4,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,4,4.54,5.41,0.431363764,6.7
wholesale,9,3.56,5.5,5.3,2.8,0.77815125,2.24,3.47,6.07,5,5.54,5.92,0.51851394,2.9,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4,4.89,5.72,0.612783857,3.8
widespread,10,4,6.79,6.2,3.6,0.698970004,2.24,5.4,4.67,4,4.73,5.69,0.568201724,2.2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,6,4.62,5.68,0.591064607,4
willpower,9,2.86,6.57,6.4,2.9,0.753327667,2.14,5.33,4.6,4,6.55,5.84,0.447158031,2.6,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,5,5.29,5.56,0.582063363,4.2
windowsill,10,3.02,6.79,6.8,6.8,0.486666573,6.05,4.86,3.87,6,4.84,6.21,0.485721426,6.8,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,4,3,1,0.748188027,2.9
wingspan,8,3.05,6.71,5.73,4.83,0.656417654,4.76,5.47,4.33,4,4.46,4.85,0.491361694,1.9,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,4,3.59,4.49,0.681241237,2.9
wintergreen,11,2.06,4.86,2.23,2.07,0.687231601,3.05,2.6,6.08,6,4.83,6.15,0.489958479,6.5,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,5,5.22,5.83,0.342422681,6.2
wiretap,7,1.6,4.93,3.5,2.9,0.810680475,2.86,4.21,4.73,4,4.29,3.97,0.556302501,6,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,3,4.33,5.67,0.462397998,4.2
wisecrack,9,1.7,4.86,3.5,2.23,0.758407192,2.29,3.21,3.87,4,4.53,4.53,0.591064607,2.9,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,5,4.53,1,0.531478917,4.9
witchcraft,10,3.14,6.79,6.43,5.23,0.531478917,4.38,5,3.67,5,4.06,3.37,0.477121255,6.6,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,5,4.06,4.68,0.568201724,4.5
worldwide,9,4.04,6.93,6.5,3.87,0.643452676,3.48,4.93,3.07,5,5.88,5.87,0.477121255,6.5,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,4,4.73,5.69,0.568201724,4.1
wristwatch,10,2.86,6.64,6.3,6.63,0.477121255,6.76,6.27,6.33,5,3.84,3.8,0.505149978,6.4,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,5,5.3,5.76,0.505149978,5.9
yearbook,8,2.19,6.64,6.73,6.63,0.594760753,6.57,5.38,5.93,4,5.92,5.37,0.531478917,3.9,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,4,5.21,6.43,0.447158031,6.3
