word_french,valence_M,arousal_M,valence_number,arousal_number,valence_M_Painchaud_2005,valience_M_Syssau_Font_2005,valence_M_Bonin_etal_2003,,valence_M_Messina_etal_1989,valence_M_Vikis_Freiberg_1976,valence_M_Bradley_Lang_1999,valuence_M_Vo_al_2009,valence_M_Leleu_1987,valence_M_Zammuner_1998,valence_M_Eilola_Havelka_2007,valence_M_Redondo_etal_2007,valence_M_Niedenthal_etal_2004,arousal_M_Bradley_Lang_1999,arousal_M_Vo_al_2009,arousal_M_Leleu_1987,arousal_M_Eilola_Havelka_2007,arousal_M_Redondo_etal_2007
abaisser,-0.69,,1,-,0.69,,,,,,,,,,,,,,,,,
abandon,-0.73,0.32,2,1,0.69,,,,,,,,0.77,,,,,,,0.32,,
abandonné,-0.63,0.65,1,1,,,,,,,,,,,,0.63,,,,,,0.65
abandonner,-0.63,0.38,3,2,0.74,,,,,,,0.49,0.67,,,,,,0.30,0.45,,
abat-jour,0.28,,1,-,,,,,,0.28,,,,,,,,,,,,
abattement lassitude,-0.5,0.15,1,1,,,,,,,,,0.50,,,,,,,0.15,,
abattoir,-0.67,,1,-,0.67,,,,,,,,,,,,,,,,,
abattre,-0.7,0.62,1,1,,,,,,,,,0.70,,,,,,,0.62,,
abbaye,-,0.21,1,1,,,,,,,,,,,,,,,0.21,,,
abbé,0.12,0.13,2,1,,,,,0.17,,,0.07,,,,,,,0.13,,,
abécédaire,0.13,0.24,1,1,,,,,,,,0.13,,,,,,,0.24,,,
abeille,0.09,0.35,5,1,0.24,0.02,0.04,,0.28,,,0.38,,,,,,,0.35,,,
abeilles,-0.29,0.73,1,1,,,,,,,,,,,,0.29,,,,,,0.73
abhorrer,-0.57,0.45,1,1,,,,,,,,,0.57,,,,,,,0.45,,
abîme,-0.35,0.72,2,1,,,,,,0.23,,0.47,,,,,,,0.72,,,
abject,-0.73,0.30,1,1,,,,,,,,,0.73,,,,,,,0.30,,
abnégation,-0.3,0.38,1,1,,,,,,,,,0.30,,,,,,,0.38,,
abolir,-0.28,,1,-,0.28,,,,,,,,,,,,,,,,,
abominable,-0.7,0.35,1,1,,,,,,,,,0.70,,,,,,,0.35,,
abondance,0.52,0.55,4,3,0.72,,,,,,0.40,,0.47,,,0.51,,0.56,,0.50,,0.60
abonné,0.00,,1,-,,0.00,,,,,,,,,,,,,,,,
abordable,0.61,,1,-,0.61,,,,,,,,,,,,,,,,,
abri,0.58,,2,-,0.65,,,,,0.52,,,,,,,,,,,,
abricot,0.47,,2,-,,0.33,0.60,,,,,,,,,,,,,,,
abrité,0.19,0.41,1,1,,,,,,,0.19,,,,,,,0.41,,,,
absence,-0.41,0.18,2,1,0.56,,,,,,,,0.27,,,,,,,0.18,,
absent,-0.42,,2,-,0.56,0.29,,,,,,,,,,,,,,,,
absolu,0.20,0.45,1,1,,,,,,,,,0.20,,,,,,,0.45,,
abstrait,0.11,,1,-,,0.11,,,,,,,,,,,,,,,,
absurde,-0.3,0.33,3,2,0.38,,,,,,0.19,,0.33,,,,,0.42,,0.23,,
absurdement,-0.33,0.61,1,1,,,,,,,,0.33,,,,,,,0.61,,,
abus,-0.57,0.58,3,2,0.57,,,,,,0.80,,,,0.35,,,0.73,,,0.42,
académie,0.20,0.54,1,1,,,,,,,,0.20,,,,,,,0.54,,,
accablé,-0.63,0.20,1,1,,,,,,,,,0.63,,,,,,,0.20,,
accablement,-0.57,0.30,1,1,,,,,,,,,0.57,,,,,,,0.30,,
accélération du pouls,-0.13,0.80,1,1,,,,,,,,,0.13,,,,,,,0.80,,
accent,0.11,0.55,2,1,0.23,,,,,,,,,,,,,,0.55,,,
acceptation,0.25,0.37,3,2,0.47,,,,,,,0.08,0.20,,,,,,0.33,0.42,,
accepté,0.50,0.37,1,1,,,,,,,,,0.50,,,,,,,0.37,,
accepter,0.46,0.50,2,1,0.62,,,,,,,,0.30,,,,,,,0.50,,
accès de colère,-0.5,0.92,1,1,,,,,,,,,0.50,,,,,,,0.92,,
accident,-0.7,0.72,7,5,0.86,,,,0.56,,0.74,0.78,0.90,,0.38,0.71,,0.66,0.81,0.68,0.60,0.84
acclamation,0.63,0.77,1,1,,,,,,,,,0.63,,,,,,,0.77,,
acclamer,0.64,0.70,2,2,,,,,,,0.78,,0.50,,,,,0.64,,0.77,,
accointance,0.07,0.50,1,1,,,,,,,,,0.07,,,,,,,0.50,,
accolade,0.50,0.32,2,1,0.78,,,,,,,,0.23,,,,,,,0.32,,
accommodant,0.10,0.35,1,1,,,,,,,,,0.10,,,,,,,0.35,,
accompagner,0.41,0.44,1,1,,,,,,,,0.41,,,,,,,0.44,,,
accomplissement,0.69,0.32,1,1,,,,,,,,0.69,,,,,,,0.32,,,
accord,0.63,0.53,3,2,0.76,,,,,,0.52,,0.60,,,,,0.50,,0.55,,
accordéon,0.09,,3,-,,0.08,-,0.12,0.30,,,,,,,,,,,,,
accouchement,0.51,0.90,2,1,0.50,,,,,,,,0.53,,,,,,,0.90,,
accoucher,0.30,,1,-,0.30,,,,,,,,,,,,,,,,,
accouplement,0.77,0.88,1,1,,,,,,,,,0.77,,,,,,,0.88,,
accueil,0.51,0.43,2,1,0.80,,,,,,,0.23,,,,,,,0.43,,,
accueillant,0.70,0.49,1,1,,,,,,,,,,,,0.70,,,,,,0.49
accueillir,0.38,0.44,1,1,,,,,,,,0.38,,,,,,,0.44,,,
accusation,-0.57,0.58,1,1,,,,,,,,,0.57,,,,,,,0.58,,
accuse,-0.5,0.71,1,1,,,,,,,,0.50,,,,,,,0.71,,,
accuser,-0.5,0.67,2,2,,,,,,,,0.43,0.57,,,,,,0.71,0.63,,
achat,0.19,0.50,1,1,,,,,,,,0.19,,,,,,,0.50,,,
acheter,0.27,0.54,1,1,,,,,,,,0.27,,,,,,,0.54,,,
acide,-0.32,0.62,2,1,,0.39,,,,,,,,,,0.24,,,,,,0.62
acné,-0.75,0.22,2,1,0.78,,,,,,,,0.73,,,,,,,0.22,,
acquérir,0.28,0.32,1,1,,,,,,,,0.28,,,,,,,0.32,,,
acre,-0.06,0.47,1,1,,,,,,,,,,,,0.06,,,,,,0.47
acte impulsif,-0.07,0.82,1,1,,,,,,,,,0.07,,,,,,,0.82,,
acteur,0.39,0.75,2,1,0.39,,,,,,,,0.40,,,,,,,0.75,,
actif,0.74,,1,-,0.74,,,,,,,,,,,,,,,,,
action,0.45,0.59,3,2,0.75,,,,,,,0.20,0.40,,,,,,0.29,0.88,,
activation,0.27,0.72,1,1,,,,,,,,,0.27,,,,,,,0.72,,
activement,0.53,0.57,1,1,,,,,,,,0.53,,,,,,,0.57,,,
activer,0.50,0.77,1,1,,,,,,,,,0.50,,,,,,,0.77,,
activité,0.52,0.44,2,1,0.80,,,,,,,0.25,,,,,,,0.44,,,
actrice,0.49,0.75,2,1,,,,,0.58,,,,0.40,,,,,,,0.75,,
actualité,0.13,0.65,1,1,,,,,,,,,0.13,,,,,,,0.65,,
adjoint,0.27,,1,-,0.27,,,,,,,,,,,,,,,,,
adjointe,0.32,,1,-,0.32,,,,,,,,,,,,,,,,,
administrateur,0.06,,1,-,0.06,,,,,,,,,,,,,,,,,
administration,-0.37,0.38,1,1,,,,,,,,0.37,,,,,,,0.38,,,
admirable,0.70,0.40,1,1,,,,,,,,,0.70,,,,,,,0.40,,
admiratif,0.57,0.42,1,1,,,,,,,,,0.57,,,,,,,0.42,,
admiration,0.70,0.48,2,1,0.69,,,,,,,,0.70,,,,,,,0.48,,
admirative,0.57,0.42,1,1,,,,,,,,,0.57,,,,,,,0.42,,
admiré,0.66,0.68,2,2,,,,,,,0.69,,,,,0.63,,0.64,,,,0.73
admirer,0.67,0.58,1,1,,,,,,,,,0.67,,,,,,,0.58,,
adolescence,0.34,0.77,2,1,0.47,,,,,,,,0.20,,,,,,,0.77,,
adolescent,0.36,0.78,3,1,0.27,,,,0.53,,,,0.27,,,,,,,0.78,,
adorable,0.68,0.55,2,2,,,,,,,0.70,,,,,0.66,,0.52,,,,0.58
adoration,0.41,0.55,3,1,,,,,,,,,0.37,0.30,,,0.56,,,0.55,,
adoré,0.63,0.42,1,1,,,,,,,,,0.63,,,,,,,0.42,,
adorer,0.62,,1,-,0.62,,,,,,,,,,,,,,,,,
adrénaline,-0.07,0.62,1,1,,,,,,,,,0.07,,,,,,,0.62,,
adresse,0.49,,1,-,0.49,,,,,,,,,,,,,,,,,
adroit,0.50,0.58,1,1,,,,,,,,,0.50,,,,,,,0.58,,
adulte,0.34,0.54,5,3,0.50,,,,,0.19,0.37,,0.40,,,0.26,,0.47,,0.62,,0.54
adultère,-0.61,0.70,2,1,0.69,,,,,,,,0.53,,,,,,,0.70,,
adversaire,-0.38,0.67,2,2,,,,,,,,0.47,0.30,,,,,,0.65,0.68,,
aéroport,0.28,0.62,1,1,,,,,,,,0.28,,,,,,,0.62,,,
affabilité,0.07,0.37,1,1,,,,,,,,,0.07,,,,,,,0.37,,
affaiblis,-0.28,0.48,1,1,,,,,,,,0.28,,,,,,,0.48,,,
affaires,0.21,,1,-,,,,,0.21,,,,,,,,,,,,,
affamé,-0.64,,1,-,,,,,,0.64,,,,,,,,,,,,
affect,-0.2,0.35,1,1,,,,,,,,,0.20,,,,,,,0.35,,
affecter,-0.23,0.45,1,1,,,,,,,,,0.23,,,,,,,0.45,,
affectif,0.43,0.53,1,1,,,,,,,,,0.43,,,,,,,0.53,,
affection,0.77,0.63,5,1,0.81,,,,0.76,,,,0.73,0.80,,,0.78,,,0.63,,
affectueux,0.69,0.65,2,1,0.65,,,,,,,,0.73,,,,,,,0.65,,
affermi,0.60,0.50,1,1,,,,,,,,0.60,,,,,,,0.50,,,
affermir,0.48,0.30,1,1,,,,,,,,0.48,,,,,,,0.30,,,
affiche,0.12,0.33,3,2,,,,,0.16,,0.09,,0.10,,,,,0.37,,0.30,,
affinité,0.47,0.42,1,1,,,,,,,,,0.47,,,,,,,0.42,,
affirment,-0.11,0.35,1,1,,,,,,,,0.11,,,,,,,0.35,,,
affirmer,0.13,0.57,1,1,,,,,,,,,0.13,,,,,,,0.57,,
affliction,-0.51,0.40,3,1,,,,,,,,,0.53,0.64,,,0.36,,,0.40,,
affligé,-0.65,0.40,2,2,,,,,,,,,0.73,,,0.57,,,,0.32,,0.49
affligeant,-0.63,0.38,1,1,,,,,,,,,0.63,,,,,,,0.38,,
affolé,-0.63,0.67,1,1,,,,,,,,,0.63,,,,,,,0.67,,
affolement,-0.6,0.72,1,1,,,,,,,,,0.60,,,,,,,0.72,,
affres,-0.63,0.40,1,1,,,,,,,,,0.63,,,,,,,0.40,,
affreux,-0.7,0.37,1,1,,,,,,,,,0.70,,,,,,,0.37,,
affront,-0.8,0.62,1,1,,,,,,,,,0.80,,,,,,,0.62,,
agaçant,-0.63,0.60,1,1,,,,,,,,,0.63,,,,,,,0.60,,
agacé,-0.63,0.48,1,1,,,,,,,,,0.63,,,,,,,0.48,,
agacer,-0.47,0.63,1,1,,,,,,,,,0.47,,,,,,,0.63,,
âge,0.09,0.45,2,1,0.17,,,,,,,,,,,,,,,0.45,,
âgé,-0.23,0.35,2,1,0.12,,,,,,,,0.33,,,,,,,0.35,,
agenda,0.25,,1,-,,,0.25,,,,,,,,,,,,,,,
agent,0.15,0.49,1,1,,,,,,,,0.15,,,,,,,0.49,,,
agent de police,-0.2,0.57,1,1,,,,,,,,,0.20,,,,,,,0.57,,
agilité,0.54,0.66,2,1,,,,,0.59,,,,,,,0.50,,,,,,0.66
agir,0.43,0.83,1,1,,,,,,,,,0.43,,,,,,,0.83,,
agitation,-0.15,0.77,3,1,,,,,,,,,0.07,0.46,,,0.07,,,0.77,,
agité,-0.38,0.70,2,1,,,,,,,,,0.20,0.56,,,,,,0.70,,
agneau,0.37,0.41,5,2,0.41,,0.55,,,0.49,0.22,,,,,0.20,,0.30,,,,0.53
agonie,-0.69,,1,-,0.69,,,,,,,,,,,,,,,,,
agrafeuse,0.10,,1,-,,,0.10,,,,,,,,,,,,,,,
agréable,0.64,0.44,3,2,,0.75,,,,,0.39,,0.77,,,,,0.42,,0.47,,
agressif,-0.37,0.73,3,3,,,,,,,0.02,,0.57,,,0.57,,0.60,,0.82,,0.77
agression,-0.63,0.76,1,1,,,,,,,,,,,,0.63,,,,,,0.76
agressivité,-0.59,0.80,2,1,0.51,,,,,,,,0.67,,,,,,,0.80,,
agriculteur,0.29,,1,-,,,,,0.29,,,,,,,,,,,,,
agriculture,0.33,,1,-,0.33,,,,,,,,,,,,,,,,,
ahuri,-0.33,0.25,1,1,,,,,,,,,0.33,,,,,,,0.25,,
aide,0.60,0.56,3,2,0.77,,,,,,,0.43,0.60,,,,,,0.50,0.62,,
aider,0.66,0.62,3,2,0.71,,,,,,,0.67,0.60,,,,,,0.52,0.72,,
aigle,0.17,,4,-,0.18,0.20,0.28,,,0.01,,,,,,,,,,,,
aigre,-0.51,0.51,2,1,,,,,,0.75,0.27,,,,,,,0.51,,,,
aigreur,-0.53,0.25,1,1,,,,,,,,,0.53,,,,,,,0.25,,
aigu,-0.37,0.33,1,1,,,,,,,,,0.37,,,,,,,0.33,,
aiguille,-0.23,0.55,8,3,0.46,0.17,-,0.25,0.08,0.31,0.30,0.18,,,,0.29,,0.55,0.46,,,0.63
ail,-0.04,,3,-,0.13,0.06,-,0.06,,,,,,,,,,,,,,
aile,0.39,,4,-,0.26,,0.49,,0.43,0.39,,,,,,,,,,,,
ailleurs,0.17,0.22,1,1,,,,,,,,,0.17,,,,,,,0.22,,
aimable,0.68,0.49,2,2,,,,,,,,,0.63,,,0.74,,,,0.43,,0.55
aimant,0.30,,1,-,,,0.30,,,,,,,,,,,,,,,
aimé,0.90,0.57,1,1,,,,,,,,,0.90,,,,,,,0.57,,
aimer,0.94,0.82,4,1,0.87,,,,,1.04,,,0.93,,,,0.91,,,0.82,,
aimer tendrement,0.97,0.80,1,1,,,,,,,,,0.97,,,,,,,0.80,,
air,0.66,0.39,5,3,0.85,,,,,0.84,0.34,0.73,,,,0.52,,0.39,0.31,,,0.47
air atmosphérique,0.23,0.32,1,1,,,,,,,,,0.23,,,,,,,0.32,,
air goguenard,-0.3,0.25,1,1,,,,,,,,,0.30,,,,,,,0.25,,
aisance,0.46,,1,-,,0.46,,,,,,,,,,,,,,,,
aise,0.40,0.27,1,1,,,,,,,,,0.40,,,,,,,0.27,,
ajouter,0.10,0.42,1,1,,,,,,,,,0.10,,,,,,,0.42,,
alarmant,-0.5,0.53,1,1,,,,,,,,,0.50,,,,,,,0.53,,
alarme,-0.5,0.65,1,1,,,,,,,,,0.50,,,,,,,0.65,,
alarmé,-0.63,0.55,1,1,,,,,,,,,0.63,,,,,,,0.55,,
alarmer,-0.43,0.77,1,1,,,,,,,,,0.43,,,,,,,0.77,,
album,0.37,0.37,3,1,0.54,0.31,,,,,,0.27,,,,,,,0.37,,,
alchimie,-0.23,0.38,1,1,,,,,,,,,0.23,,,,,,,0.38,,
alcool,-0.07,0.55,6,2,0.31,0.38,,,0.09,0.17,,0.03,0.03,,,,,,0.63,0.47,,
alcoolique,-0.55,0.61,2,2,,,,,,,0.54,,,,,0.55,,0.59,,,,0.63
alcootest,0.24,,1,-,0.24,,,,,,,,,,,,,,,,,
alerte,-0.2,0.78,3,3,,,,,,,0.30,0.47,0.43,,,,,0.73,0.86,0.73,,
algarade,-0.37,0.50,1,1,,,,,,,,,0.37,,,,,,,0.50,,
algèbre,-0.06,,2,-,,0.20,,,0.09,,,,,,,,,,,,,
algue,-0.03,0.17,1,1,,,,,,,,,0.03,,,,,,,0.17,,
aliéné,-0.63,0.47,1,1,,,,,,,,,0.63,,,,,,,0.47,,
aliment,0.37,0.30,1,1,,,,,,,,,0.37,,,,,,,0.30,,
alléchant,0.53,0.43,1,1,,,,,,,,,0.53,,,,,,,0.43,,
allégorie,0.08,0.25,2,1,,0.16,,,,,,,,,,,,,,0.25,,
allègre,0.45,,1,-,0.45,,,,,,,,,,,,,,,,,
allégresse,0.59,0.47,3,1,,,,,,,,,0.47,0.82,,,0.49,,,0.47,,
aller,0.14,0.33,1,1,,,,,,,,0.14,,,,,,,0.33,,,
allergie,-0.3,0.55,2,2,,,,,,,0.48,,,,,0.11,,0.46,,,,0.65
alliance,0.52,,1,-,,,,,0.52,,,,,,,,,,,,,
alligator,-0.25,,2,-,,0.20,,,0.31,,,,,,,,,,,,,
allophone,-0.2,,1,-,0.20,,,,,,,,,,,,,,,,,
allumer,0.20,0.57,1,1,,,,,,,,,0.20,,,,,,,0.57,,
allumette,0.13,,3,-,,0.02,0.17,,0.21,,,,,,,,,,,,,
allure,0.31,,1,-,0.31,,,,,,,,,,,,,,,,,
alouette,0.56,0.16,2,1,,,,,0.72,,,0.40,,,,,,,0.16,,,
alternative,0.36,,1,-,0.36,,,,,,,,,,,,,,,,,
altitude,0.47,0.45,1,1,,,,,,,,,0.47,,,,,,,0.45,,
altruisme,0.22,0.50,2,1,0.20,,,,,,,,0.23,,,,,,,0.50,,
amabilité,0.73,0.51,2,2,,,,,,,,,0.63,,,0.83,,,,0.43,,0.58
amadouer,0.10,0.43,1,1,,,,,,,,,0.10,,,,,,,0.43,,
amant,0.23,0.70,2,1,0.20,,,,,,,,0.27,,,,,,,0.70,,
amasser,0.13,0.55,1,1,,,,,,,,,0.13,,,,,,,0.55,,
ambassade,0.25,0.57,1,1,,,,,,,,0.25,,,,,,,0.57,,,
ambassadeur,0.18,,1,-,,,,,0.18,,,,,,,,,,,,,
ambiance,0.63,0.72,1,1,,,,,,,,,0.63,,,,,,,0.72,,
ambigu,-0.27,0.27,1,1,,,,,,,,,0.27,,,,,,,0.27,,
ambition,0.47,0.67,6,4,0.70,0.56,,,,,0.51,0.50,0.43,,,0.11,,0.58,0.64,0.73,,0.71
ambivalence,-0.1,0.33,1,1,,,,,,,,,0.10,,,,,,,0.33,,
ambulance,-0.41,0.81,5,2,0.37,,-,0.30,0.29,,0.63,,,,,0.48,,0.79,,,,0.83
âme,0.49,0.39,4,2,0.70,0.49,,,,,,0.60,0.17,,,,,,0.34,0.43,,
améliorer,0.31,0.47,1,1,,,,,,,,0.31,,,,,,,0.47,,,
amène,-,0.32,1,1,,,,,,,,,,,,,,,,0.32,,
aménorrhée,-0.37,0.27,1,1,,,,,,,,,0.37,,,,,,,0.27,,
amer,-0.55,0.31,7,2,0.67,0.40,,,,0.76,,0.43,0.47,0.62,,,0.53,,0.38,0.23,,
amérindien,-0.23,,1,-,0.23,,,,,,,,,,,,,,,,,
amérique,0.13,0.51,1,1,,,,,,,,0.13,,,,,,,0.51,,,
amertume,-0.57,0.27,1,1,,,,,,,,,0.57,,,,,,,0.27,,
ami,0.81,0.57,7,4,0.83,0.75,,,0.88,,0.69,0.85,0.77,,,0.87,,0.59,0.26,0.67,,0.75
amical,0.77,,1,-,0.77,,,,,,,,,,,,,,,,,
amie,0.87,,1,-,0.87,,,,,,,,,,,,,,,,,
amis,0.88,,1,-,0.88,,,,,,,,,,,,,,,,,
amitié,0.85,0.77,3,1,0.87,0.84,,,,,,,0.83,,,,,,,0.77,,
amocher,-0.63,,1,-,0.63,,,,,,,,,,,,,,,,,
amorce,-0.13,0.42,1,1,,,,,,,,,0.13,,,,,,,0.42,,
amorphe,-0.74,,1,-,0.74,,,,,,,,,,,,,,,,,
amour,0.94,0.77,8,2,0.90,0.89,,,0.90,1.09,0.93,,0.93,0.91,,,0.95,0.68,,0.85,,
amour filial,0.67,0.72,1,1,,,,,,,,,0.67,,,,,,,0.72,,
amour maternel,0.70,0.82,1,1,,,,,,,,,0.70,,,,,,,0.82,,
amour paternel,0.67,0.80,1,1,,,,,,,,,0.67,,,,,,,0.80,,
amour propre,0.43,0.73,1,1,,,,,,,,,0.43,,,,,,,0.73,,
amouracher,-0.14,,1,-,0.14,,,,,,,,,,,,,,,,,
amourette,0.37,0.62,1,1,,,,,,,,,0.37,,,,,,,0.62,,
amoureux,0.83,0.82,3,2,0.77,,,,,,,,0.87,,,0.85,,,,0.82,,0.81
amour-propre,0.27,0.73,2,1,0.10,,,,,,,,0.43,,,,,,,0.73,,
ample,0.33,,1,-,0.33,,,,,,,,,,,,,,,,,
ampli,0.18,,1,-,,,0.18,,,,,,,,,,,,,,,
amplificateur,-0.05,,1,-,,,,,0.05,,,,,,,,,,,,,
ampoule,0.09,0.52,5,2,,0.03,0.22,,0.26,,,0.24,,,,0.18,,,0.54,,,0.51
amulette,0.30,0.34,1,1,,,,,,,,0.30,,,,,,,0.34,,,
amusant,0.73,0.60,1,1,,,,,,,,,0.73,,,,,,,0.60,,
amusé,0.70,,2,-,,,,,,,,,,0.73,,,0.68,,,,,
amusement,0.73,0.67,2,1,,,,,0.76,,,,0.70,,,,,,,0.67,,
analyser,0.03,0.50,1,1,,,,,,,,,0.03,,,,,,,0.50,,
ananas,0.53,,3,-,,0.36,0.48,,0.75,,,,,,,,,,,,,
anarchie,-0.38,,1,-,,0.38,,,,,,,,,,,,,,,,
anatomie,0.00,,2,-,,,0.01,,,,,,,,,,,,,,,
ancêtre,0.59,,1,-,0.59,,,,,,,,,,,,,,,,,
ancien,0.19,,2,-,0.28,0.11,,,,,,,,,,,,,,,,
ancre,0.17,0.18,4,2,,0.04,0.38,,,,,0.33,0.07,,,,,,0.22,0.13,,
âne,0.23,0.43,3,1,,0.03,0.30,,,,,0.35,,,,,,,0.43,,,
anecdote,0.27,0.40,1,1,,,,,,,,0.27,,,,,,,0.40,,,
anesthésie,-0.57,0.12,1,1,,,,,,,,,0.57,,,,,,,0.12,,
ange,0.65,0.44,4,3,,,0.73,,,,0.63,0.72,,,,0.53,,0.48,0.31,,,0.54
angle,-0.05,0.07,2,1,,,,,0.07,,,,0.17,,,,,,,0.07,,
anglicisme,-0.22,,1,-,0.22,,,,,,,,,,,,,,,,,
angoissant,-0.7,0.53,1,1,,,,,,,,,0.70,,,,,,,0.53,,
angoisse,-0.73,0.60,5,1,0.78,,,,0.56,,,,0.73,0.85,,,0.72,,,0.60,,
angoissé,-0.71,0.59,2,2,,,,,,,,,0.80,,,0.63,,,,0.53,,0.65
anguille,-0.25,,1,-,,,-,0.25,,,,,,,,,,,,,,
animal,0.45,0.48,4,2,0.46,,,,0.59,,,0.37,0.37,,,,,,0.40,0.57,,
animal de compagnie,0.45,0.51,1,1,,,,,,,0.45,,,,,,,0.51,,,,
animal domestique,0.40,0.31,1,1,,,,,,,,0.40,,,,,,,0.31,,,
animé,0.30,0.63,1,1,,,,,,,,,0.30,,,,,,,0.63,,
animosité,-0.42,0.52,2,1,0.55,,,,,,,,0.30,,,,,,,0.52,,
anneaux,0.39,,1,-,,,0.39,,,,,,,,,,,,,,,
année,0.08,,1,-,,0.08,,,,,,,,,,,,,,,,
anniversaire,0.67,0.63,5,3,0.67,,,,0.71,,0.71,0.64,0.63,,,,,0.71,0.54,0.63,,
anoblir,0.13,0.35,1,1,,,,,,,,0.13,,,,,,,0.35,,,
anomalie,-0.5,0.67,1,1,,,,,,,,0.50,,,,,,,0.67,,,
anonymement,-0.13,0.42,1,1,,,,,,,,0.13,,,,,,,0.42,,,
anormal,-0.37,,1,-,0.37,,,,,,,,,,,,,,,,,
anse,0.10,,1,-,,,0.10,,,,,,,,,,,,,,,
antenne,0.19,,2,-,,,0.14,,0.24,,,,,,,,,,,,,
antidote,0.06,,1,-,0.06,,,,,,,,,,,,,,,,,
antipathie,-0.7,0.53,1,1,,,,,,,,,0.70,,,,,,,0.53,,
antiquaire,0.33,0.25,2,1,,,,,0.55,,,,0.10,,,,,,,0.25,,
antiquité,0.17,,1,-,0.17,,,,,,,,,,,,,,,,,
anus,-0.4,0.33,1,1,,,,,,,,,0.40,,,,,,,0.33,,
anxiété,-0.66,0.60,5,1,0.67,0.67,,,,,,,0.63,0.71,,,0.64,,,0.60,,
anxieux,-0.67,0.53,1,1,,,,,,,,,0.67,,,,,,,0.53,,
août,0.50,0.30,1,1,,,,,,,,0.50,,,,,,,0.30,,,
apaisement,0.33,0.20,1,1,,,,,,,,,0.33,,,,,,,0.20,,
apathie,-0.5,0.58,3,1,,,,,,,,0.53,,0.65,,,0.32,,0.58,,,
apathique,-0.47,0.12,1,1,,,,,,,,,0.47,,,,,,,0.12,,
apercevoir,0.20,0.35,1,1,,,,,,,,,0.20,,,,,,,0.35,,
apéritif,0.44,,1,-,0.44,,,,,,,,,,,,,,,,,
apeuré,-0.46,0.45,2,1,,,,,,0.52,,,0.40,,,,,,,0.45,,
apiculteur,0.33,0.29,1,1,,,,,,,,0.33,,,,,,,0.29,,,
apitoiement,-0.5,0.37,1,1,,,,,,,,,0.50,,,,,,,0.37,,
aplati,-0.49,0.62,1,1,,,,,,,,,,,,0.49,,,,,,0.62
aplomb,0.27,0.52,1,1,,,,,,,,,0.27,,,,,,,0.52,,
apocalypse,-0.38,,1,-,0.38,,,,,,,,,,,,,,,,,
apogée,0.58,0.77,1,1,,,,,,,,0.58,,,,,,,0.77,,,
apostropher,-0.07,0.48,1,1,,,,,,,,,0.07,,,,,,,0.48,,
apparaître,0.17,0.45,1,1,,,,,,,,,0.17,,,,,,,0.45,,
appareil photo,0.71,,1,-,,,0.71,,,,,,,,,,,,,,,
apparence,0.22,,1,-,0.22,,,,,,,,,,,,,,,,,
apparent,0.07,0.28,1,1,,,,,,,,,0.07,,,,,,,0.28,,
apparenté,0.13,0.24,1,1,,,,,,,,0.13,,,,,0.51,,0.24,,,
apparition,0.17,0.45,1,1,,,,,,,,,0.17,,,,,,,0.45,,
appartement,0.35,0.23,3,2,,,,,0.46,,,0.37,0.23,,,,,,0.25,0.20,,
appartenir,0.07,0.33,1,1,,,,,,,,,0.07,,,,,,,0.33,,
appartiennir,0.02,0.30,1,1,,,,,,,,0.02,,,,,,,0.30,,,
appel,0.23,0.50,1,1,,,,,,,,,0.23,,,,,,,0.50,,
appeler,0.40,0.46,1,1,,,,,,,,0.40,,,,,,,0.46,,,
appeler (s'),0.20,0.30,1,1,,,,,,,,,0.20,,,,,,,0.30,,
appelle,0.45,0.46,1,1,,,,,,,,0.45,,,,,,,0.46,,,
appétissant,0.85,,1,-,0.85,,,,,,,,,,,,,,,,,
appétit,0.42,0.48,2,2,,,,,,,,0.37,0.47,,,,,,0.43,0.53,,
applaudir,0.54,0.72,2,1,0.54,,,,,,,,0.53,,,,,,,0.72,,
applaudissement,0.67,0.70,1,1,,,,,,,,,0.67,,,,,,,0.70,,
applaudissements,0.70,0.82,1,1,,,,,,,,,,,,0.70,,,,,,0.82
appliquer à (s'),0.27,0.55,1,1,,,,,,,,,0.27,,,,,,,0.55,,
apporter,0.20,0.52,1,1,,,,,,,,,0.20,,,,,,,0.52,,
apprécier,0.50,0.47,1,1,,,,,,,,,0.50,,,,,,,0.47,,
appréhender,-0.27,0.52,1,1,,,,,,,,,0.27,,,,,,,0.52,,
appréhension,-0.33,0.45,1,1,,,,,,,,,0.33,,,,,,,0.45,,
apprendre,0.43,0.52,2,2,,,,,,,,0.27,,,,0.59,,,0.38,,,0.67
apprenti,-0.03,0.45,1,1,,,,,,,,0.03,,,,,,,0.45,,,
approbation,0.58,0.66,1,1,,,,,,,,,,,,0.58,,,,,,0.66
approcher,0.13,0.45,1,1,,,,,,,,,0.13,,,,,,,0.45,,
approuver,-0.13,0.31,1,1,,,,,,,,0.13,,,,,,,0.31,,,
approvisionnement,0.31,0.39,1,1,,,,,,,,0.31,,,,,,,0.39,,,
appuyer,-0.06,0.43,1,1,,,,,,,,0.06,,,,,,,0.43,,,
après-midi,0.49,,1,-,0.49,,,,,,,,,,,,,,,,,
apte,0.49,,1,-,0.49,,,,,,,,,,,,,,,,,
aptitude,0.34,,1,-,,0.34,,,,,,,,,,,,,,,,
aquarium,0.23,0.09,3,1,,0.18,,,0.30,,,0.20,,,,,,,0.09,,,
