word_french,valence_M,arousal_M,valence_number,arousal_number,valence_M_Painchaud_2005,valience_M_Syssau_Font_2005,valence_M_Bonin_etal_2003,,valence_M_Messina_etal_1989,valence_M_Vikis_Freiberg_1976,valence_M_Bradley_Lang_1999,valuence_M_Vo_al_2009,valence_M_Leleu_1987,valence_M_Zammuner_1998,valence_M_Eilola_Havelka_2007,valence_M_Redondo_etal_2007,valence_M_Niedenthal_etal_2004,arousal_M_Bradley_Lang_1999,arousal_M_Vo_al_2009,arousal_M_Leleu_1987,arousal_M_Eilola_Havelka_2007,arousal_M_Redondo_etal_2007
morose,-0.57,,1,-,,,,,,,,,0.57,,,,,,,,,
morosité,-0.66,0.25,1,1,,,,,,,,,,,,,0.66,,0.25,,,
morphème,-0.33,,1,-,,,,,,,,0.33,,,,,,,,,,
morse,0.07,0.42,1,3,,,0.07,,,,,,,,,,,0.45,,0.15,,0.67
mort,-0.73,0.69,7,1,0.66,0.83,,,0.41,0.76,0.85,,0.87,,,0.74,,,0.69,,,
mort volontaire,-0.67,,1,-,,,,,,,,0.67,,,,,,,,,,
mortel,-0.73,,1,-,0.73,,,,,,,,,,,,,,,,,
mortifié,-0.72,,2,-,,,,,,,,,,,,,0.74,,,,,
mosquée,-0.21,0.25,1,2,0.21,,,,,,,,,,,,,Activation,0.25,,,
mot,0.46,,3,-,0.67,,,,,,,0.25,,,,,,,,,,
motard,0.10,0.58,1,3,,,0.10,,,,,,,,,,,,0.45,0.75,,0.55
moteur,0.10,0.39,4,1,,,,,0.07,,,0.15,0.10,,,0.07,,,0.39,,,
motif,0.08,0.80,1,1,,,,,,,,0.08,,,,,,,,0.80,,
motivation,0.73,0.87,1,1,,,,,,,,,0.73,,,,,,,0.87,,
moto,0.04,0.47,4,1,,0.13,0.10,,0.36,,,,0.27,,,,,,0.47,,,
motocyclette,0.23,0.10,2,1,,,,,,,,0.47,,,,,,,,0.10,,
mou,-0.39,,3,-,0.75,,,,,0.05,,,0.47,,,,,,,,,
mouche,-0.37,0.46,3,1,0.71,0.09,-,0.31,,,,,,,,,,,,,,0.46
mouchoir,0.11,0.27,2,1,,,,,0.26,,,,,,,0.04,,,,0.27,,
moue,-0.53,0.51,1,2,,,,,,,,,0.53,,,,,,0.48,0.55,,
mouette,0.33,,3,-,,,,,0.57,,,0.02,0.43,,,,,,,,,
moufle,0.21,,2,-,,0.06,0.36,,,,,,,,,,,,,,,
moule,0.14,0.47,2,1,,0.08,0.20,,,,,,,,,,,,,,,0.47
moulin,0.35,0.50,4,2,,0.16,0.49,,0.56,,,,,,,0.19,,,0.76,0.23,,
mourir,-0.73,,3,-,0.79,,,,,,,0.61,0.80,,,,,,,,,
moustache,-0.25,0.45,2,3,,,-,0.22,0.29,,,,,,,,,0.47,,,,0.65
moustique,-0.5,,6,-,0.73,,-,0.50,0.55,,0.55,,,,,0.43,,,,,,
moutarde,0.05,0.18,1,1,0.05,,,,,,,,,,,,,,0.18,,,
mouton,0.26,0.73,5,2,,0.16,0.28,,0.09,0.40,,0.38,,,,,,,0.57,0.88,,
mouvement,0.49,0.44,2,2,,,,,,,,0.54,0.43,,,,,,0.39,0.48,,
moyen,0.08,,3,-,,0.00,,,,,,0.03,0.20,,,,,,,,,
moyen-âge,0.24,0.33,1,1,0.24,,,,,,,,,,,,,,,0.33,,
moyenne,-0.1,0.52,1,1,,,,,,,,,0.10,,,,,,,,,0.52
mucosité,-0.43,,1,-,,,,,,,,,,,,0.43,,,,,,
mucus,-0.24,0.47,1,1,,,,,0.24,,,,,,,,,0.47,,,,
muffin,0.39,,1,-,,,,,,,0.39,,,,,,0.40,,,,,
mulet,0.09,,1,-,,,,,0.09,,,,,,,,,,,,,
multiplication,0.26,,1,-,,,,,0.26,,,,,,,,,,,,,
munitions,-0.54,0.20,1,1,0.54,,,,,,,,,,,,,,,0.20,,
mur,-0.16,,5,-,0.46,0.07,0.07,,0.06,,,,0.27,,,,,,,,,
mûre,0.66,,2,-,,,0.63,,0.68,,,,,,,,,,,,,
murmure,0.15,0.33,1,1,0.15,,,,,,,,,,,,,,,0.33,,
murmurer,-,,1,-,,,,,,,,,,,,,,,,,,
muscade,0.31,0.47,1,1,,,,,0.31,,,,,,,,,,0.47,,,
muscle,0.38,,3,-,0.55,0.25,,,,,,0.35,,,,,,,,,,
musclé,0.17,0.85,1,1,0.17,,,,,,,,,,,,,,,0.85,,
muscles,0.33,0.56,1,1,,,,,,,,,0.33,,,,,0.56,,,,
musculaire,0.46,0.54,1,1,,,,,,,0.46,,,,,,,,,,,0.54
musculeux,0.12,0.41,1,2,,,,,,,,,,,,0.12,,0.33,,,,0.50
musée,0.26,0.63,2,1,,,,,,,0.14,,,,,0.39,,,0.63,,,
muselière,-0.5,,1,-,,,,,,,,0.50,,,,,,,,,,
musical,0.79,,1,-,0.79,,,,,,,,,,,,,,,,,
musicale,0.70,0.31,1,1,0.70,,,,,,,,,,,,,,0.31,,,
musicien,0.58,0.57,2,5,,,,,0.72,,,0.43,,,,,,0.54,0.21,0.77,0.62,0.74
musique,0.77,0.40,9,1,0.80,0.72,,,0.86,1.06,0.78,0.80,0.80,,0.32,0.81,,,,0.40,,
musulman,0.03,0.48,1,1,,,,,,,,,0.03,,,,,0.48,,,,
mutation,-0.19,0.42,2,1,,0.10,,,,,0.27,,,,,,,,,0.42,,
mutilation,-0.8,0.73,1,2,,,,,,,,,0.80,,,,,0.68,,,,0.78
mutiler,-0.75,0.66,2,1,,,,,,,0.80,,,,,0.70,,,0.66,,,
mutinerie,-0.53,,1,-,,,,,,,,0.53,,,,,,,,,,
mystère,0.39,0.47,1,1,0.39,,,,,,,,,,,,,,,0.47,,
mystérieux,0.44,0.37,2,1,0.52,,,,,,,,0.37,,,,,,,0.37,,
mysticisme,-0.03,0.48,1,1,,,,,,,,,0.03,,,,,0.48,,,,
mystique,0.25,0.32,1,1,,,,,,,0.25,,,,,,,,,0.32,,
mythe,0.13,0.32,1,1,,,,,,,,,0.13,,,,,,,0.32,,
mythologie,0.20,0.24,1,1,,,,,,,,,0.20,,,,,,0.24,,,
nageait,0.05,0.83,1,1,,,,,,,,0.05,,,,,,,,0.83,,
nager,0.51,0.54,2,2,0.49,,,,,,,,0.53,,,,,0.48,,,,0.60
nageur,0.35,0.23,2,1,,,,,,,0.39,,,,,0.32,,,,0.23,,
naïf,-0.14,,2,-,0.22,,,,,,,,0.07,,,,,,,,,
nain,-0.22,0.86,2,2,,,,,0.20,0.24,,,,,,,,,0.79,0.92,,
naissance,0.71,,3,-,0.68,,,,,,,0.63,0.83,,,,,,,,,
naître,0.97,0.33,1,1,0.97,,,,,,,,,,,,,,0.33,,,
naïvement,-0.27,,1,-,,,,,,,,0.27,,,,,,,,,,
naïveté,-0.25,,1,-,0.25,,,,,,,,,,,,,,,,,
nappe,0.30,0.40,1,1,,,0.30,,,,,,,,,,,,,0.40,,
narcissisme,-0.37,0.64,1,1,,,,,,,,,0.37,,,,,,0.64,,,
narcose,-0.4,0.43,1,3,,,,,,,,0.40,,,,,,0.49,,0.17,,0.63
narcotique,-0.39,0.47,3,1,,,,,,,0.18,,0.63,,,0.35,,,,0.47,,
narguer,-0.54,,2,-,0.57,,,,,,,,0.50,,,,,,,,,
narine,-0.07,,1,-,0.07,,,,,,,,,,,,,,,,,
natation,0.49,0.57,1,1,0.49,,,,,,,,,,,,,,,0.57,,
nation,0.17,0.57,1,1,,,,,,,,,0.17,,,,,,,0.57,,
nationalisme,-0.13,0.30,1,1,,,,,,,,,0.13,,,,,,0.30,,,
natte,0.26,,2,-,,,0.26,,,,,0.26,,,,,,,,,,
naturaliser,0.24,,1,-,0.24,,,,,,,,,,,,,,,,,
naturalisme,0.44,,1,-,0.44,,,,,,,,,,,,,,,,,
naturaliste,0.22,0.48,1,5,0.22,,,,,,,,,,,,,0.42,0.22,0.75,0.43,0.60
nature,0.68,,8,-,0.73,0.57,,,0.92,,0.66,0.78,0.77,,0.22,0.79,,,,,,
nature morte,0.02,0.48,1,2,0.02,,,,,,,,,,,,,0.39,,0.57,,
naturel,0.64,,3,-,0.80,,,,,,0.40,,0.73,,,,,,,,,
naturellement,0.47,,1,-,0.47,,,,,,,,,,,,,,,,,
naturiste,0.18,,1,-,0.18,,,,,,,,,,,,,,,,,
naufragé,-0.18,0.55,1,1,0.18,,,,,,,,,,,,,,0.55,,,
nausée,-0.78,,2,-,0.90,,,,,,,0.67,,,,,,,,,,
navet,-0.3,,1,-,0.30,,,,,,,,,,,,,,,,,
navette,0.04,0.68,1,1,,,0.04,,,,,,,,,,,,,,,0.68
navidad,0.49,0.75,1,1,,,,,,,,,,,,0.49,,,,0.75,,
naviguer,0.40,0.63,1,1,,,,,,,,,0.40,,,,,,,0.63,,
navire,0.47,0.28,2,1,,,,,0.53,,,,0.40,,,,,,,0.28,,
navrant,-0.6,0.28,1,1,,,,,,,,,0.60,,,,,,,0.28,,
navré,-0.48,0.92,2,1,,,,,,,,,0.57,,,,,,0.92,,,
nazi,-0.97,0.08,1,1,,,,,,,,0.97,,,,,,,,0.08,,
néant,-0.7,,1,-,,,,,,,,,0.70,,,,,,,,,
nébuleusement,-0.48,,1,-,0.48,,,,,,,,,,,,,,,,,
nébuleux,-0.38,0.47,1,1,0.38,,,,,,,,,,,,,,,0.47,,
nécessaire,0.17,,1,-,,,,,,,,,0.17,,,,,,,,,
nécessité,0.16,0.44,1,2,0.16,,,,,,,,,,,,,0.36,,,,0.51
nectar,0.47,0.23,3,1,,,,,0.58,,0.48,,,,,0.36,,,,0.23,,
négatif,-0.6,0.64,1,1,,,,,,,,,0.60,,0.06,,,,0.64,,0.25,
négativement,-0.8,0.67,1,1,,,,,,,,0.80,,,,,,,,,,0.67
négligence,-0.58,0.25,1,1,,,,,,,,,,,,0.58,,,,0.25,,
négliger,-0.47,0.63,1,1,,,,,,,,,0.47,,,,,,0.63,,,
nègre,-0.2,0.43,2,5,0.19,,,,,,,0.20,,,,,,0.59,0.26,0.43,,0.59
neige,0.44,,9,-,0.37,0.45,,,0.23,0.77,0.52,0.59,0.40,,,0.56,,,,,,
neiger,0.73,0.08,1,1,0.73,,,,,,,,,,,,,,0.08,,,
nénuphar,0.53,,1,-,,,,,,,,0.53,,,,,,,,,,
néon,0.04,,1,-,,,,,0.04,,,,,,,,,,,,,
nerf,-0.05,,1,-,0.05,,,,,,,,,,,,,,,,,
nerveuse,-0.06,0.77,1,3,0.06,,,,,,,,,,,,,0.70,,0.80,,0.82
nerveux,-0.42,,6,-,0.50,,,,,,0.43,,0.33,0.57,,0.28,0.43,,,,,
nettoyer,0.33,,1,-,0.33,,,,,,,,,,,,,,,,,
neuf,0.51,0.30,1,1,0.51,,,,,,,,,,,,,,,0.30,,
neutralité,-0.07,0.27,1,1,,,,,,,,,0.07,,,,,,,0.27,,
neutre,-0.03,0.31,2,1,,0.00,,,,,,,0.07,,,,,,0.31,,,
neveu,0.28,0.61,1,2,,,,,,,,0.28,,,,,,,0.72,0.50,,
névrose,-0.67,0.52,2,1,,,,,,,,0.63,0.70,,,,,0.52,,,,
névrosé,-0.14,0.33,1,1,,,,,,,0.14,,,,,,,,0.33,,,
nez,0.16,,4,-,0.32,0.09,0.12,,,,,0.11,,,,,,,,,,
niche,0.25,0.56,1,1,,,0.25,,,,,,,,,,,,0.56,,,
nicotine,-0.46,,2,-,0.70,,,,,,,0.23,,,,,,,,,,
nid,0.55,0.25,3,1,,0.31,0.62,,0.71,,,,,,,,,,0.25,,,
nièce,0.15,0.54,1,2,,,,,,,,0.15,,,,,,,0.63,0.45,,
nier,-0.5,,2,-,,,,,,,,0.57,0.43,,,,,,,,,
nietzschéen,-0.56,,1,-,0.56,,,,,,,,,,,,,,,,,
nihilisme,-0.16,0.28,1,1,,0.16,,,,,,,,,,,,,0.28,,,
niveau,0.45,0.32,1,1,,,,,,,,0.45,,,,,,,,0.32,,
noble,0.17,0.39,1,1,,,,,,,,,0.17,,,,,,0.39,,,
noblesse,-0.08,0.66,2,1,,0.07,,,,,,0.10,,,,,,,,,,0.66
noce,0.53,0.80,1,1,,,,,,,,,,,,0.53,,,,0.80,,
noces,0.80,0.72,1,2,,,,,,,,,0.80,,,,,0.66,,0.78,,
noël,0.77,,4,-,0.69,,,,0.86,,0.70,,0.83,,,,,,,,,
nœud,-0.11,0.38,4,4,0.41,0.01,0.07,,0.10,,,,,,,,,0.45,0.24,0.32,,0.50
noir,-0.06,,8,-,0.17,0.03,,,0.22,0.25,0.10,0.10,0.13,,,0.08,,,,,,
noirceur,-0.02,,2,-,0.16,,,,,0.12,,,,,,,,,,,,
noircir,-0.44,0.27,1,1,0.44,,,,,,,,,,,,,,,0.27,,
noire,-0.25,,2,-,0.38,,,,,,,,0.13,,,,,,,,,
noix,0.31,0.34,3,3,0.47,0.12,0.34,,,,,,,,,,,0.41,0.30,0.32,,
nom,0.18,0.33,3,1,,,,,,,0.14,0.20,0.20,,,,,,0.33,,,
nombril,0.20,0.47,1,1,,,,,,,,0.20,,,,,,,,0.47,,
nommer,0.17,0.58,1,1,,,,,,,,,0.17,,,,,,0.58,,,
non,-0.32,,2,-,0.11,,,,,,,0.53,,,,,,,,,,
nonchalance,-0.25,0.28,2,2,0.30,,,,,,,,,,,,0.21,0.24,0.32,,,
nonne,-0.08,0.40,2,1,,,,,,,0.02,0.15,,,,,,0.40,,,,
non-sens,-0.1,,1,-,,,,,,,0.10,,,,,,,,,,,
nordique,0.02,0.30,1,1,0.02,,,,,,,,,,,,,,,0.30,,
normal,0.23,0.27,1,1,,,,,,,,,0.23,,,,,,,0.27,,
norme,-0.12,,2,-,,0.04,,,,,,,0.20,,,,,,,,,
nostalgie,-0.25,0.27,2,1,,,,,,,,,,0.30,,,0.20,,,0.27,,
nostalgique,0.07,0.33,1,1,,,,,,,,,0.07,,,,,,0.33,,,
notaire,-0.12,,2,-,0.17,,,,,,,0.07,,,,,,,,,,
note,0.19,0.50,4,1,0.25,0.09,0.47,,,0.07,,,,,,,,,,0.50,,
noter,-0.03,0.32,1,1,,,,,,,,,0.03,,,,,,,0.32,,
