word_english,aoa_s_N,aoa_s_M,aoa_s_SD,rt_M,rt_SD
done,30,2.8,0.9,1776.6,1192.7
doom,32,4.6,1.1,2108.1,2343.1
dope,32,5.2,1.4,2178,1366.3
dorm,32,5.5,1.2,2338.6,1700.2
dose,32,4.4,1.2,2098.3,1496.1
dot,30,2.8,0.8,1786.1,1083.6
dote,32,6.1,1.1,1812.1,1230.5
doubt,31,4.2,1,2674.1,2464.2
douche,32,6.5,0.8,2249.7,1841.5
dough,32,4,1.4,2175.8,1546.4
dour,31,6.6,0.9,1709,1369.3
douse,32,5.7,1.1,1533.7,608.8
dove,31,3.6,1.2,2109.2,1089.9
down,31,2.4,0.8,1786.7,1297
dowse,31,6,1.2,1627.9,1078.3
doze,31,4.3,1.2,1991.9,1465.3
drab,32,5.7,1.1,2410.2,2614.3
draft,30,4.7,1,2224.7,1829.3
drag,32,3.7,0.9,2891.9,4859.3
drain,31,3.8,0.9,2244.4,1758.4
drake,30,6.5,0.8,2028.7,1555.9
drank,30,3.5,1.1,2195.6,1886.2
drape,30,4.6,1,1815.8,1131
draught,32,6,1,2432.8,1890.8
draw,30,2.6,0.8,2053.2,1573.5
drawer,32,3.5,1.2,3023.3,5394.6
drawl,32,5.6,1.2,2035.3,1224.6
dread,32,4.8,1.1,2145.9,2624.9
dream,32,3.1,0.7,1790.4,1359
dreamt,32,4.5,1.3,2301.4,2446
dredge,31,6.2,1,1880.4,1491.8
drench,32,4.9,1.1,3628,8912.2
dress,29,2.6,0.9,1772.3,1188.6
drew,32,3.6,1,2275,2770.1
drift,31,4.5,1,2604.3,2223.8
drill,32,3.8,1,1864.8,2651.6
drink,32,2.4,0.7,3115.5,7809.6
drip,31,3.8,1.2,1492.2,789
drive,32,3.3,1,2517.4,3292.4
droll,32,6.2,1.1,1778.4,1197.5
drone,31,6.1,0.9,2068.3,1957.2
drool,31,3.3,1.3,1884.2,947.2
droop,32,4.9,1.2,2246.3,2081.7
drop,32,3.3,1.2,2144.9,2764.9
drought,32,5.3,1.1,2180.9,1880.3
drove,32,4.2,1.1,2398.5,2662.5
drown,32,4.1,1.2,2251,2281.5
drowse,30,5.6,1.3,2511.5,2847.9
drug,31,4.3,1,2546.4,2370.7
drum,31,3.1,0.9,2514.7,2434.4
drunk,31,5.4,1,2513,3165.1
dry,32,2.9,1,1589.3,1228.2
dub,30,5.8,1.3,1909.9,1609.5
duck,31,2.4,0.8,1435.8,539
duct,30,5.2,1.3,1986.8,1258.6
dud,32,4.9,1.3,1929.7,1051.2
dude,31,4.3,0.7,1938.3,984.2
due,32,4.3,1.1,1929.3,1390.6
dug,32,3.5,1.1,2350.9,1917.9
duke,32,5,1.3,2266.9,1392.9
dull,32,4.1,1.2,2194.4,1568.6
dumb,31,3.1,1,1983,1357.6
dump,31,4,1.1,2737,4335.2
dunce,32,5.3,1.2,1865,1042.1
dune,30,4.7,1.5,2898.3,2623
dung,32,5.3,1,1986.4,998.8
dunk,31,4,0.9,2218.1,1656.5
dupe,31,5.9,1.2,1587.6,1608.3
dusk,31,4.5,0.9,1831,1164.8
dust,31,3.4,0.9,2472.1,2728.1
dwarf,31,4,1.2,2237.6,1852
dwell,31,5.4,0.9,1975,1741.5
dye,32,4.3,1.2,2213.5,1110.6
each,32,3.2,0.7,1505.3,863.6
ear,30,2.3,0.7,1650.5,1146.7
earl,31,6.1,1.2,2236.1,1672
earn,32,4,1,2211.2,1519.8
earth,30,2.9,0.7,1540.3,746.9
ease,32,4.4,1.3,2567.8,3635.4
east,31,3.6,0.8,2677,3642.2
eat,32,2.2,0.8,1655.8,989.3
ebb,32,6.5,1,1478.5,847.4
edge,31,3.7,1.1,2403.6,2057.5
eel,31,3.8,1.3,1525,885.8
eight,31,2.4,1,1628,965.4
eke,31,6,1.7,1364.9,595.9
elf,30,3.3,1.2,2149.9,1284.9
elk,31,4.4,1.3,1727.9,1196.1
elm,32,5.2,1.1,1587.7,1057.5
else,32,3.7,1.1,1805.1,946.9
elves,32,3.2,1,1838.3,873.3
end,32,2.6,0.8,2263.8,1969.4
etch,32,5.3,1.3,2088,1772.6
eve,32,3.9,1.4,2034.5,1177.9
ewe,31,5.6,1.7,2263.2,1306.6
eye,30,2.2,0.8,1244.9,387.3
face,31,2.5,0.7,1536.4,1114.3
fact,30,3.6,0.9,2808.8,2972.7
fad,32,5.2,1,1475.3,551.5
fade,30,4.6,1,2090.7,1229.4
fag,32,5.7,1,2629,2728.5
fail,32,3.8,0.9,2733.4,4343.6
faint,32,4.2,1,2348.3,3499.2
fair,32,3.5,1,2836.5,3484.8
faith,32,3.9,0.9,2096.8,2056.5
fake,32,3.8,0.9,1685.5,1175.4
fall,32,2.8,1,1730.3,1799.8
false ,32,3.7,0.9,2039.7,1602.4
fame,31,4.3,1.1,2147.4,1944.3
fan,32,2.9,0.8,2069.2,1903
fang,31,3.8,1,2035.1,1402.6
far,32,2.7,0.6,2581.1,2886
farce,31,6.3,1.2,1859.1,1664
fare,32,5.1,1.3,2260.4,2074.7
farm,32,3.1,1.1,1778.1,1224.6
fast,30,2.8,0.8,1920.1,1347.4
fat,31,2.8,0.9,1600.5,1461.9
fate,32,4.8,0.8,2066.2,1222.2
fault,30,3.5,1,2374.1,2617.6
fawn,32,4.8,1.2,2239.4,1938.3
faze,31,5.3,1.1,2146.7,1635.5
fear,32,3.2,0.9,1736,1331.2
feast,32,3.9,1.2,2246.2,2133.7
feat,31,5.6,1.3,3530.5,6390.8
fed,30,3.1,0.9,2079.2,1176.4
fee,31,4.3,0.9,2260.4,1399.4
feed,31,3.1,1.1,2527.7,3379
feel,32,3,0.8,2880.8,5177.7
feet,32,2.3,0.9,1903.4,1816.5
feign,31,6.6,0.6,1823.7,1673.8
fell,32,2.8,0.8,1965.8,1879.8
felt,32,3.6,1,2312.2,1966.2
fence,29,3.1,0.7,2809.1,4635.2
fend,31,5.1,1.3,2491,3410.7
fern,32,4.4,1,2512.9,2679.7
fetch,31,4.1,1.1,2040.4,1492.1
feud,32,5.3,1,2343.2,3366.2
few,31,3.5,0.9,2510.5,4931.2
fib,30,3.8,1.4,1693.8,952.1
field,31,3.3,1,2070.4,1373.7
fiend,32,5.7,1.3,2086.8,1402.6
fierce,32,4.9,1,1666.9,992
fife,32,6.6,0.8,1764.3,1200.6
fifth,32,3.4,0.9,2268.3,1442.2
fig,32,4.6,1.3,3067,6505.8
fight,32,3.1,1,2129,2149.7
file,32,4.3,0.9,2511.6,1460.9
fill,30,3.1,0.8,2317.4,1911.5
film,32,3.6,1,2395.7,2563.3
filth,32,4.8,1,1589.1,694
fin,32,4.1,1.7,1781.1,1032
finch,32,5.6,1.3,2069.8,1232.9
find,32,2.8,0.8,1734.8,1421.4
fine,32,3.5,1,1843.1,1000.2
fir,32,5.3,1.7,2063.3,1133.1
fire,31,2.9,0.7,1590.4,933.7
firm,31,4.3,1,2626.3,3824.8
first,29,2.6,0.8,2106.9,1640
fish,29,2.5,0.9,1652.7,1521.7
fist,32,3.1,1.1,2109.6,1156
fit,31,3.2,0.8,3586.4,4330.9
five,31,2.3,0.8,1521.6,793
fix,32,3.1,0.9,1786.7,1325.6
fizz,31,4,1.3,3509.2,6772.1
flag,32,3.4,0.9,1517.8,840.6
flail,32,5.4,1.4,1905.4,2656.7
flair,32,5.3,1.2,2639.4,2426.8
flak,31,6.2,1.4,1666.2,1046.3
flake,32,4.3,1.2,2074.8,1366.5
flame,32,3.8,1,1758.4,1433.4
flank,32,5.8,1.1,2185.2,1787.3
flap,32,3.6,1,1618.6,1255.8
flare,32,4.9,1.1,2575.7,4277.8
flash,32,3.9,0.8,2343.6,1605.7
flask,32,5.8,1.1,1955.3,1112.2
flat,31,3.3,1.1,1781.2,1282.2
flaunt,32,5.3,1.1,1868,1263.1
flaw,32,4.7,0.9,1789.8,941.9
flax,31,6.4,1,1803,2016.3
flea,32,3.8,1,1888.2,1047.6
fleck,31,5.6,1.2,2187.3,2254.8
fled,31,4.5,1,2517.3,2507.6
flee,32,4.1,1.1,2218.8,2190.1
fleece,32,4.8,0.9,2282.7,1690.2
fleet,31,5.1,1.1,2250.5,2951.2
flesh,32,4.3,1.1,1825.1,1546.4
flew,31,3.5,0.9,2537.2,2692.9
flex,32,4.6,1.3,2796.3,2511
flick,32,4.3,0.8,1988,1306.5
flight,32,4.1,0.9,3529.9,4783
flinch,31,4.8,0.9,1758.8,931.9
fling,32,4.8,1.2,1624.5,896
flint,31,5.6,1.1,2393.2,3059.1
flip,32,3.3,1,1853.5,1305.1
flirt,31,4.8,1.1,2451.4,1971.2
float,31,3.3,1.1,2145.9,1269.9
flock,31,4.3,1.2,2176.3,2006.5
flog,32,6,1.1,1846.5,1128.7
flood,32,3.7,0.7,2355.3,4553.5
flop,31,4.1,1.2,3324.7,4688.2
floss,32,3.6,0.8,1926.2,1780.5
flounce,32,6.3,1.2,2093.2,1876.4
flour,31,3.6,0.8,1778.5,1196.5
flow,31,3.9,0.9,2296.2,1923.8
flown,32,4.4,1.1,2329,1736.7
flu,32,3.8,1,1613.4,780.5
flub,32,5.8,1.4,2178.5,1577.7
fluff,31,4.1,1.1,3295.7,5819
fluke,28,5.3,1.3,2111.5,1854.2
flume,30,6.4,1.1,1808.1,1033.7
flung,30,5,1.3,2141,1265.7
flunk,32,5,1,2651,2038.4
flush,32,3.4,1.2,2006.9,2277.8
flute,32,4,1.1,2463.3,3451.2
flux,32,6.1,1.2,1642.8,803.6
fly,32,2.7,0.7,1884.3,3080
foal,32,5.3,1.5,2218.4,2012.4
foam,32,3.5,0.9,1879.1,1150.1
foe,32,5.5,1,1559.7,730.6
fog,32,3.5,1,1975.9,1882.1
fold,32,3.4,0.9,1948.4,1719.5
folk,32,4.4,1.1,2207.5,2269
fond,30,4.8,1.2,1911.1,1048.5
font,31,4.8,1.1,2670.1,2166.4
food,31,2.1,0.7,1815.7,1067.3
fool,31,4,1.2,2004.1,1349.6
foot,32,2.1,0.5,1397.1,817.2
for,32,2.3,0.9,2026.2,1572.3
force,30,4.2,1,2057.1,1451.7
ford,30,5.1,1.4,2431.5,1650.7
fore,32,5.8,1.2,1812.5,1098.7
forge,30,5.7,1.2,2022.8,1341.9
fork,32,2.5,0.8,1836.8,2010.6
form,30,4.2,1.1,2401.6,2407.7
fort,32,3.6,1.3,1964,1550.4
forth,31,4,1.4,2268.7,1515.9
fought,32,4.2,1.2,1863.9,1190.2
foul,32,4.6,1,2148.9,1663.6
found,31,3.2,0.9,2101.8,1734.1
four,31,2.3,0.8,1721.9,1650.9
fowl,32,5.1,1.1,2821.1,3222.1
fox,32,2.6,0.7,1633.2,1070.8
frail,32,4.8,1,1706.1,872.2
frame,31,4.1,1,2743.1,3096.1
franc,32,6.2,1.1,2077.7,1342.7
frank,32,5,1.4,2281.6,1452.9
fraud,31,5.4,0.8,1729.2,1392.6
fraught,31,6.1,1,1841.8,1133.8
fray,31,5.4,1.2,2375.6,2627.1
frays,31,5.6,1.1,2861.5,3178.4
freak,31,4.4,0.9,2313.5,1729.4
free,31,3.4,0.8,2112.4,1734.1
freeze,32,3.5,1,1826.1,1854.1
freight,32,5.1,1.2,2435.3,1823.4
fresh,32,3.7,1,1841.7,1284.3
fret,32,5.3,1.1,1878.4,1614.8
friend,31,2.5,0.8,1613.3,949.6
fright,31,4.2,1.2,2081.6,1647.3
frill,31,5.5,1.2,1920.3,1853.9
fringe,30,5.2,1.2,2473.2,4383.1
frisk,32,5.1,1,1667.3,982.5
fritz,32,6,1.1,1747.6,989.1
frizz,32,4.8,1.2,2051.9,1394.9
frock,32,5.6,1.5,2067.1,2316.8
frog,31,2.4,0.7,1437.4,716.4
from,32,3,1.1,2595,5829.5
front,30,3,1.1,2515.4,3365.2
frost,32,3.7,1,2115.7,1770.5
froth,32,5.9,1.2,1729.9,1238.2
frown,31,3.1,1,1660.2,1456.1
froze,30,3.8,0.9,1759.3,839.4
fruit,30,2.7,0.8,1839.8,1111.2
fry,32,3.5,0.9,1651.6,774.9
fudge,32,3.3,1.1,1927.8,1364.5
fugue,31,6.6,0.8,1716.4,991.7
full,32,2.9,0.8,2622,2880.7
fume,31,5,1,1852.8,1083.6
fun,32,2.4,0.7,1535.4,1014.7
fund,31,4.7,1,2823.4,5089
funk,32,4.9,1.2,1732.5,827.4
fur,31,3.2,0.9,2004.5,1175.4
fuse,31,5.3,1.1,2943.5,2307.6
fuss,31,3.5,1.2,1947.9,1463
fuzz,31,3.6,1.2,2154.3,1486.3
gab,32,5.5,1.4,2140.6,2538
gag,31,4.3,1.3,1647.8,1386.7
gain,30,3.9,0.8,2710.1,2313.9
gait,32,5.7,1.5,1771.3,1093.5
gale,31,5.6,1.3,1383.3,715
gall,32,5.8,1.4,1502.7,786.8
game,31,2.6,0.8,1433.8,782.3
gang,32,4.4,1,3461,5412.6
gap,32,3.7,1.1,1841.2,1862
gape,32,5.6,1.5,2001.5,1657.6
garb,32,6,1.1,1781,1078.9
gas,32,3.3,0.9,2937.1,5230.5
gash,32,4.9,1,2289.8,2171
gasp,32,4.5,1.3,2346.3,2049
gate,32,3.3,1,2027.9,1624.9
gauche,32,6.8,0.6,1580.4,1105.9
gauge,32,5.6,1.2,1971.5,2201
gaunt,31,6,1.2,1680.6,1094.1
gauze,31,5.1,1.3,1833.7,1588
gave,32,3,1.1,1684.8,865
gawk,31,5.2,1.1,2220.4,2423.3
gay,32,5.5,0.8,3022.8,2521.5
gays,31,5.4,1.1,2746.6,1542.8
gaze,31,4.6,1,2068.7,2021.3
gear,32,4.2,0.9,2424.4,3911.2
geese,32,3.6,1.2,1661.2,760.2
gem,32,3.9,1,1848.5,1021.5
gene,32,5.6,1.1,3065.9,3583.4
gent,32,5.7,1.4,2718.2,3148.5
germ,31,3.9,1.1,2604.8,3814.2
get,32,2.5,0.8,1660.7,1304.4
ghost,32,3,0.8,1923.4,1362.6
ghoul,32,5.3,1.6,1631.9,760.3
gift,31,2.9,0.7,2137.8,2785.9
gig,32,5.2,1.1,1925.2,1314.2
gill,31,4.2,1.3,2715.7,3507.8
gilt,32,6,1.3,2437.4,2185.7
gin,32,6,0.8,1862.1,1230.6
girl,31,2.2,0.7,1373.1,652.4
girth,32,5.8,1.1,1886.2,1142.8
gist,31,5.9,1.1,1649.7,1225.4
give,32,2.4,0.7,1976.7,1256.4
glad,30,3.1,0.8,1715.6,1501.9
glade,32,6.2,1.1,2493,2708.3
glance,32,4.3,1.1,1999.2,1270.6
gland,32,5.5,1.3,1714,851.7
glare,32,4.5,1,2252,1622.2
glass,31,3.2,0.9,2260.7,1904.6
glaze,32,4.8,1,2215.6,2040.6
gleam,32,5.2,1.2,4043.2,10216.2
glee,32,4.6,1.3,1582.2,745.7
glen,32,5.7,1.4,1823.7,1144.8
glib,31,6.7,0.9,1527.8,816.5
glide,31,4.3,0.9,2403.6,1649.1
glimpse,32,5.4,1,1953,1578.6
glint,32,5.7,1.3,1780.6,1836.1
gloat,32,5.3,1,1773.2,1085.5
glob,32,4.1,1.4,1554.9,836.2
globe,32,3.6,1,2633,4316.2
gloom,32,4.6,1,1798.7,1272.9
gloss,32,4.5,1,2209.7,1515
glove,32,3.2,0.9,2616.2,2405.6
glow,32,3.5,1,1619.9,1038
glue,32,2.8,0.8,2095.7,1832
glum,32,4.9,1.2,1705.9,1000.5
glut,32,6.1,1.2,1854.1,1841.6
gnash,32,6.1,1.1,2591.4,3494
gnat,32,4.3,1.2,2065,1340.9
gnaw,32,4.6,1.2,2114.6,2478.5
gnome,32,5,1.3,1681,723.9
go,31,2.1,0.6,1627.6,1304.9
goal,31,3.5,0.9,1926.8,1316.6
goat,31,2.6,0.7,1709.8,826.1
gob,30,5.2,1.5,2092.2,1842
god,32,2.4,0.8,2350.7,1382.3
gold,31,3.1,1,2334.4,3045.1
golf,31,3.8,0.9,1626,839.6
gone,32,3,0.9,1771.8,1144.6
gong,31,5.3,1.4,2128.6,1870.2
goo,32,3.1,1.7,1919.7,1076.3
good,31,2.2,0.6,1620.2,1214.5
goof,32,3.9,1.3,1761,1124.8
goose,31,2.8,0.8,2036.4,2648.3
gore,32,5.3,1.2,2303.2,3103.8
gorge,30,5.6,1,3111.9,4985.4
gosh,32,3.6,0.9,2708.4,3266.7
got,31,2.8,1,2008,2088.7
gouge,30,5.7,1.1,2245.9,1654.8
gourd,31,5.8,1.3,1960.6,1257.8
gown,32,4.3,1.3,1959.9,1140.6
grab,31,3.3,1.1,1461,741.1
grace,32,3.8,1.1,2077.5,1104.1
grade,32,3.2,0.9,2155.4,1736.5
graft,32,6.4,0.9,2392,2509.7
grail,31,5.9,1.3,2239.8,1573.9
grain,32,4.1,1,2195.3,2271.4
grand,31,4.3,1.1,2206.2,2116.3
grant,32,5,1.1,2249.5,2329.2
grape,32,2.7,0.9,1672.9,1110.1
graph,32,4.3,1.1,1917.1,989.8
grasp,32,4.3,1.1,2239.4,3285.2
grass,31,2.6,0.7,1397.4,819
grate,31,4.8,1.3,2236.2,2337.4
grave,31,3.9,1,2083.7,1407.4
gray,32,2.8,0.9,2244.5,1565.3
graze,31,4.3,1.2,2627.8,2149.7
grease,31,3.8,1.2,3036.2,4275.7
great,31,3.1,0.9,2446.4,2115
greed,32,4.5,1,2001.4,2015.2
green,32,2.2,0.6,1835.7,1632.6
greet,32,3.9,1.2,1819.4,1016.5
grew,32,3.3,1,1758.4,782.9
grid,31,5,1.1,2470.9,2432.4
grief,32,4.9,1.1,1811.8,1042.8
grieve,31,5.2,0.8,2708.1,2909.9
grill,32,3.9,1.2,2559.8,2902.7
grim,32,5.3,1.1,2029.5,1830.3
grime,32,5,1.1,1825,1290.9
grin,32,3.3,1,1615.7,923.1
grind,30,4.4,1.2,3069.9,4308.4
grip,31,3.9,1,4888.2,14698.3
gripe,32,5.3,1.3,2567.7,4375
grit,32,4.3,1.4,2011.3,1083.4
grits,32,4.2,1.6,2362.2,1798.3
groan,32,4.2,1,1770.2,1465.4
groin,32,5.4,1.1,1963.1,1274.6
groom,31,4.3,1.1,2068.8,1352.3
groove,31,4.5,1.2,2668.5,3511.2
grope,30,6.2,0.7,2678.6,2924.4
gross,32,3.5,0.9,2136.6,1342.7
grouch,32,4.2,1.2,1950.1,1476.5
ground,32,2.8,1,1766,1337.3
group,31,3.6,1,1933.1,1139.5
grouse,32,6.5,0.9,1497.3,607.8
grove,32,4.8,1.1,2801,2069.4
grow,31,3,0.8,1507.8,639.5
growl,31,3.2,1.2,2314.6,1792.9
grub,32,4.7,1,1748.3,902.4
grudge,32,5.2,1,2055.9,1621.9
gruff,31,5.5,1.5,1911.9,1677.9
grunt,31,4,1,3493.8,7695.1
guard,31,4.1,0.8,1729.4,1113.5
guess,32,3.3,1,2042.9,1331
guest,31,3.9,1,2373.1,1615.3
guide,32,4.3,1.1,2383.2,2391.5
guild,31,6,0.9,1737.5,1095.9
guile,30,6.7,0.6,3188.3,6348
guilt,30,4.4,1.1,1868.9,1376.1
guise,32,6.6,0.6,1904.3,2126.5
gulf,31,4.8,1.2,2198,1117.6
gull,32,4.8,1.6,2093.9,1613.6
gulp,32,3.8,1.1,1673.5,847
gum,32,2.8,0.8,1472.6,624
gun,31,3.4,0.8,1940.5,1400.6
gush,31,4.4,1.1,2416.6,2722.1
gust,32,4.5,1.1,1785.2,968.9
gut,31,4.3,1,2527.9,2603.3
guy,32,3.2,1.3,1751.4,974.6
gym,31,3.8,1,1951.8,1447.4
gyp,32,6.5,0.9,1880.8,2071
hack,32,4.8,1,2201.4,1426.6
had,31,2.8,1,1941.6,1840.1
hag,32,5.2,1.3,1856.8,1506.9
hail,31,4.9,1,3034.8,3409.2
hair,32,2.4,1,1540.9,1016.3
hale,32,5.5,1.4,2006.7,2037.8
half,31,3,0.7,2244.8,1765.7
hall,32,3.4,0.9,2566,2926.8
halt,32,4.6,1.2,2216,1815.8
halve,30,5,1.5,2903.5,3864.1
ham,32,2.9,0.8,1821,1123.7
hand,31,2.2,0.6,2766.5,4069.7
hang,32,3.2,1,2001.5,1915.2
hank,30,5.6,1.4,3669.7,5211.5
hard,32,2.8,0.8,2055.2,1435
hare,32,4.5,1.3,2277,1421.1
hark,32,5.5,1.3,1975,1237.1
harm,30,3.6,0.9,1905,1081.9
harp,32,4.5,1.2,1763.1,1311.8
harsh,32,4.8,0.8,1878,1230.6
hart,30,6.2,1.1,2363.3,2010.8
has,32,2.8,1,1747.2,1455.1
hash,32,5.8,1.3,2475.8,1787.8
haste,30,5.6,0.9,1478.3,632.3
hat,31,2.4,0.7,1406.1,741.2
hatch,32,4.5,1.1,2175.3,1826.2
hate,31,3.1,1,2584.3,4404.1
hath,31,6.1,1.2,1822.8,1278.5
haul,31,4.5,1.1,1884.9,1333.9
haunt,32,4,1,1980.4,1888.4
have,30,2.7,1.2,1682.3,1549.5
hawk,32,3.5,1.1,2168.5,2322.2
hay,32,3.3,1,1673.6,934.8
haze,32,5,0.9,2566,2202.3
he,31,2.1,0.7,1662.5,1426.4
head,31,2.3,0.6,1800.2,1487.8
heal,32,3.8,1.3,1476.4,648.3
health,32,3.9,1,2501.3,2867.2
heap,29,4.8,1.2,1623.9,934.4
hear,31,2.8,0.7,1830.2,1300.8
heard,32,3.4,1,2072.7,1972.8
hearse,32,5.5,1.1,2123.9,1186.4
heart,30,2.9,1,1719,1100.7
hearth,32,5.4,1.3,1940.9,1147.1
heat,32,3.1,0.9,1871.2,2126.1
heath,30,5.8,1.5,2640.4,3386.7
heave,31,5.5,1,1682.7,835.5
hedge,30,4.9,1.1,2930.6,2983.3
heed,32,5.8,0.8,2677.7,3798.6
heel,32,3.6,1.2,1574.3,837.2
heft,31,6,1.1,1959.7,1735.7
height,32,3.9,1.2,2073.3,2428.2
heir,31,5.5,1.2,1908,1134.9
heist,31,6.1,0.9,1536.9,778.1
held,32,3.6,1,2154.8,1984.4
hell,32,3.5,1.2,2387.8,1433
helm,32,5.9,1.2,1737.8,1066.2
help,32,2.9,1.2,1312.5,608.1
hem,31,5.1,1.1,2039.4,1337.4
hemp,30,6.1,1.1,2125.6,1423.8
hen,32,2.9,1.2,2133.9,2476.9
hence,32,5.6,1.1,2061.5,1616.3
her,31,2.4,0.8,1656.4,1060.2
herb,32,4.6,1.2,1829.1,1048.4
herd,32,4.1,0.9,2356.5,1746.4
here,31,2.5,0.8,1379.4,823.7
hertz,32,6.4,0.9,3039.4,5798.3
hex,32,6,1.1,1495.7,731.5
hick,32,5,1.2,2455.8,2872.7
hid,31,3.1,1.1,2437.4,1396.8
hide,30,2.7,0.9,1858,1284.9
hike,32,3.8,1,1938.4,1092.3
hill,32,2.9,0.9,1582.3,1069.1
hilt,32,6.1,1,1795.5,953.8
him,30,2.2,1.1,1704,867.3
hind,32,4.7,1.3,2279.6,1855.7
hinge,29,4.9,1,2506.9,2530.1
hint,32,3.4,0.9,2465.4,2542.5
hip,32,3.4,1,1707,1228.1
hire,31,4.4,1.1,1883.3,1005.5
his,31,2.6,1.1,1527.6,891.8
hiss,31,3.2,1.1,1855.3,979.9
hit,31,2.5,0.8,2183.4,2677.6
hitch,31,5,1.1,1865.6,1503.1
hive,32,4.1,1.2,2971.1,4068
hives,32,4.5,1.4,2109.5,1440
hoard,31,5.7,1.2,3051.3,6110.8
hoarse,32,5.3,1.3,2268.9,1546
hoax,32,5.6,1,1876.7,1407.9
hock,32,6.2,1.1,1764.5,924
hoe,31,4.7,1.2,2179.7,1087.6
hoes,30,5.4,1.1,2954.2,2375.2
hog,31,3.3,1.1,2134.1,1581.6
hoist,32,5.6,1,1740.5,898.1
hold,32,3,1,2221.9,2195.8
hole,32,2.9,1,2177.8,2283.6
home,32,2.3,0.5,1812.1,2000.8
hone,32,6.3,0.8,2090.6,1958.2
honk,31,3.2,1.1,2073.9,2247
hood,32,3.6,0.9,2749.2,4111.3
hoof,31,3.5,1.2,2555.8,2640.7
hook,32,3.5,1,1796.4,1143.2
hoop,32,3.5,0.9,2002.4,1386.5
hoot,31,3.9,1.5,1666.5,741
hooves,32,4.1,1.3,3081.3,4181
hop,30,2.5,1,1804.1,997
hope,32,3.6,0.9,1861.8,1138.3
horde,31,5.9,1.3,2101.4,2102.3
horn,32,3.1,0.9,1764.8,1250.5
hose,31,3.8,1.1,2392.8,2583.6
host,32,4.5,1.1,1919.1,1018.8
hot,31,2.3,0.5,1695.6,984.7
hound,32,4.4,1.1,1719.5,1162.9
hour,31,3.2,0.9,2485.1,2222.3
hove,31,5.9,1.3,1560.7,1077
how,32,3.3,1.3,1895.4,1506.3
howl,32,3.9,1.1,1689.5,1223.3
hub,31,6,1.1,2123,1436.6
hue,32,5.5,1.2,4106.4,14237.4
huff,31,4.5,1.4,2173,2395.8
hug,32,2.4,0.8,1492.8,850.4
huge,32,3.3,1.1,1884.1,1694.6
hulk,32,4.7,1.6,2154.8,1347.8
hull,31,5.6,1.3,1930.8,1305.8
hum,32,3.7,1.4,1684.4,798.4
hump,31,4.5,1.2,2054.4,1220.9
hunch,32,4.9,1,2441.4,2444.3
hung,32,4,1,2633.3,2047.9
hunk,32,4.8,1,2082.8,2110.2
hunt,31,3.5,0.9,3913.3,8222.3
hurl,32,4.5,1.3,1937.4,1963.8
hurt,31,2.8,0.8,1492.4,825.6
hush,31,3,0.9,2798.1,2354.8
husk,32,5.4,1.3,2432.3,3556.7
hut,32,3.6,0.9,1644.9,1029.8
hutch,32,5.4,1,2295.3,1832.6
hymn,32,4.3,1.2,2198.6,1532.8
hype,32,5.8,1,1643.3,918.2
ice,31,2.5,0.9,1537.9,793.3
ides,31,6.6,0.8,1824.3,1299.2
if,30,2.4,0.9,1516.4,1011.2
ill,32,3.8,1,1902.6,1299.1
imp,31,6.3,1.2,1508,1609.1
in,28,2.3,0.8,1626.5,1025.5
inch,32,3.6,1,1887.5,822.4
ink,32,3.6,1,2485.3,2974.6
inn,32,4.2,0.9,1823.7,1143.7
ire,31,6.5,1.1,2059.1,1863.2
irk,32,6,0.9,2123.6,3074.7
is,31,2.3,0.7,1550.1,968.7
isle,32,4.8,1.4,2105.6,1288
it,32,2.1,0.8,1367.5,742.1
itch,30,2.8,0.9,1446,655.9
jab,30,4.7,1.3,2029.6,1628.6
jack,32,3.9,1.5,2592.1,2140
jade,32,5.3,1.2,2034.5,1243.5
jag,31,5.7,1.4,2911.5,2864.9
jail,32,3.4,0.8,1677.5,921.4
jam,32,3.3,1.1,2489.9,3399.3
jar,32,3.1,1.1,1980.7,2494.4
jaunt,30,6.3,1,1860.1,1811.4
jaw,32,3.4,1,2743.7,2829.1
jay,32,4.8,1.5,3239.1,2284.6
jazz,32,4,1.1,1968.6,1235.3
jeans,32,3.2,0.9,2032.9,1562.9
jeer,32,5.8,1.3,1625.9,1083.8
jell,31,5.6,1.3,2846.6,1979.6
jerk,30,3.9,1.4,2084.4,1786.2
jest,32,5.7,1.1,1618.4,821.9
jet,32,3.4,1,1610.6,1179.4
jibe,29,6.3,0.9,1673.7,819.2
jig,32,4.8,1.4,1636.5,907.8
jinx,32,5.1,1.3,2099,1683.6
job,31,3.1,0.7,2052.5,1637.1
jog,31,3.6,0.8,2302.7,1438.6
join,32,3.6,0.9,2003,1836.3
joint,31,4.7,1.1,2477,2606.1
joke,32,3.2,0.8,1682.7,1333.1
jolt,32,4.8,1.1,1700.9,990.6
josh,32,5.3,1.6,3134.6,2213.4
jot,32,5.1,1.2,1847.4,1016.6
joust,32,5.8,1.1,1813.1,1380.1
jowl,31,6.2,1.1,1593.7,1229.1
joy,31,3.2,0.9,1969.3,1624.6
judge,32,4.2,0.8,2073.3,2240.8
jug,29,3.3,1,2058.5,1520.4
juice,32,2.1,0.6,1853.2,2032.2
jump,32,2.8,0.8,2010,3217.6
junk,32,3.6,0.7,2297.5,2035.3
just,31,3.3,0.9,2678.9,3728
