word_english,aoa_s_N,aoa_s_M,aoa_s_SD,rt_M,rt_SD
binge,31,6,0.9,2199.1,1519.3
birch,29,5.7,1.3,2369,1455.4
bird,31,2.3,1,1414.4,798.5
birth,31,3.3,1.1,2008.7,1740.4
bit,32,3,1.1,1907.6,1570.3
bitch,31,5.5,1,3171.5,2015.8
bite,32,2.8,0.8,1590.2,1076
blab,31,4.5,1.4,1705,1020
black,31,2.6,0.8,1709.6,1060
blade,32,4.2,1,2353.2,2073.4
blah,32,4.2,1.7,2206.3,1770.9
blame,32,3.7,0.8,1843.2,1562
blanch,32,6.3,1,1546.1,724.8
bland,32,5,1,2397.1,3354.9
blank,31,3.9,0.9,2041,1794.3
blare,32,5.1,1.1,3184.4,4996.7
blast,31,3.9,1,2113,1567.3
blaze,32,4.9,1.3,2257.7,1958.6
bleach,32,4.4,0.9,1827.9,1135.9
bleak,32,5.8,1.1,1837,1543.1
bleat,32,6.1,1.2,1569.4,908
bled,32,3.8,1,1956.9,1506.3
bleed,32,3.4,1.1,1703.3,1054
blend,31,4,0.9,2183.1,1790.9
bless,32,3.4,1.2,2255.7,2182.5
blew,31,3.8,1,2380.8,3411.5
blight,32,6.5,0.9,2063.3,2208.6
blimp,32,4.3,1.2,1935.3,1019.5
blind,32,3.7,0.9,2302.3,2118.6
blinds,31,4,0.8,3393.7,3723.8
blink,32,3.5,1,2259.5,1762.4
bliss,32,5.3,1.1,2029.5,1720.2
blithe,31,6.4,0.8,1998.5,2690.3
blitz,31,5.7,1.1,1741.9,1351.1
bloat,32,5.3,1.4,2179.5,1418.5
blob,31,3.9,1.2,2491.5,2271.1
block,29,3,1.1,2699.7,3018.6
bloke,32,6.3,1,1733,1657.8
blonde,32,3.4,1.1,2170.2,1654.7
blood,32,3,1,2561.5,2345.8
bloom,31,3.9,0.8,1841.5,964
blot,32,4.7,1.3,1659.2,1224.2
blotch,32,5.3,1.3,1588.6,1146.7
blouse,32,4.3,1.3,2337.5,2222.6
blow,32,3.1,1,2066.6,1181
blown,32,3.9,0.9,2225.6,1823.3
blue,31,2.1,0.6,1691.7,1001.3
bluff,32,5.2,1,2343.3,1610.4
blunt,31,5.3,1.2,3683.4,7390.4
blur,30,4.2,0.7,2693.2,3893.4
blurt,32,4.8,1.3,1954,1356.7
blush,31,4,1,1871.8,1252.3
boar,32,4.8,1.2,1995.3,1302.6
board,32,3.6,0.9,2261.6,2385.6
boast,31,5,0.9,2112.5,1821.1
boat,31,2.5,0.9,1569.7,763.3
bob,31,4,1.4,2764.5,2022.7
bode,31,6.4,0.8,1667.4,845.5
bog,32,5.3,1.4,2046.5,2195.6
boil,32,3.9,1,1784,1262.6
bold,32,4.6,1,2623.7,3187.8
bolt,32,4.4,1.2,1952.1,1324.9
bomb,30,3.8,0.8,1848.8,1171.1
bond,31,4.5,0.9,2236.3,1510.6
bone,32,3.1,1,2334.4,2380.5
book,32,2.8,1,1802.2,1443.1
boom,31,3.1,1.3,2929.4,4906.7
boon,31,6.2,1.1,1979.8,1313.1
boost,32,4.3,1.1,2103.1,2473.8
boot,30,2.7,0.9,2023.8,1277.9
booth,32,4.2,1,2794.7,3496.5
booze,32,5.7,1.2,1871.6,1208.9
bore,31,4.3,1.2,2030.6,1789.9
bored,32,3.5,1.1,1824.5,1475.3
borne,32,5.5,1.5,2215.8,1233.1
bosh,31,6.7,0.7,3513.2,7722.7
boss,32,3.8,0.9,2604.3,2939
botch,31,6,1.1,1424.3,901.6
both,32,2.7,0.9,3233.1,8933.6
bough,32,5.7,1.5,2863.6,3912
bought,31,3.7,0.9,2250.6,2546.7
bounce,32,3.1,0.7,2075.4,2267.7
bound,32,4.6,1.1,2791.5,6096.6
bout,31,5.9,1,1927.1,1210.5
bowl,32,3.1,1.3,2851.1,6203.7
box,30,2.5,0.8,1774,1798.4
boy,32,2.1,0.6,1389.1,636.3
bra,31,4.6,1.1,2653.2,1498.8
brace,31,4.1,1,2396.9,2153.4
brag,32,3.9,0.9,1976,1209.8
braid,30,3.3,1,1773.4,1120.7
brain,32,3.5,1,1947.6,1426.6
braise,32,6.3,0.9,1646.4,930.8
brake,31,3.7,1,2402.7,2410.2
bran,31,4.7,1.5,2236,2023.5
branch,31,3.5,0.8,1662.8,1029.3
brand,32,4.1,0.9,2124.3,1671.1
brash,32,6.3,0.9,3928.7,8585.4
brass,31,4.6,1.2,2212.3,2048.7
brat,31,3.5,1.1,1824.7,862.1
brave,29,3.4,0.7,1668.1,1176.8
brawl,30,5,1.1,1804.6,1312.3
braze,32,6,1.1,2230.6,2762.7
breach,32,6,1,2383.8,2599.9
bread,31,2.5,0.8,1976.1,1534.4
breadth,31,6.4,0.8,2649.6,2019.9
break,31,3.3,1,2212.8,1333.8
breast,31,4.5,1.4,2167.4,1038.2
breath,32,3.3,1.2,2580.1,3417.2
breathe,32,3.3,1.1,2164,1518.6
bred,32,5.4,1.1,2804.6,3445.7
breech,32,5.9,1.1,2371.6,1936.9
breed,31,4.6,1,2052.3,1372.7
breeze,32,3.5,1,1861,1473.9
brew,31,4.8,1,2523.1,2096.1
bribe,32,4.6,1,2063.6,1346
brick,31,3.3,0.9,1660,941.8
bride,32,3.7,1.1,1918.2,1117.8
bridge,32,3.2,1.1,2792.5,4888.9
brief,31,4.5,1.1,2379,1727.4
brig,30,6.3,1.2,2026.2,1395.1
bright,32,3.1,0.8,2857.8,4949.2
brim,32,5.1,1.4,1588.2,820.5
bring,32,2.8,0.8,2675.3,3232.6
brink,32,5.6,1,3824.2,5918.2
brisk,30,5.2,1,2572.4,2389.7
broach,32,5.9,1,1679.9,1073
broad,32,4.7,0.9,1877.4,1686.3
broil,31,4.8,1,2857.4,4191.1
broke,30,3.4,1.1,2400.7,2584.5
bronze,32,4.6,1,2210.9,1565.5
brooch,32,5.9,1.3,2579.3,5170.8
brood,32,5.8,1.1,1628.9,1119.7
brook,32,4.8,1.3,2046.9,1368.9
broom,32,3.2,0.9,2460.7,3264.6
broth,32,4.7,1.1,2429.9,1785.3
brought,32,4.2,1.1,1788.2,1307.9
brow,32,4.3,1.3,2478,1838.1
brown,31,2.4,0.7,2220,2124
browse,32,4.9,1.1,2070.3,1906.7
bruise,32,3.8,1,1820,1365.4
brunch,32,4.5,1.1,1902.4,953.4
brunt,29,6.1,1.2,1867.1,1122
brush,32,2.9,1,1981.4,1307.8
brute,32,5.6,1.1,1678.2,939.7
buck,32,4,1,1833.6,1236
bud,30,4,1.2,2147.1,1335
budge,31,4.3,1.1,2306.1,1872
buff,32,5.3,1.1,2383,1615.8
bug,32,2.4,0.7,1605.2,1169.6
build,31,2.9,0.9,2191.9,2501.5
built,32,3.5,0.9,1812.1,946.6
bulb,32,3.9,1,1938.2,1797.7
bulge,31,4.8,1,2044.8,1862
bulk,31,4.9,1,1690.6,911.7
bull,32,3,0.9,1628.6,1454.2
bum,32,3.8,1.3,1839.3,1118.2
bump,30,3.2,1.1,1583.5,838.1
bun,31,3.6,1.3,2262,1982.6
bunch,31,3.5,0.8,1965.2,1320.4
bunk,30,4.4,1.2,2932.7,4302.3
bunt,31,4.1,1.4,2800.4,3221.9
burl,31,6.4,1.1,2044.7,1723.7
burn,32,2.9,0.6,2603.8,4234.9
burp,30,3.1,1.1,2221.4,1734.5
burr,32,4.7,1.8,2248.5,1512.7
burst,32,4.1,1.1,2709.1,3616
bus,31,2.7,0.8,2142,1422.4
bush,32,3.1,0.8,2161.7,1649.9
buss,31,5.6,1.6,2601.8,1662.8
bust,31,4.5,1.1,2017.2,1110.1
but,32,2.5,0.9,1632.4,1051.9
butch,32,5.7,1.3,2188.8,1251.6
butt,32,2.9,1,3068.7,4208.3
buy,31,3.1,1,2085.7,2614.9
buzz,32,2.8,1.2,2464.2,4220.6
by,32,2.7,0.9,2025.7,1834.6
bye,32,2,1.2,2009.6,1715.9
cab,32,3.8,1.1,2068.6,1927.6
cache,32,6.5,1,1704.3,894.1
cage,31,3.2,0.9,1724.4,1271.1
cake,32,2.6,0.9,1761,934.2
calf,32,3.7,1.2,2597.8,2383.8
call,32,2.8,0.8,1722.4,1229.1
calm,32,3.4,1,3301.8,4782.2
calve,31,5.5,1.5,2310.2,1666.6
cam,31,5.7,1.3,2639.5,2082.6
came,31,3.1,1,2174.7,1906.2
camp,32,3.2,0.8,1955.1,1362.6
can,31,2.5,0.6,1953.5,1512.6
cane,32,3.8,1.2,1970,1402.1
cap,32,2.9,0.9,2371.4,2414.6
cape,32,3.6,1.2,1971.8,1646.5
car,32,2.4,0.7,1680.7,885.9
card,31,3.2,1,2623.7,4570.9
care,31,3.2,1.2,2153.1,1946
carp,31,5.8,1.3,2115,2308.5
cart,32,3.4,1.2,1987.8,1637.4
carve,32,4.3,0.9,2279.5,2585.8
case,32,3.6,1,1961.4,1387.6
cash,31,3.6,0.9,1802.4,1268
cask,32,6.1,1.1,2101.2,1326.5
cast,32,4.1,1,2685,4106.5
caste,31,6.2,1.3,1943.3,1033.6
cat,29,1.9,0.5,1743.8,1322.2
catch,32,3.4,1.1,2544.1,5019.2
caught,32,3.5,0.8,2581.1,3650.5
caulk,31,5.9,1.3,1763.5,1117.2
cause,32,3.5,1,1911.7,1104.8
cave,32,3.5,0.8,2445.9,3807.7
cease,32,5.2,1.1,1784.6,1024.1
cell,32,4.8,1.2,2209.6,1343.9
cent,30,3.3,0.8,2034.6,1856.7
chafe,32,6.2,1,2183.9,4023.3
chaff,32,6.3,0.9,1777,1300.3
chain,31,3.5,0.9,1955.8,1170
chair,30,2.7,1.1,1940.2,2445
chaise,31,6.2,1.2,2254.4,2345.9
chalk,32,2.9,0.8,1862.5,1250.9
champ,32,4.2,0.9,2263.7,2373.9
chance,31,3.8,1,1784.2,2007.7
change,32,3.3,1.1,2014,1411.3
chant,32,4.8,1.2,1937.6,1423.9
chap,31,5.5,1.3,2123.2,1489.6
char,32,6,1.1,1942.4,1563.4
chard,32,6.1,1.2,1600.8,872.4
charge,30,3.7,1,2053.8,1695
charm,32,4.1,1.1,1965.2,1827.7
chart,32,4,0.9,2159.9,2050.4
chase,31,3.1,1.1,3242.8,5186.1
chasm,31,6.4,1.1,1854.3,1237.5
chaste,31,6.5,0.6,2066.4,1656
chat,30,4.3,1.1,1922.9,1195.8
cheap,31,3.8,1,1870.1,1412.6
cheat,30,4.1,0.8,1966.6,1766.5
check,32,3.7,0.9,2051.2,1341.5
cheek,30,2.9,0.9,2152.1,1719.2
cheep,31,4.7,1.7,2844.7,1817.7
cheer,31,3.5,1,2366.4,2333.2
cheese,32,2.7,0.9,1551.6,1040.5
chef,32,3.9,0.9,2097.6,1228.3
chess,31,4.2,0.8,1752.8,1452.5
chest,29,3.4,1.1,1860.6,1248.5
