word_english,aoa_M,RT_M,aoa_SD,RT_SD
anchor,4.48,2197,1.45,1887
ancient,4.79,2219,1.16,3012
android,6.03,1579,1.18,782
anew,5.70,1716,1.07,1071
angel,3.15,1892,1.14,1107
anger,3.79,1610,1.17,1665
angle,4.36,2352,1.41,1634
angry,3.30,1640,1.13,678
anguish,5.94,1631,1.07,1038
ankle,3.64,1904,1.37,1019
annals,6.24,1987,0.80,1187
annex,5.94,1746,1.10,1287
announce,4.94,1975,1.03,2661
annoy,4.18,1719,1.12,1214
answer,3.45,1826,1.01,994
ante,6.06,2017,1.08,1523
anthem,4.36,1895,1.39,1302
anthrax,6.00,1813,1.28,1855
antique,4.82,1716,1.15,1654
antsy,5.33,1535,1.32,629
anvil,5.76,1830,1.37,1745
anxious,5.06,1498,1.07,1058
any,3.33,1894,0.91,1161
apart,4.12,2138,0.98,2602
apex,6.21,1176,0.98,333
appeal,5.30,2010,1.02,2063
appear,4.33,1443,1.08,737
applaud,4.42,2159,1.11,2504
applause,4.36,1916,1.16,1062
apple,2.55,2368,1.04,3608
apply,4.85,1830,1.08,1624
appoint,5.33,2200,1.05,2235
approach,4.76,1722,1.17,1461
approve,4.21,2008,1.10,1376
apron,4.30,1654,1.29,1207
arbor,5.12,1877,1.35,1770
arcade,4.15,2085,1.28,1801
archive,5.48,1913,1.26,1247
arctic,4.73,2152,1.31,1414
ardent,5.97,1502,1.25,1202
argue,4.24,1743,1.26,1150
arise,5.12,2436,1.14,2469
armor,4.88,2860,1.26,7427
armour,5.09,1640,1.37,1089
army,4.09,2428,1.24,2203
arose,5.33,1688,1.16,1086
around,3.88,2626,1.16,2992
arouse,5.79,2109,1.03,3171
arrange,4.79,2059,1.39,1918
array,5.61,1555,1.18,1177
arrest,4.52,2060,1.10,1882
arrive,4.55,2011,1.06,1834
arrow,4.00,1979,1.04,1421
arson,5.94,1368,1.10,755
artist,3.85,2075,1.18,2223
ascend,5.58,1698,1.32,1070
aside,4.97,2946,1.41,5675
asleep,3.09,2126,1.23,1562
aspect,5.73,1824,0.89,1368
aspen,5.48,1809,1.31,1116
asphalt,5.15,1633,1.26,1077
aspire,5.55,1814,1.25,1574
assault,5.55,1619,1.05,1177
assert,5.45,2014,1.21,1834
assess,5.58,2535,1.19,2164
asset,5.67,1803,1.14,1319
assign,4.55,1822,1.23,1162
assist,5.03,1582,1.15,763
assume,5.09,1629,1.05,984
assure,5.15,1604,1.18,931
asthma,4.85,2097,1.16,1535
astral,6.27,1654,1.02,977
astray,5.88,1869,0.91,2201
astute,5.94,1408,1.04,1152
athlete,4.21,1613,1.23,523
atlas,4.79,2234,1.27,2946
atom,5.76,2311,1.08,2916
atone,6.03,1929,1.36,2760
attach,4.33,2245,1.05,2408
attack,4.06,3523,1.23,10854
attain,5.36,2112,1.24,1755
attempt,5.09,2025,0.98,2225
attend,4.30,2703,1.05,4969
attic,3.82,3316,1.27,8196
attire,5.36,1715,1.11,1003
attract,4.85,2226,1.14,2027
auction,4.94,2164,0.93,1685
audit,6.15,1322,1.04,631
aura,5.91,1639,0.89,936
author,3.91,1791,0.93,966
auto,4.12,1683,1.32,801
autumn,3.97,2319,1.33,1729
avail,5.76,1835,1.29,1634
avenge,5.48,2121,1.33,2363
avert,5.61,1753,1.24,1707
avoid,4.45,1816,1.07,1017
await,4.94,1733,1.30,982
awake,3.42,3253,1.41,5579
award,3.82,1999,1.11,1597
aware,4.45,2124,1.34,1993
away,3.64,2156,1.02,2344
awesome,3.88,1858,1.48,1239
awful,3.91,1836,1.09,1253
awhile,4.09,1647,1.01,1013
awkward,4.73,1715,1.29,925
