word_english,aoa_M,RT_M,aoa_SD,RT_SD
dentist,3.39,2303,1.30,1573
depart,4.82,3047,1.28,8243
depict,5.73,2075,1.15,2212
deploy,5.79,1539,1.00,996
deport,5.79,2634,1.00,2704
depot,5.48,1875,1.10,1403
depress,5.45,1990,1.04,1495
deprive,5.45,2359,0.98,2439
derby,5.30,2355,1.27,2525
derive,5.97,2229,1.27,2680
descend,5.33,1820,1.14,1334
descent,5.24,2152,1.10,1742
describe,4.45,1743,1.16,993
desert,3.73,2207,1.19,1310
deserve,4.52,2375,1.10,1584
design,4.58,1679,1.05,958
desire,5.06,1876,1.18,1529
desist,5.82,1708,1.30,1482
despair,5.27,1686,1.16,1033
despise,5.48,2095,1.00,1952
despite,5.09,1608,1.19,1125
dessert,3.45,1954,1.24,1013
destroy,4.27,2601,1.16,2189
destruct,5.21,2315,1.43,2062
detach,5.24,3030,1.10,5917
detail,4.64,2214,1.18,1941
detain,5.55,1478,1.14,609
detect,4.82,2072,1.06,2532
detest,5.76,1833,1.13,1188
detour,5.21,1815,0.94,1374
detox,6.09,1758,1.05,2187
device,5.00,2444,1.02,2879
devil,3.64,2116,1.32,2435
devise,5.58,1716,1.08,1075
devoid,6.00,1622,1.06,1338
devote,5.42,2110,1.21,2244
devour,5.27,1840,1.16,1357
devout,5.42,1633,1.34,1071
diaper,2.82,2583,1.30,2166
dictate,5.85,1614,0.90,973
diesel,5.12,2086,1.08,2025
diet,4.76,2067,1.12,1713
differ,4.88,1632,1.00,911
diffuse,5.94,2223,0.91,2161
digest,4.79,1890,1.32,1392
digit,4.30,1759,1.22,1066
dildo,6.15,2812,1.33,2225
diner,3.85,2092,0.97,1068
dinghy,6.09,1640,1.20,990
dinky,4.61,2394,1.24,2791
dinner,3.00,2284,1.20,2099
direct,4.88,1823,0.97,1281
dirty,3.45,1674,1.34,811
discard,5.18,2225,1.10,1994
disclose,5.52,1686,1.12,953
disco,4.73,2334,1.18,2344
discord,5.70,3118,1.21,4500
discount,4.91,1865,0.98,1277
discreet,5.52,1464,1.18,752
discuss,4.33,2241,1.02,2305
disdain,6.21,1706,1.01,1321
disease,4.39,1607,1.19,971
disgrace,5.03,1846,1.20,1683
disgust,5.03,1769,1.35,1151
dismal,5.70,1990,1.13,1276
dismiss,4.67,2282,1.09,1966
dispatch,5.73,1596,1.06,838
dispense,5.39,1971,1.11,2203
disperse,5.79,1956,0.97,1686
display,5.00,1863,0.99,1702
dispose,5.18,6727,1.33,25381
dispute,5.48,1949,1.04,1702
disrupt,5.03,1751,1.28,839
dissect,5.55,3355,0.92,5799
dissent,5.94,2257,1.13,3400
dissolve,5.00,2275,1.14,4021
dissuade,6.00,1738,1.00,1359
distant,4.73,3167,1.21,5264
distinct,5.42,3141,1.16,4720
distract,4.73,1700,0.87,1001
distress,5.30,1855,1.37,1950
district,5.36,1745,1.22,1162
disturb,4.88,1934,1.33,1659
ditto,4.94,1874,1.44,1417
ditty,5.82,2139,1.46,1591
diverse,5.48,3012,1.04,6033
divert,5.52,2357,1.23,3282
divide,4.42,2281,0.84,2031
divine,5.36,2529,1.39,3173
divorce,4.79,2032,1.27,1392
divulge,6.06,1504,1.08,899
dizzy,3.52,1831,1.01,1337
docile,5.97,1538,1.02,1369
docket,6.00,1433,1.26,726
doctor,3.06,2094,0.92,1750
doctrine,5.91,1849,1.09,1825
doing,3.27,2174,0.87,1709
dollar,3.24,2242,0.83,2735
dolphin,3.33,1927,1.16,1301
domain,5.52,1484,1.15,1075
donate,4.76,1403,1.12,533
donkey,3.03,1843,1.01,1020
donor,5.00,1872,1.05,1190
donut,2.97,2103,0.98,1526
doodle,4.00,1760,1.26,1059
doozy,5.15,1772,1.31,864
dormant,5.76,1625,1.08,1054
dorsal,6.03,1813,0.87,1124
dosage,5.70,2195,1.07,1991
double,3.88,1867,0.88,1514
doughnut,3.12,1924,1.24,1105
downtown,4.27,2086,0.95,1065
dowry,5.73,1288,1.33,496
dozen,4.06,1830,1.12,1318
dragon,3.15,2359,1.19,2241
drama,4.67,2243,1.15,1729
drastic,5.15,2166,1.31,1631
drawing,3.27,1859,1.41,1382
dreary,5.58,1481,1.11,761
dresser,3.85,2373,1.09,2133
dribble,4.24,2024,1.56,1358
drifter,5.73,1762,1.03,1471
drivel,5.94,1614,1.31,1080
drowsy,4.79,1973,1.24,1863
druthers,6.12,1720,1.09,1396
dryer,3.85,1926,1.12,1610
dual,5.00,1884,0.99,1616
duel,4.88,1749,1.15,1258
duffel,5.55,1883,1.11,2266
duly,5.97,1569,1.02,911
dummy,3.45,1797,1.29,845
dumpster,4.39,2097,1.14,1720
duress,6.06,2067,1.02,2442
during,4.12,2005,1.16,1825
duty,4.64,2290,1.18,3850
eager,4.88,2147,1.06,2555
eagle,3.30,1572,1.13,1069
early,3.36,2163,0.88,1728
earnest,5.70,1774,1.10,1281
earring,3.91,2050,1.36,1319
easy,3.39,1678,1.05,968
echo,4.21,1382,1.21,582
eclipse,5.36,2310,1.11,2766
edit,4.82,2147,0.93,3389
eerie,5.21,1596,1.36,857
effect,4.39,2119,1.14,1915
effort,4.64,1901,1.36,1344
either,3.88,1923,1.02,1626
eject,4.58,2180,1.17,1980
elbow,3.15,1771,1.19,1003
elect,5.09,1875,1.05,1030
elite,5.48,1720,1.15,1547
email,5.09,3268,1.16,5306
embark,5.58,1567,0.98,994
emblem,5.64,1290,1.20,514
embrace,5.12,1804,1.25,1024
emerge,5.39,1834,1.01,931
empire,4.94,2633,1.28,3358
employ,5.15,1860,1.20,1270
empty,3.42,1993,0.80,1585
encore,5.52,2074,1.18,2572
endorse,5.88,1930,1.11,2525
endure,5.18,1679,1.33,1017
enforce,5.03,1831,0.97,1165
engage,5.18,2179,1.15,1641
engine,4.00,1709,0.98,901
enhance,5.45,1869,1.13,1541
enjoy,3.94,1958,1.27,1677
enlist,5.55,2022,1.11,1582
enough,3.82,1434,1.29,560
enroll,4.91,1644,1.19,1342
ensign,6.15,1651,1.04,1227
ensure,5.52,1813,1.03,1530
enter,3.61,2033,1.11,1438
entice,5.76,1710,1.11,1135
entire,4.33,2147,0.92,2276
entrails,6.21,1522,1.07,1000
entrance,4.00,1604,0.98,782
entree,5.12,2221,1.17,2282
entry,4.58,1445,1.20,642
envoy,5.70,1895,1.16,1768
envy,5.88,1690,1.08,1332
enzyme,6.09,1658,1.17,1349
epic,5.42,1442,1.01,713
equal,4.09,1694,1.07,953
era,5.58,1901,1.14,1843
erase,3.39,2261,1.02,2285
erect,5.94,1894,1.04,1077
ergo,6.03,1462,1.13,885
ermine,6.24,1511,1.13,832
errand,4.64,1695,1.16,1052
error,4.55,1858,1.12,1890
escape,4.48,1481,1.29,790
escort,5.36,1977,1.05,1811
escrow,6.27,1276,0.98,537
essay,4.79,1452,0.98,492
essence,5.76,1759,0.98,1340
estate,5.30,1486,1.19,1180
esteem,5.30,2131,1.27,1719
ether,5.85,2093,1.26,2053
ethic,5.39,1554,1.29,973
ethics,5.70,2008,0.98,2009
ethnic,5.27,2484,1.13,3037
evade,5.67,2258,1.17,2206
even,3.73,1683,1.14,923
ever,3.36,2917,0.88,5964
every,3.45,2770,0.88,4493
evict,5.76,2131,1.01,1563
evolve,5.30,1436,0.95,603
exam,4.76,2024,1.25,1181
exceed,5.09,1822,1.11,1742
excel,5.24,1921,1.07,1766
except,4.61,2221,1.30,1456
excess,5.27,2006,1.11,1414
exchange,4.97,1936,0.94,1140
excite,4.03,1830,1.37,901
exclude,5.00,3126,1.17,4387
excuse,3.91,2142,1.00,1553
exempt,5.58,1843,1.16,1498
exert,5.58,1816,1.16,1917
exhale,4.48,1948,1.21,1245
exhaust,5.21,2105,1.16,2056
exile,5.70,1605,1.10,1209
exist,4.39,3458,1.11,10066
exit,3.33,2042,0.98,1266
expand,4.79,2147,1.11,1577
expect,4.61,1686,1.02,1339
expel,5.39,1795,1.22,874
expense,4.94,2525,1.20,2026
expert,4.79,1602,1.16,693
expire,4.70,1989,1.30,1835
explain,4.33,2069,1.27,1828
explode,4.64,1524,1.34,807
exploit,5.94,1558,1.01,1089
explore,4.03,3579,1.27,3544
export,5.48,1587,1.07,1111
expose,5.03,2022,1.12,2443
express,4.73,2292,1.13,3597
extend,4.85,2125,1.16,1750
extent,5.30,2336,1.11,2268
extinct,4.67,1774,1.03,1438
extort,5.85,1408,1.23,933
extra,4.12,1364,1.19,618
extract,5.21,2397,1.18,2532
extreme,4.39,1692,0.88,1012
fabric,4.27,1981,1.01,2563
facade,6.18,1648,0.83,1099
facial,4.94,1797,1.23,1164
faction,5.85,2532,1.18,1746
factor,4.64,2143,1.13,2113
failure,4.58,1857,1.11,1010
fairy,2.76,1849,1.14,746
falcon,4.52,2324,1.47,2140
fallow,5.85,1568,1.23,919
famine,5.36,1780,1.08,1696
famous,3.76,3060,1.04,6068
fancy,4.09,2398,1.36,2884
fanfare,5.82,1428,1.14,806
farewell,5.00,1705,1.35,1121
farmer,3.21,1956,1.18,1565
farther,4.33,2253,1.24,1623
fashion,4.33,1604,0.98,865
fatal,5.21,1710,1.07,840
father,2.48,2084,1.19,1071
fathom,5.94,1535,1.31,735
fatigue,5.30,2112,1.16,1729
faucet,4.33,1590,1.34,626
fauna,6.03,1304,1.21,670
favor,4.15,2020,1.22,1612
feather,3.30,1906,1.01,1222
feature,4.79,1941,1.22,1519
fecal,5.91,1628,1.12,1313
feces,5.64,1916,1.31,974
feeble,5.64,2509,1.28,5870
feeling,3.61,1619,1.17,648
feline,5.12,2528,1.40,4442
fellow,4.82,2298,1.20,2042
felon,5.48,1711,1.10,782
female,3.58,2114,1.15,1563
femme,6.09,1335,0.96,610
femur,5.88,1766,1.11,1347
fender,5.55,2113,1.22,2098
fennel,6.06,1403,1.14,673
ferret,4.70,1677,1.59,939
ferry,4.64,2440,1.43,2353
fertile,5.58,2198,1.14,2621
fester,5.70,1763,1.24,1347
festive,4.82,2045,1.40,1327
fetal,5.55,1844,1.20,1266
fetish,5.76,1978,1.01,2080
fetus,5.48,2190,1.21,1455
fever,3.73,1918,0.95,1294
fiber,5.24,2046,1.24,1676
fibre,6.18,1762,1.13,1324
fickle,5.58,1852,1.19,1076
fiction,4.24,2202,0.98,2592
fiddle,4.64,2134,1.29,2362
figment,5.94,1881,1.10,1232
figure,4.30,3391,1.34,8125
final,4.15,1860,1.02,1083
finance,5.30,1508,1.14,649
finesse,6.00,1845,1.15,964
finger,2.76,2592,0.92,2098
finish,3.70,2033,1.06,2263
finite,5.91,1777,1.00,1429
fiscal,6.06,2077,0.84,2693
fitness,4.64,2030,1.07,1224
fixture,4.94,1506,1.20,1088
flagrant,5.88,2029,1.22,1878
flannel,4.64,1973,1.45,1828
flavor,3.76,1870,1.24,1199
flier,5.12,2986,1.20,3330
flimsy,5.12,1731,1.14,1150
floozy,5.94,1863,1.29,1332
flourish,5.45,2112,1.18,1785
flower,2.88,1711,1.06,1003
fluent,5.58,2109,1.08,1941
fluid,4.06,2279,1.28,2407
flutter,5.09,2450,1.22,2385
flyer,4.61,1796,1.41,1030
focus,4.58,1819,1.30,1771
folder,3.82,1873,1.24,1312
follow,3.76,1776,1.16,1418
folly,5.64,2722,1.40,3360
fondue,5.91,1553,1.00,911
footage,5.03,2254,1.23,2710
football,3.21,1632,0.78,632
forbid,4.94,2043,1.35,2464
forego,6.15,1930,0.90,1356
forehead,3.36,2166,0.80,1147
foreign,4.97,1499,1.10,865
forest,3.61,1432,0.92,476
forfeit,5.15,1963,1.03,1333
forget,3.67,1891,0.87,1345
forgive,3.73,1953,1.02,1536
forgot,3.88,2064,0.95,1697
formal,4.97,1919,1.31,1813
format,5.33,2052,1.24,1367
former,5.24,1834,1.16,1219
forsake,5.82,2049,1.19,2263
forte,6.21,1854,0.87,2679
fortress,5.24,2281,1.19,2286
fortune,4.85,1706,1.30,1166
forum,5.91,1936,1.06,1342
forward,4.21,1816,0.97,1187
fossil,4.36,1670,1.02,954
fountain,3.85,2688,1.00,4123
foyer,5.82,3287,1.19,10869
fraction,4.85,2903,1.16,3009
fracture,4.82,1898,1.03,1812
fragile,4.61,2608,1.11,2861
fragment,5.36,1951,0.88,1569
frantic,5.39,1784,1.05,1039
freckle,3.82,1685,1.11,944
freebie,4.61,2012,1.37,1063
freedom,4.33,1609,1.16,1129
frenzy,5.64,1813,1.03,1294
friction,4.94,2605,1.25,2329
friendship,3.64,1819,1.02,889
frigid,5.30,1920,1.22,1607
frisky,5.45,1637,1.34,1171
frolic,5.42,1937,1.21,2019
frontier,4.91,2151,0.95,1726
frozen,3.27,1847,0.98,1211
fulfill,5.30,1831,1.14,1035
fumble,4.76,1473,1.33,881
function,5.24,2007,1.27,1699
fungus,5.09,1472,1.19,594
funnel,4.58,2582,1.33,2924
funny,3.06,1735,0.95,748
furlough,6.36,1492,0.95,1006
furnace,5.03,1950,1.06,1120
furnish,5.27,1733,1.13,1357
further,4.55,1599,1.12,842
fury,4.70,1741,1.48,934
fusion,5.94,2477,0.87,2228
futile,5.79,1562,0.93,759
futon,5.70,2075,1.16,1414
future,4.30,1743,1.08,952
gable,5.82,1885,1.24,1697
gadget,4.58,2234,1.14,2001
gala,5.88,1328,1.39,621
gallant,5.91,1588,1.03,1013
galley,5.88,2337,1.22,2463
gallon,4.24,2073,1.16,2254
gallop,4.33,2533,1.22,2127
gallows,5.91,1476,1.20,1017
galore,5.36,1653,1.14,895
gamble,5.18,1622,1.07,1228
gander,6.03,1572,0.97,1085
gangrene,6.27,1736,1.02,1365
gangster,5.09,1928,1.16,1249
garage,3.55,1815,1.12,1193
garbage,3.61,1595,0.96,718
garden,3.45,1879,0.80,1023
gargle,4.52,2677,1.18,2250
garland,5.61,1680,1.21,1742
garlic,4.12,2176,1.22,2762
garment,5.12,3135,1.05,5473
garnish,5.55,2173,1.14,2188
garter,5.82,2688,0.88,3988
gasket,5.94,2042,1.18,1541
gather,4.09,1959,0.94,1631
gator,3.97,1858,1.42,1046
gauntlet,5.79,1743,1.09,987
gavel,5.79,1793,1.43,1339
gazelle,5.06,1666,1.41,899
gazette,5.45,1823,1.18,1389
geezer,5.42,1508,1.36,792
gender,4.48,1558,1.13,588
genie,4.15,2332,1.51,2349
genius,4.39,1439,1.11,709
genome,6.33,1655,0.98,849
genre,5.42,2833,1.19,5412
genteel,6.03,2716,1.13,3292
gentile,5.09,2241,1.39,1876
gentle,3.82,2955,1.22,5169
gentry,6.06,1616,1.27,1228
gerbil,4.30,2091,1.32,2015
gesture,5.06,1739,1.18,1267
getting,3.30,1968,1.01,1666
ghetto,5.45,1693,0.87,763
giddy,5.24,1884,1.39,1427
giggle,3.30,1705,1.10,800
gimmick,5.76,5013,1.13,18810
ginger,4.67,2372,1.09,1898
giraffe,3.00,1699,1.00,841
girdle,5.91,1696,0.93,1462
gizmo,5.64,1920,1.42,2897
glacier,4.70,1774,1.11,720
glamour,4.67,2068,1.09,1588
glimmer,5.09,1890,1.24,1819
glitter,3.58,1832,1.23,967
glory,4.55,2268,1.12,2091
glucose,6.12,1714,0.97,903
glutton,5.91,1761,1.20,1190
gnarly,5.39,2504,1.24,4645
goalie,4.39,2142,1.22,1392
goatee,5.70,1664,1.07,802
gobble,4.06,1788,1.47,827
goblin,4.30,1945,1.44,1281
goddess,5.03,2256,1.33,2210
goggle,4.67,2654,1.03,1624
going,3.24,1786,1.10,1293
golly,4.91,2174,1.61,1868
gonna,3.55,2337,1.47,1696
gopher,4.42,1999,1.56,1343
gorgeous,4.39,5897,1.34,22152
gospel,4.55,2705,1.49,2923
gossip,4.88,1659,1.03,1146
goulash,5.36,1887,1.39,1183
gourmet,5.36,1716,1.22,1128
govern,5.27,1512,1.16,889
grammar,4.36,2085,1.08,1626
grandeur,5.76,2143,1.32,2683
granite,5.55,2030,1.11,2510
graphic,5.15,2642,1.00,4254
grateful,4.55,2244,1.28,2613
gravel,4.27,2521,1.46,1925
gravy,3.61,2031,1.11,1534
grievance,5.76,1508,1.08,1200
grievous,6.03,1678,0.94,1022
grisly,5.48,1913,1.45,1665
grizzly,3.82,1891,1.05,1160
groggy,5.39,1924,1.22,1258
groovy,4.76,2383,1.35,2631
grotesque,6.12,1767,0.93,1772
grotto,6.12,1694,1.12,1499
grovel,5.67,1567,1.27,1244
guidance,5.00,2077,0.99,2024
guitar,3.97,2072,1.12,1515
gully,5.73,1428,1.23,704
gumbo,5.24,1735,1.43,1033
gurney,5.67,1731,1.27,1063
guru,5.85,1795,1.03,1447
gusto,5.94,1705,1.10,1367
gutter,4.42,1669,1.24,1248
gymnast,4.45,1799,1.24,988
gypsy,5.39,1791,1.24,785
habit,4.61,1817,1.24,1236
haggard,5.91,2316,1.15,2821
haggle,5.55,1571,1.37,1173
hairdo,4.30,1857,1.34,859
hallway,3.67,2035,1.24,947
halo,4.82,1893,1.60,1118
hammer,3.91,1883,1.18,1348
hammock,4.79,1896,1.13,1811
hamper,4.45,2890,1.39,4579
hamster,3.39,1931,1.16,1889
handle,3.94,2172,1.24,1829
handy,4.70,2067,1.32,1777
hangar,5.55,1752,1.49,938
hanger,4.15,2197,1.33,1479
hanky,5.12,1455,1.69,715
happen,3.70,4536,1.12,12965
happy,2.85,1752,1.19,1414
harass,5.33,1896,1.14,1474
harbor,5.09,1557,0.95,681
hardy,5.64,2124,1.26,1767
harem,6.06,1741,1.14,1180
harlot,6.33,2067,0.80,1907
harness,5.00,3065,1.25,2964
harpoon,5.61,1689,1.26,1217
harvest,4.52,1888,1.15,1405
hassle,5.06,2086,0.97,2057
hatchet,5.27,2280,1.11,2862
haven,5.70,1706,1.41,884
havoc,5.88,1545,1.13,1151
hazard,4.85,1730,1.19,1261
hazel,4.97,1775,1.29,1247
heathen,6.03,1989,1.13,1309
heaven,3.45,1883,1.27,1039
heavy,3.85,1537,1.45,772
hectic,5.39,2949,1.16,2256
heifer,5.76,1631,1.29,1183
heinous,6.09,1542,1.05,1038
heiress,5.82,1757,1.08,1163
heirloom,5.79,1322,1.18,684
hello,2.24,2121,1.18,1565
helmet,3.36,2024,0.80,1544
hemlock,6.12,2021,1.18,3044
herald,5.45,2513,1.29,3001
heresy,5.61,1592,1.39,933
hermit,4.91,1712,1.46,1123
herpes,6.24,1577,0.72,658
herring,5.88,1908,1.19,1715
hiccup,3.76,1486,1.48,720
hickey,5.67,2215,1.08,1530
hijack,5.70,1634,1.04,823
hippie,4.91,1798,1.37,1040
hippo,3.21,1922,1.26,1398
hippy,4.73,1968,1.18,1554
hither,5.73,1839,1.28,1153
hobby,4.73,1940,1.21,1450
hobo,4.61,1774,1.08,1162
hockey,4.09,1679,1.18,821
hokey,5.27,2537,1.66,3047
holler,4.64,1984,1.60,1322
holster,5.12,2345,1.40,3138
holy,3.85,1736,1.12,1160
homage,5.94,2137,1.29,3472
homely,5.18,1696,1.33,1077
honest,3.82,1826,1.11,1885
honey,3.21,2283,1.03,2375
honor,4.79,2358,1.29,2384
hoodlum,5.64,2247,1.15,1758
hooky,5.36,2198,1.37,1546
hoopla,5.73,2715,1.28,3804
hooray,3.52,2089,1.29,1578
hormone,5.76,1694,0.88,890
hornet,4.27,1671,1.58,764
horrid,5.30,1754,1.19,1136
horror,4.15,1714,0.89,906
hostage,5.06,2528,1.13,2313
hostel,5.58,1389,1.22,624
hostess,5.48,2281,1.00,2533
hostile,5.45,1441,1.07,757
hotel,3.73,1889,1.11,1287
hover,5.48,2276,1.15,2736
huddle,4.70,2386,1.14,2716
hula,4.76,2270,1.47,1579
human,3.67,1915,1.26,1068
humane,5.52,3036,1.09,5122
humble,5.09,1793,1.05,1346
humbug,5.09,2845,1.48,5825
humid,4.76,1736,1.20,999
humor,4.33,1678,1.16,839
hundred,3.70,2476,1.33,1785
hunger,3.21,1843,1.35,1072
hungry,2.48,1569,0.76,733
hurdle,5.06,1978,1.10,1118
hurrah,5.00,1646,1.80,1202
hurray,3.91,2117,1.71,1140
hurry,3.36,1652,1.05,740
husband,3.82,1963,0.98,940
hussy,6.12,1718,0.97,1011
hustle,5.30,1939,1.19,1986
hybrid,5.76,1975,1.19,1912
hydrant,4.94,1621,1.42,658
hygiene,5.15,2037,1.33,1297
hyper,4.18,1735,1.28,1321
icing,3.82,2093,1.19,2081
icon,5.09,1514,1.27,874
ideal,5.00,2001,1.17,1844
idle,5.18,2537,1.33,2653
idol,4.79,2102,1.08,1995
ignite,5.33,1802,1.05,1018
ignore,3.91,1842,1.03,1584
image,3.88,2741,1.05,3641
immense,5.88,1723,1.13,1339
immune,5.33,1518,0.98,792
impact,4.88,2529,1.18,2589
impart,5.61,1602,1.18,1024
impede,6.12,1383,1.03,886
implant,5.58,1961,1.08,1009
implore,6.18,1812,0.91,1619
imply,5.64,2116,1.09,2114
import,5.48,1672,1.10,995
impose,5.42,1743,1.34,1131
impound,5.79,1511,1.00,791
impress,4.85,1646,0.92,1754
imprint,5.58,1946,1.08,1731
improve,4.64,5211,0.91,16639
impulse,5.52,2225,1.06,1918
inbred,6.00,1498,0.86,679
incense,5.64,2587,1.28,2444
incest,6.06,2428,1.11,1974
include,4.55,2654,1.00,3032
income,5.36,1972,1.16,1351
increase,4.64,2035,1.01,1342
incur,6.18,1751,0.94,1662
indeed,4.97,1975,1.16,1278
index,4.88,2212,1.06,1822
indict,6.15,1897,0.94,1200
induce,5.52,1962,1.18,1647
indulge,5.52,2330,1.18,2190
inept,6.12,1601,1.23,1427
infant,4.00,1775,1.43,1071
infect,4.82,1681,1.06,959
infer,5.58,1649,1.08,1517
inflict,5.33,1671,1.27,1018
inform,5.00,1711,1.02,1228
ingrate,5.97,1818,1.11,1707
inhale,4.79,2331,1.37,2205
inject,5.12,1940,1.25,1417
injure,4.88,1989,1.45,1353
inmate,5.73,2205,1.20,1584
innate,5.73,1528,1.25,861
input,5.09,1824,0.95,1095
inquest,6.09,1893,0.99,1238
inquire,5.52,2138,1.33,2109
insane,4.67,2037,1.31,1716
insect,3.24,1853,1.31,851
insert,4.64,2031,1.29,2242
insight,5.45,2396,1.07,2216
insist,5.15,1683,1.09,1173
inspect,4.82,2457,1.40,3681
install,4.85,1574,1.05,1029
instance,5.09,3301,1.08,3726
instant,4.82,2403,1.15,2866
instead,4.45,1628,1.19,758
instinct,5.09,1887,1.14,1376
instruct,5.06,2199,1.10,3401
insult,4.82,1611,1.12,782
insure,5.45,2270,1.16,1403
intact,5.36,1912,1.16,1280
intend,5.09,3026,1.24,5604
intense,5.24,1911,1.21,1532
intent,5.24,2683,1.16,4296
intern,6.06,1757,0.84,1321
into,3.52,2153,1.10,1708
intrigue,5.55,1864,0.99,1556
invade,4.94,1793,1.23,1630
invent,4.73,1870,1.29,1930
invest,5.52,2194,1.12,3506
invite,4.15,1694,1.05,921
invoice,5.73,3034,1.23,5335
invoke,5.76,1519,1.08,1151
involve,4.85,3812,1.02,8871
inward,5.18,2105,1.18,1796
irate,5.97,2024,1.05,2136
iris,5.30,1832,1.22,1130
iron,4.27,1999,1.19,2127
island,3.67,2825,0.94,2784
issue,4.85,2170,0.98,1794
item,4.03,2478,1.17,3890
itself,4.39,1897,1.22,1795
jackal,5.64,1847,1.42,1645
jacket,3.27,1611,1.24,911
jaguar,3.82,1960,1.54,1367
jargon,6.12,1356,1.00,859
jasmine,5.39,1944,1.39,930
jasper,5.55,2193,1.33,2275
java,5.73,1759,1.17,1038
jealous,4.27,2083,1.24,2084
jelly,2.94,1614,0.86,880
jersey,4.42,4032,1.19,6241
jester,5.58,1682,1.19,1034
jewel,4.06,1622,0.93,875
jiffy,4.36,1731,1.41,912
jiggle,3.85,2532,1.06,1972
jingle,3.91,1905,1.23,1111
jockey,5.21,2075,1.16,1003
jolly,3.70,1748,1.15,1031
journal,4.30,2125,1.08,1984
journey,4.55,1940,0.74,1647
judgment,5.15,1459,1.15,852
judo,5.55,1289,1.42,1008
juggle,4.15,2642,1.28,4150
jumbo,4.48,1870,1.24,1526
juncture,6.03,1599,1.18,1104
jungle,3.48,1795,1.10,984
junior,4.79,2047,1.13,1547
junket,6.03,2131,1.07,1507
jury,5.27,2377,1.13,2510
justice,5.03,1892,1.12,1769
kaput,5.73,1504,1.38,1028
karma,5.64,2365,1.09,2054
kazoo,5.36,1816,1.50,1319
kebab,5.94,1808,1.07,1102
keister,5.97,1373,1.30,657
kennel,4.67,2436,1.23,2560
keno,6.15,1902,1.18,1694
kernel,4.73,2056,1.29,1714
ketchup,2.85,1725,1.16,676
kettle,4.58,2008,1.33,1053
khaki,5.15,2087,1.33,1275
kibble,5.48,1710,1.31,1101
kidney,4.97,1804,1.16,1447
kingdom,4.15,2449,1.28,2821
kitchen,2.91,1853,0.98,1141
kitten,2.36,1925,0.98,955
kitty,2.36,1962,1.13,1490
kiwi,4.18,1660,1.23,1351
knowledge,4.58,2158,1.02,2275
knuckle,4.12,1736,1.37,973
kosher,5.61,2649,1.54,3373
label,4.52,1990,0.79,1013
labor,4.82,2787,1.12,2380
lackey,5.94,1650,1.21,1367
lacrosse,5.67,1834,1.05,1066
lactose,5.94,1456,1.13,1050
ladder,3.94,2145,1.08,1997
laden,6.00,1521,1.06,1416
ladle,5.06,1926,1.43,1897
lady,3.21,1573,0.97,693
lagoon,5.39,1551,1.22,812
lament,5.58,1846,1.22,1789
language,4.00,1785,0.98,1262
larvae,5.76,1865,1.19,1544
larynx,6.09,2265,1.02,2871
laser,4.55,2653,1.00,3730
lasso,5.00,1641,1.35,1042
latent,6.03,1819,0.97,1508
later,3.79,1743,1.06,926
latex,5.52,1670,1.18,1261
lather,5.15,1938,1.28,1218
latrine,6.12,1747,1.18,1274
latter,4.85,2066,1.52,1567
launder,5.85,1780,1.33,1391
laundry,4.12,1865,1.24,1671
lava,4.06,2014,1.12,2873
lavish,5.70,1585,1.10,1348
lawyer,5.00,1901,1.08,1322
layer,4.64,1981,1.26,1099
lazy,3.97,1769,1.09,1144
leary,6.06,1661,1.16,1043
leather,4.70,3063,1.05,3463
lecture,5.36,2037,1.05,1416
ledger,6.03,2035,1.13,2704
leeway,5.70,1596,1.04,1789
legal,4.88,1324,0.93,697
legend,4.70,2143,1.05,3126
legion,5.39,3554,1.22,9144
leisure,5.36,2054,1.11,2443
lemon,3.36,2198,1.11,2581
leopard,3.64,1807,1.44,1441
leper,5.33,1834,1.30,1100
lesion,5.55,1873,1.28,1520
lesson,3.91,1496,1.06,645
lethal,5.48,1566,1.31,986
letter,3.76,2022,1.04,1389
lettuce,3.36,1909,0.88,1221
level,4.09,1677,1.01,1110
lever,4.88,2088,1.31,1482
liar,3.48,1929,0.95,1027
libel,6.12,1624,0.97,905
licence,4.97,2240,0.98,1881
license,5.24,2227,0.91,1875
lilac,4.61,2104,1.37,1720
lilly,4.15,2077,1.63,1455
lily,4.36,1769,1.46,944
limber,4.97,1814,1.10,1438
limbo,4.39,2003,1.29,1165
limit,4.55,2317,1.23,2890
linen,5.18,2585,1.07,5297
linger,5.55,1569,1.08,1013
lingo,5.36,1901,1.11,1430
linguist,6.15,1795,0.97,2823
lining,4.88,2409,1.23,2264
lion,2.94,2405,1.23,3670
liqueur,6.18,1808,0.87,1170
liquid,3.76,2019,1.13,1629
liquor,5.79,1687,1.06,932
listen,3.03,2382,1.21,1651
liter,4.58,1899,1.17,1387
litter,4.24,2418,1.16,3108
little,3.00,1547,1.17,817
liver,4.76,2127,1.28,2009
lizard,3.42,1856,1.08,1560
llama,4.33,1603,1.65,875
lobby,4.52,2387,1.00,2198
lobster,3.88,1763,1.14,1019
local,4.52,1990,1.21,1077
locate,4.30,2109,1.11,2123
locker,4.24,2217,0.98,1903
locket,4.18,1732,1.06,1122
locust,5.06,1651,1.39,1445
logic,5.21,1575,1.18,934
logo,5.03,2353,1.12,2326
lonesome,4.94,1932,1.15,1318
lookout,4.03,2553,1.17,2686
loopy,4.82,1610,1.23,1037
