"file","word_column","variable"
"Abdaoui2017.csv","word_french","polarity"
"Abdaoui2017.csv","word_french","joy_yesno"
"Abdaoui2017.csv","word_french","fear_yesno"
"Abdaoui2017.csv","word_french","sadness_yesno"
"Abdaoui2017.csv","word_french","anger_yesno"
"Abdaoui2017.csv","word_french","surprise_yesno"
"Abdaoui2017.csv","word_french","disgust_yesno"
"Alario1999.csv","word_spanish","name_agreement_h"
"Alario1999.csv","word_spanish","name_agreement_p"
"Alario1999.csv","word_spanish","image_agreement_mean"
"Alario1999.csv","word_spanish","image_agreement_sd"
"Alario1999.csv","word_spanish","familiar_mean"
"Alario1999.csv","word_spanish","familiar_sd"
"Alario1999.csv","word_spanish","complexity_mean"
"Alario1999.csv","word_spanish","complexity_sd"
"Alario1999.csv","word_spanish","variability_mean"
"Alario1999.csv","word_spanish","variability_sd"
"Alario1999.csv","word_spanish","aoa_mean"
"Alario1999.csv","word_spanish","aoa_sd"
"Alario1999.csv","word_spanish","f"
"Alario1999.csv","word_spanish","verbal_association"
"Alario1999.csv","word_spanish","p"
"Alario1999.csv","word_spanish_modal","name_agreement_h"
"Alario1999.csv","word_spanish_modal","name_agreement_p"
"Alario1999.csv","word_spanish_modal","image_agreement_mean"
"Alario1999.csv","word_spanish_modal","image_agreement_sd"
"Alario1999.csv","word_spanish_modal","familiar_mean"
"Alario1999.csv","word_spanish_modal","familiar_sd"
"Alario1999.csv","word_spanish_modal","complexity_mean"
"Alario1999.csv","word_spanish_modal","complexity_sd"
"Alario1999.csv","word_spanish_modal","variability_mean"
"Alario1999.csv","word_spanish_modal","variability_sd"
"Alario1999.csv","word_spanish_modal","aoa_mean"
"Alario1999.csv","word_spanish_modal","aoa_sd"
"Alario1999.csv","word_spanish_modal","f"
"Alario1999.csv","word_spanish_modal","verbal_association"
"Alario1999.csv","word_spanish_modal","p"
"Allen2014.csv","word_english","picture_naming"
"Allen2014.csv","word_english","cognate_status"
"Allen2014.csv","word_english","aoa_mean_japanese_l1"
"Allen2014.csv","word_english","familiar_mean_english_l2"
"Allen2014.csv","word_english","concrete_mean_japanese_l1"
"Allen2014.csv","word_english","number_trans_l1_l2"
"Allen2014.csv","word_english","number_trans_l2_l1"
"Allen2014.csv","word_english","number_meaning_l1"
"Allen2014.csv","word_english","number_meaning_l2"
"Allen2014.csv","word_english","phonological_similarity"
"Allen2014.csv","word_english","semantic_similarity"
