unigram,unigram_freq
останній,8106
скажіть,8066
сім,8059
забув,8043
кров,8041
зброю,8037
новини,8029
казати,8023
прийшла,8010
к,8000
жінки,7999
води,7996
нa,7990
єдиний,7974
шлях,7967
історія,7946
годин,7944
знайшла,7942
неможливо,7930
їхати,7912
из,7880
дитину,7870
поїхали,7840
чекає,7832
сильно,7831
батьки,7830
школи,7818
субтитрів,7818
бачите,7802
місяць,7794
боляче,7776
зроби,7761
дивіться,7750
машина,7725
вранці,7701
слухайте,7698
світло,7695
вирішив,7686
е,7684
таки,7671
джо,7661
нащо,7660
друзів,7650
леді,7637
жаль,7632
буває,7609
години,7598
они,7593
вперше,7580
повинна,7572
виходить,7567
сідай,7563
зрозуміти,7561
хочемо,7561
велика,7556
сестра,7550
доктор,7549
дівчата,7521
найкращий,7508
допоможи,7500
мали,7498
грати,7491
повірити,7474
поліції,7473
повернуся,7468
бляха,7451
перш,7443
мeнe,7441
думаєте,7439
моїй,7421
побачимося,7393
забрати,7376
проблем,7365
обіцяю,7343
зробимо,7311
справжній,7305
чтобы,7267
міста,7262
своєму,7249
говорив,7243
спершу,7241
звуть,7230
людину,7219
смішно,7197
одному,7194
народ,7181
машини,7164
забудь,7163
прийде,7157
намагався,7153
отримав,7145
одразу,7142
підемо,7129
ноги,7126
ох,7122
гірше,7116
ей,7105
дам,7104
хороший,7088
допоможе,7076
зустріч,7074
жодних,7069
більш,7065
весело,7039
деякі,7034
роблять,7027
гадаєш,7026
живий,7014
хлопче,7007
джон,6998
всё,6995
їсти,6987
тисяч,6979
трясця,6977
непогано,6971
перше,6970
іншим,6969
вогонь,6967
твоєї,6964
ненавиджу,6957
кінця,6954
повернути,6950
школі,6940
показати,6937
крім,6936
чувак,6928
пощастило,6909
впевнена,6908
раптом,6901
бога,6895
синку,6895
вийти,6890
хорошо,6868
певно,6860
побачив,6857
йдемо,6849
спосіб,6849
історії,6841
ані,6838
думати,6837
дивися,6813
когда,6812
якась,6794
набагато,6794
кожного,6787
твоїх,6787
зрозуміла,6773
людям,6772
брата,6764
брате,6729
есть,6721
лікарні,6719
the,6717
винен,6713
любиш,6705
таку,6702
наше,6698
заспокойся,6664
особливо,6656
намагаюся,6637
вигляд,6618
якісь,6618
отримати,6615
ходи,6583
минулого,6572
будете,6569
взяв,6565
відповідь,6556
думку,6552
місті,6549
нашої,6537
вісім,6532
чую,6510
серед,6507
мило,6482
місяців,6477
відомо,6477
щастя,6475
король,6471
працюю,6469
сім'я,6450
чекати,6441
цілий,6406
зазвичай,6392
принаймні,6390
кто,6382
говориш,6377
здесь,6376
сім'ї,6374
спасибі,6360
пан,6360
команда,6360
вийшло,6356
завдяки,6351
отак,6346
вибір,6345
поїхати,6342
дому,6339
поговоримо,6332
моєю,6325
розповісти,6319
вулиці,6318
своєї,6314
наскільки,6306
тримайся,6299
ідіть,6298
менше,6294
вбили,6292
землю,6288
звучить,6281
наприклад,6267
нi,6263
покажи,6250
вечора,6237
стало,6227
майбутнє,6216
волосся,6207
дізнатися,6206
вважаю,6201
любов,6191
панове,6188
почав,6187
чули,6170
хлопчик,6168
мертвий,6161
твоїм,6148
жінок,6140
такою,6130
дивитися,6128
жодного,6122
tи,6111
врятувати,6110
голос,6104
матері,6097
піде,6092
візьму,6081
значення,6079
замовкни,6072
історію,6064
пару,6054
фільм,6050
почуття,6045
типу,6042
момент,6036
існує,6034
ньому,6019
страшно,6019
одним,6012
сили,6010
боку,5997
дозвольте,5994
годину,5978
лікар,5975
стривай,5974
другий,5969
спробуй,5965
р,5964
виглядає,5961
зміг,5954
чути,5954
знайдемо,5943
померла,5937
щодня,5924
только,5924
в'язниці,5920
частина,5916
якої,5912
знайду,5902
ввечері,5900
был,5886
кімнаті,5860
ваших,5859
гра,5859
випадок,5853
перша,5846
тижня,5839
чогось,5838
завгодно,5833
нікуди,5831
весілля,5821
дороги,5806
станеться,5800
капітане,5784
підеш,5783
маму,5783
початку,5771
тижні,5758
тата,5756
зможемо,5741
зупинити,5739
you,5720
крові,5717
чуваче,5717
спробувати,5704
навколо,5698
голова,5675
відпусти,5669
брати,5661
подарунок,5655
еге,5649
мільйонів,5640
было,5616
людини,5614
втратив,5611
своєю,5604
їхні,5601
прекрасно,5585
хороша,5579
подивитися,5567
купити,5567
просимо,5563
робимо,5546
гаррі,5527
маленький,5526
нові,5525
змінити,5524
зачекайте,5521
дівчину,5520
приїхав,5518
пора,5518
самого,5512
казали,5512
жахливо,5508
матір,5507
останні,5491
стала,5491
джек,5485
почали,5484
померти,5480
может,5477
місяці,5467
y,5466
назавжди,5461
ніяких,5460
цілком,5453
рано,5449
нова,5443
завдання,5430
працював,5418
секунду,5413
мами,5412
мить,5398
говорили,5393
відчуття,5388
стоп,5388
вся,5373
якою,5372
сан,5372
одяг,5369
всередині,5362
вихід,5359
тeбe,5354
вдалося,5350
літак,5347
випити,5335
людьми,5330
розкажи,5328
правий,5316
проте,5315
їдемо,5311
пістолет,5300
покажу,5291
звідти,5291
зможе,5289
право,5286
послухайте,5282
стає,5276
видно,5273
ласкаво,5270
безпеці,5267
клас,5246
подивися,5245
іще,5242
чекайте,5239
оскільки,5230
обов'язково,5230
taк,5228
шукати,5221
довелося,5220
відео,5209
дозволь,5199
віддай,5193
легше,5193
ніяк,5191
зробиш,5186
гру,5184
зв'язок,5183
схожий,5177
замість,5166
допомогу,5152
увесь,5146
хлопців,5146
власне,5145
душі,5141
нормі,5134
кажучи,5127
нове,5125
батьків,5121
повір,5121
почему,5115
прийти,5110
вот,5107
залишити,5105
думає,5101
вночі,5097
стосунки,5093
своїми,5092
рахунок,5088
допоможу,5087
трьох,5079
всьому,5076
дівчинка,5071
роботі,5070
докторе,5070
корабель,5069
окрім,5063
джоне,5058
благаю,5056
трапилося,5054
сша,5047
нового,5045
подумала,5039
секс,5038
єдина,5035
своїй,5031
почати,5027
быть,5020
забагато,5018
повністю,5017
сподобається,5007
сон,5000
облиш,4996
йдеш,4994
вашої,4990
воду,4988
людиною,4987
голові,4978
бізнес,4978
повернеться,4977
побачиш,4972
об,4964
мусиш,4961
глянь,4950
жінку,4944
маленька,4936
дупу,4934
обох,4931
великі,4927
головне,4926
правила,4925
тієї,4920
чоловіком,4913
настільки,4910
пояснити,4908
вода,4898
руках,4895
вбивство,4893
мем,4892
мила,4891
мамою,4886
бажання,4861
вставай,4861
думки,4855
капітан,4853
спитати,4853
двадцять,4849
абсолютно,4848
милий,4838
наступний,4834
забирайся,4825
сто,4824
хвилину,4824
сонце,4808
батьком,4790
почути,4787
силу,4786
секунд,4784
со,4779
компанії,4777
могу,4771
іти,4762
тримати,4748
робили,4737
життям,4735
машині,4726
такому,4721
біллі,4720
війни,4716
іншому,4712
ха,4702
хвилини,4701
мадам,4697
джеку,4684
зустрітися,4681
нужно,4678
твоїй,4663
подивіться,4661
часи,4649
го,4640
цією,4639
дружину,4638
знадобиться,4637
очевидно,4636
богу,4623
будет,4613
гарні,4610
разі,4601
їду,4599
вийшов,4593
востаннє,4593
заходь,4592
приїхали,4589
друзями,4584
нашому,4583
to,4581
ближче,4576
погляньте,4567
біль,4564
біжи,4563
їжу,4562
авто,4562
бери,4559
ключ,4557
захистити,4556
жарт,4541
подумати,4541
усього,4540
виглядаєш,4538
лос,4535
іде,4527
вірно,4526
бувайте,4523
зробить,4520
увага,4516
дев'ять,4514
вб'ю,4513
hi,4508
сем,4501
дали,4496
дівчат,4478
запитання,4478
вечерю,4473
их,4472
поряд,4471
дорогу,4462
справжня,4456
прийом,4454
тіла,4451
чоловіки,4445
залишитися,4445
ладно,4445
поліцію,4444
забула,4442
сила,4428
короля,4421
згоден,4413
шукаю,4412
вашому,4410
йдіть,4407
залишив,4406
битися,4404
тaк,4403
ній,4390
можливість,4389
слава,4387
бік,4386
робила,4381
більшість,4379
небезпечно,4373
інша,4370
почекай,4368
музика,4367
где,4366
їдь,4350
відколи,4344
хочеться,4339
крок,4338
he,4338
якій,4336
менi,4325
взяли,4320
днем,4318
прокляття,4317
пити,4312
зник,4309
чоловіків,4309
уваги,4303
складно,4300
поїхав,4297
живу,4297
поїду,4296
ах,4295
вниз,4291
навряд,4291
зрештою,4288
вистачить,4265
вважає,4260
говорила,4255
комусь,4254
супер,4249
сидіти,4247
війна,4246
дo,4245
ану,4241
перевірити,4240
президент,4239
плани,4237
почнемо,4234
сину,4229
сідайте,4228
говори,4219
крізь,4215
голови,4214
говорю,4213
нову,4211
дорозі,4208
найкраще,4203
збираюся,4199
першим,4198
донька,4195
зв'язку,4194
сейчас,4187
вирішили,4184
вечірку,4182
ее,4180
генрі,4178
стали,4174
еще,4173
безпеки,4171
тоні,4170
дає,4164
обидва,4162
потому,4161
удар,4160
розповів,4159
лі,4158
купив,4153
відразу,4151
спокій,4147
першого,4147
головний,4146
джиммі,4142
зброя,4139
думали,4138
втекти,4136
вірити,4135
вважаєш,4131
провести,4127
причина,4120
тижнів,4119
заходьте,4118
ніщо,4114
різдво,4105
чином,4104
різниця,4104
чем,4104
написав,4102
познайомитися,4100
родина,4100
том,4090
подруга,4087
люблять,4086
просив,4075
сучий,4075
чекаю,4074
кімнату,4070
серця,4066
будьте,4059
сім'ю,4058
докази,4050
подивимося,4049
дядько,4045
неправильно,4039
дала,4038
подумай,4037
подивись,4031
тисячі,4030
увагу,4028
твоєю,4027
слухаю,4027
жартуєш,4020
спасибо,4013
кимось,4010
дізнався,4009
єдине,4008
вина,4000
їде,3999
или,3999
вирішила,3993
скажете,3993
команди,3993
помилка,3992
знов,3985
щасливий,3983
джей,3983
другом,3975
кіно,3974
яйця,3974
дочка,3968
повітря,3964
очень,3957
поганий,3956
школу,3947
шляху,3941
ледь,3936
думка,3932
особисто,3928
ключі,3916
вечірка,3916
нашим,3910
купа,3910
сюрприз,3906
мері,3905
пройти,3902
потрібне,3900
поїдемо,3900
добра,3897
розслабся,3896
зa,3894
лиш,3892
називається,3892
неправда,3889
знайди,3888
цими,3882
мамі,3880
земля,3878
денні,3876
значно,3874
вгору,3871
думай,3870
томмі,3867
родини,3859
самий,3859
нумо,3853
написано,3845
стояти,3845
віриш,3837
побачимо,3836
обід,3833
забути,3827
приніс,3820
зайти,3819
ходити,3819
гадки,3819
гарне,3808
