"","term","semd","prop"
"1","смішний",0.38049347995879,0.0110271927964374
"2","абсурдний",0.363466890545316,0.000326248307586904
"3","інцидент",0.401480291963959,0.0100973851198147
"4","аварія",0.410866607740132,0.0117612514885079
"5","потяг",0.404148272093525,0.0231962546694289
"6","автобус",0.434229532072365,0.0277963558064043
"7","фірма",0.384030479125011,0.00760158556677487
"8","агентство",0.448261071965889,0.00694908895160106
"9","менеджмент",0.372709191146973,0.00107661941503678
"10","адміністративний",0.428912874338814,0.00040781038448363
"11","гормон",0.496621798518188,0.000587246953656428
"12","адреналін",0.381665847388387,0.00350716930655922
"13","число",0.461024178610937,0.0122179991191296
"14","адреса",0.401597175059084,0.0198358971012838
"15","термінал",0.408501789689655,0.00269154853759196
"16","аеропорт",0.394136039010934,0.0157741056718268
"17","жест",0.444876135502995,0.00706327585925648
"18","акт",0.448259095171658,0.0108640686426439
"19","тригер",0.375874471019967,0.000456747630621666
"20","активувати",0.410252416822598,0.00352348172193857
"21","автор",0.456721936869215,0.0172095982252092
"22","актор",0.393320634350356,0.0129031205650621
"23","голос",0.453715961989476,0.0740094285760893
"24","акцент",0.423664711948245,0.0102768216889875
"25","кут",0.443044730934388,0.0201947702396294
"26","алея",0.418063214611181,0.00122343115345089
"27","мотив",0.446156250891351,0.0095590754122963
"28","алібі",0.356578960946895,0.00924913952008874
"29","браво",0.421365702584646,0.0258062411301241
"30","альфа",0.443751070679047,0.0101789471967114
"31","африка",0.442727804212612,0.00396391693718089
"32","америка",0.446961807481014,0.0167039133484495
"33","аутопсія",NA,0
"34","аналіз",0.398506817699383,0.0158882925794822
"35","карати",0.397840843997005,0.00482847495228618
"36","арешт",0.396713304371547,0.0149911097336183
"37","легіон",0.417901486382267,0.00176174086096928
"38","армія",0.426569583456246,0.0271275467758511
"39","вена",0.502544392648747,0.000978744922760713
"40","артерія",0.362419954433712,0.001370242891865
"41","кавалерія",0.4323949021071,0.0018759277686247
"42","артилерія",0.405786578728033,0.00161492912255518
"43","інженер",0.392603305349872,0.00603559369035773
"44","архітектор",0.390040928912695,0.00331142032200708
"45","вторгнення",0.421746100330211,0.0116796894116112
"46","атакувати",0.468078118065633,0.00765052281291291
"47","тихоокеанський",0.424293939382659,0.000489372461380357
"48","атлантичний",0.436036320196243,0.00122343115345089
"49","середовище",0.420784927582374,0.00497528669070029
"50","атмосфера",0.455811521627052,0.00771577247443029
"51","натовп",0.437599631775984,0.0153173580412052
"52","аудиторія",0.423582567154347,0.00336035756814512
"53","дідусь",0.385297479079616,0.0257899287147448
"54","бабуся",0.385504713432051,0.0365561228651126
"55","шовк",0.396953240133099,0.00305042167593756
"56","бавовна",0.384105793624916,0.00075037110744988
"57","бідний",0.395933195995996,0.0153826077027225
"58","багатий",0.408979808291987,0.0147301110875487
"59","скарбниця",0.422451295134496,0.00115818149193351
"60","багатство",0.447904341127935,0.00776470972056832
"61","туга",0.390390893487974,0.00185961535324536
"62","бажання",0.409160466523433,0.059915501688335
"63","клуб",0.442699724453566,0.037045495326493
"64","бар",0.425474708563252,0.0283183530985433
"65","полк",0.41454067393091,0.00295254718366148
"66","батальйон",0.424959564368624,0.00252842438379851
"67","дорослий",0.395806491956561,0.0171932858098299
"68","родитель",0.422128502223492,0.000179436569172797
"69","мама",0.428710366406711,0.245436601797628
"70","батько",0.392595739040064,0.229825620279595
"71","одкровення",0.383280151234941,0.00277311061448869
"72","бачення",0.425738478380682,0.00926545193546808
"73","нерозумний",0.3943947128485,0.000799308353587916
"74","безвідповідальний",0.370749867839488,0.00122343115345089
"75","гарантія",0.400296800987946,0.00327879549124839
"76","безпека",0.40711896536644,0.00897182845863987
"77","сейф",0.409661719360102,0.00977113681222779
"78","безпечний",0.407878235004374,0.0080093959512585
"79","прямий",0.412222419494151,0.0111413797040928
"80","безпосередньо",0.417391185726226,0.00639446682870333
"81","безпорадний",0.398382808346563,0.00159861670717583
"82","безсилий",0.418094731787833,0.00213692641469422
"83","стадіон",0.413787438832675,0.00482847495228618
"84","бейсбол",0.436094589122222,0.00833564425884541
"85","тост",0.423142338499184,0.016867037502243
"86","бекон",0.42064787625895,0.00479585012152749
"87","супермен",0.421696185472528,0.00370291829111136
"88","бетмен",0.405196317806682,0.00352348172193857
"89","війна",0.413765840745246,0.0501606772914866
"90","битва",0.493117395745622,0.0174053472097613
"91","галузь",0.452246623502602,0.00132130564572696
"92","бізнес",0.37957864178955,0.0507152994143843
"93","страждання",0.406053240884845,0.0151052966412737
"94","біль",0.392361850796523,0.0576643883659854
"95","хімічний",0.405559901703435,0.00192486501476274
"96","біологічний",0.393920115242307,0.0022348009069703
"97","хімія",0.381018255622552,0.00337666998352446
"98","біологія",0.371240969688958,0.00110924424579548
"99","відчинено",0.380119673102849,0.00686752687470434
"100","близький",0.425733469909785,0.0101789471967114
"101","параноїдальний",0.343184981207536,0.000195748984552143
"102","божевільний",0.395667602623803,0.0463925093388578
"103","бог",0.461230091305356,0.0976787432915192
"104","божественний",0.409892748892549,0.00200642709165946
"105","волосся",0.391092464265029,0.076782539190578
"106","борода",0.436448048428135,0.00583984470580559
"107","бойовий",0.476970063124394,0.00680227721318696
"108","боротися",0.415467920175676,0.0307489029900657
"109","зерно",0.440282694264949,0.00367029346035267
"110","борошно",0.43742626016542,0.00189224018400405
"111","керівник",0.388369897964901,0.0176989706865896
"112","бос",0.392676927456314,0.0427711531246432
"113","вашингтон",0.465861525528111,0.0149911097336183
"114","бостон",0.427909037783873,0.00686752687470434
"115","чувак",0.477675325607147,0.0683490204394565
"116","брат",0.455755756217856,0.122261553268192
"117","сестра",0.455295419581565,0.0886579775867413
"118","лежати",0.395571666438266,0.0151379214720324
"119","брехун",0.390759648611036,0.0186124659478329
"120","щит",0.476823599714319,0.007324274505326
"121","броня",0.466257482674033,0.00213692641469422
"122","неприємний",0.413722452469767,0.00378448036800809
"123","брудний",0.399718622038706,0.0144364876107205
"124","башта",0.405443432112616,0.000864558015105297
"125","будівля",0.407379876498839,0.0126421219189925
"126","будівельний",0.433545175598732,0.00125605598420958
"127","будувати",0.414456374174509,0.01195700047306
"128","телеграма",0.409237599246473,0.00241423747614309
"129","буква",0.43675796616946,0.00153336704565845
"130","клітина",0.409447792347391,0.00107661941503678
"131","в'язниця",0.402357852078458,0.0129357453958208
"132","народження",0.386910496363448,0.0921162096471625
"133","вагітність",0.365243785540684,0.00657390339787612
"134","цінний",0.40562795656141,0.00526891016752851
"135","важливий",0.404396539301138,0.0312545878668254
"136","сенс",0.385137726081786,0.0412214736636054
"137","важливість",0.439298035722428,0.00365398104497333
"138","антидот",0.567108266925055,0.00132130564572696
"139","вакцина",0.46993673225548,0.00138655530724434
"140","портфель",0.413504016629439,0.00319723341435166
"141","валіза",0.381765747368757,0.00471428804463077
"142","зомбі",0.405318813442982,0.00866189256643231
"143","вампір",0.401362227453533,0.00355610655269726
"144","причіп",0.384157508099561,0.000277311061448869
"145","фургон",0.416879721523765,0.0196727729474903
"146","кориця",0.371842247499097,0.000831933184346606
"147","ваніль",0.359551351985976,0.00104399458427809
"148","душ",0.435934224220015,0.0329184542355187
"149","ванна кімната",NA,0
"150","навантаження",0.414569034636772,0.00367029346035267
"151","вантаж",0.464240753200701,0.0109456307195406
"152","джип",0.476358728635708,0.00331142032200708
"153","вантажівка",0.391647795662472,0.00985269888912451
"154","шерлок",0.528058517652678,0.00231636298386702
"155","ватсон",0.615696648309723,0.00148442979952041
"156","самогубство",0.40173456430662,0.0207983296086652
"157","вбивство",0.390726658552449,0.0606169355496468
"158","убивця",0.394824792480948,0.0200479585012153
"159","вбивця",0.407917197860438,0.0399817300947751
"160","наємник",NA,0
"161","внизу",0.486506631753043,0.0398838556024991
"162","вгору",0.423160618183976,0.0470776307847903
"163","відмінний",0.40056975597332,0.00734058692070535
"164","великий",0.422967514913684,0.136844852617327
"165","палець",0.399523004048766,0.0214018889777009
"166","великий палець",NA,0
"167","величезний",0.429807137191278,0.0239466257768788
"168","марс",0.440921754736926,0.00526891016752851
"169","венера",0.464314084288615,0.00195748984552143
"170","клапан",0.446624361789574,0.00314829616821363
"171","вентиляція",0.39080655522742,0.00107661941503678
"172","швидка допомога",NA,0
"173","вертоліт",0.385037372740091,0.00685121445932499
"174","нижній",0.430020278437584,0.0046164135523547
"175","верхній",0.410001695498485,0.00637815441332398
"176","заручення",0.416421960722543,0.00037518555372494
"177","весілля",0.370924370561677,0.0534394727827349
"178","ніч",0.394463024562797,0.156811249041646
"179","вечір",0.375122189539749,0.104220021858637
"180","завантажувати",0.4180094790265,0.000799308353587916
"181","взуття",0.401903491905491,0.0256757418070894
"182","обирати",0.390667629037871,0.0120222501345774
"183","вибирати",0.405559296639267,0.00880870430484642
"184","кампанія",0.415614384943604,0.0032461706604897
"185","вибори",0.398286545434166,0.00952645058153761
"186","кандидат",0.440664141252643,0.00655759098249678
"187","виборець",0.388952723983822,0.000277311061448869
"188","землетрус",0.424702094140841,0.00549728398283934
"189","вибух",0.443932054628545,0.0191181508245926
"190","лопатись",NA,0
"191","вибухнути",0.481655823182201,0.00291992235290279
"192","бомба",0.441736481504799,0.0198522095166631
"193","вибуховий",0.417827062929111,0.00135393047648565
"194","дослідження",0.405986839661291,0.0255289300686753
"195","вивчення",0.406458380938248,0.00557884605973607
"196","викрадати",0.389997013081066,0.00194117743014208
"197","вигнати",0.413948503698411,0.00965694990457237
"198","завиток",0.42405553292162,0.000228373815310833
"199","виграти",0.456985340245111,0.0286935386522682
"200","усунути",0.428950445009245,0.00505684876759702
"201","видалити",0.387858138942596,0.00882501672022576
"202","жити",0.415735684577664,0.181312496941422
"203","вижити",0.447286274626465,0.0339135115736587
"204","концепція",0.412371652535081,0.00230005056848768
"205","визначення",0.413004061211125,0.00495897427532095
"206","студент",0.437476603788952,0.00587246953656428
"207","викладач",0.362943100561946,0.00311567133745494
"208","перешкода",0.407872356433897,0.00293623476828214
"209","виклик",0.43844090149773,0.032037583805034
"210","висячий",NA,0
"211","виконання",0.421176084947571,0.00975482439684844
"212","застосовувати",0.424731230543863,0.00293623476828214
"213","використання",0.430427168663847,0.0112555666117482
"214","викрадач",0.42260259807624,0.00336035756814512
"215","викуп",0.45679117545303,0.00463272596773404
"216","ложка",0.429782466184857,0.00185961535324536
"217","вилка",0.611781558103588,0.000293623476828214
"218","хапати",0.403971980204842,0.00213692641469422
"219","виловити",0.384287607904915,0.000293623476828214
"220","чемпіон",0.434558151610439,0.0116633769962318
"221","винищувач",0.434464868394607,0.00184330293786601
"222","невинний",0.400581650154446,0.00960801265843433
"223","винним",0.412939220687786,0.0129683702265794
"224","прощати",0.383227585866453,0.00166386636869321
"225","виправдання",0.392551619951673,0.0140449896416162
"226","забруднення",0.414237386548914,0.00301779684517887
"227","випромінювання",0.426322789181611,0.00176174086096928
"228","диплом",0.408591611049641,0.00660652822863481
"229","випускник",0.425939249606201,0.00269154853759196
"230","створювати",0.411254971305817,0.00926545193546808
"231","виробляти",0.423818947379585,0.00239792506076375
"232","завод",0.438527204753743,0.00799308353587916
"233","виробництво",0.421651191749811,0.00970588715071041
"234","описувати",0.391440912024043,0.00106030699965744
"235","висловлювати",0.392033347781658,0.00199011467628012
"236","низький",0.427099756439592,0.0068185896285663
"237","високий",0.418083799531416,0.0202437074857674
"238","величність",0.401057676173609,0.0098853237198832
"239","високість",0.420214072299154,0.00429016524476779
"240","вага",0.448033361569077,0.00738952416684338
"241","висота",0.437907946365632,0.00504053635221767
"242","галерея",0.392900579185421,0.0022348009069703
"243","виставка",0.379616125056299,0.00415966592173303
"244","відходи",0.418294314899666,0.00233267539924637
"245","витрачати",0.406305366740836,0.0118754383961633
"246","двері",0.389030307465888,0.174542844558994
"247","вихід",0.406726986839113,0.0702086357927018
"248","понеділок",0.376400793162938,0.021026703423976
"249","вівторок",0.384723292861164,0.0152684207950671
"250","прибуття",0.441862972588168,0.0121364370422328
"251","від'їзд",0.3877706221004,0.00226742573772899
"252","дна",0.473748193094351,0.00970588715071041
"253","відбиток пальця",NA,0
"254","вірність",0.402822124713595,0.00947751333539957
"255","відданість",0.406461419019483,0.010113697535194
"256","двійник",0.40748832555266,0.00159861670717583
"257","відеоролик",0.350449039057912,0.000391497969104285
"258","залишати",0.409482698468336,0.018759277686247
"259","відмовлятися",0.382335794887977,0.00401285418331892
"260","реагувати",0.403348176268598,0.00437172732166452
"261","відповідати",0.387913844700577,0.024289186499845
"262","присутність",0.422233409717794,0.0131478067957522
"263","відсутність",0.410904039687008,0.013327243364925
"264","враження",0.392899630253144,0.0349738185733161
"265","відчуття",0.393239465313791,0.0740094285760893
"266","прокляття",0.412890688657943,0.0499649283069344
"267","відьма",0.391483758567887,0.0145017372722379
"268","цивільний",0.402832737794696,0.00350716930655922
"269","військовий",0.413593090877519,0.0127726212420273
"270","снід",0.383504807064931,0.00203905192241815
"271","віл",0.372898387945235,0.00329510790662773
"272","вільно",0.420786400994987,0.0166876009330702
"273","вільний",0.397022657805769,0.0382363016491852
"274","надія",0.414710258331106,0.0286935386522682
"275","віра",0.401114973982642,0.0133761806110631
"276","довіра",0.397329861973773,0.00497528669070029
"277","вірити",0.391183595107813,0.0574849517968126
"278","лояльний",0.380720670943336,0.000277311061448869
"279","вірний",0.408408176883481,0.0111576921194721
"280","білок",0.383144947141604,0.00283836027600607
"281","вітамін",0.371970681267685,0.000929807676622678
"282","якор",NA,0
"283","вітрило",0.435773321013209,0.0015496794610378
"284","точка",0.483329204857814,0.00844983116650082
"285","вказувати",0.391502216595396,0.0053015349982872
"286","юрисдикція",0.371798529758974,0.00166386636869321
"287","влада",0.416765671335142,0.0220054483467367
"288","майно",0.406395538708043,0.0085150808280182
"289","власник",0.392329311808852,0.024713309299708
"290","ведмідь",0.502341716595273,0.0101626347813321
"291","вовк",0.413365079745142,0.0120385625499568
"292","пасажирський",0.412115530292672,0.000734058692070535
"293","водій",0.380253263914339,0.0209451413470793
"294","вугілля",0.418250686335304,0.00518734809063178
"295","водневий",NA,0
"296","солдат",0.494649256004011,0.0194933363783175
"297","воїн",0.442643805071896,0.0113534411040243
"298","портал",0.381544218424244,0.00559515847511541
"299","ворота",0.458584861909678,0.0246806844689493
"300","практика",0.445641017385755,0.00567672055201214
"301","вправа",0.38675529999392,0.0023816126453844
"302","лестити",0.395973760287991,0.000766683522829225
"303","вражати",0.394876033067512,0.00107661941503678
"304","сенсаційний",0.402660986512258,0.000391497969104285
"305","вражаючий",0.424507733638139,0.00239792506076375
"306","назовні",0.417590999626772,0.0184167169632808
"307","всередині",0.408405077696123,0.0741725527298827
"308","бігти",0.40481293626279,0.0293623476828214
"309","втеча",0.42138059303847,0.00601928127497839
"310","біженець",0.384268758092664,0.000766683522829225
"311","втікач",0.384376720003447,0.00192486501476274
"312","проспект",0.447072004033805,0.00078299593820857
"313","вулиця",0.404349681078156,0.0116470645808525
"314","око",0.423941632926045,0.0347617571733847
"315","вухо",0.400095946123913,0.0120711873807155
"316","геніальний",0.392837705747472,0.0046164135523547
"317","вчений",0.427528042384971,0.00533415982904589
"318","сьогодні",0.396236893991279,0.495554866809128
"319","вчора",0.385256882196913,0.124414792098266
"320","затока",0.441572935587747,0.00215323883007357
"321","гавань",0.539259839189629,0.00362135621421464
"322","стаття",0.389343881726928,0.0112229417809895
"323","газета",0.442207715800645,0.00703065102849779
"324","всесвіт",0.395314959439921,0.0127889336574067
"325","галактика",0.436355312204187,0.00153336704565845
"326","ілюзія",0.401151493910514,0.00548097156745999
"327","галюкування",NA,0
"328","кишеня",0.3946883064184,0.000848245599725951
"329","гаманець",0.379793837398066,0.0147301110875487
"330","бутерброд",0.459809140224141,0.00412704109097434
